a, b, acc, approx
0, 0, 0, 0
0, 0, 0, 0
5145, 11608, 59723160, 16753
5145, 16251, 83611395, 21396
5145, 9178, 47220810, 0
5145, 27248, 140190960, -22103
5145, 9294, 47817630, 14439
5145, 6645, 34188525, 11790
5145, 25211, 129710595, 120451072
5145, 17640, 90757800, 0
5145, 18564, 95511780, 23709
5145, 19972, 102755940, 0
5145, 23323, 119996835, 112717824
5145, 10309, 53039805, -5164
5145, 9395, 48337275, -4250
5145, 23895, 122939775, -18750
5145, 21429, 110252205, -16284
5145, 2911, 14977095, 2234
5145, 21586, 111059970, -16441
5145, 25016, 128707320, -19871
5145, 6889, 35443905, 32514048
5145, 29900, 153835500, 145096704
5145, 2440, 12553800, 2705
5145, 31215, 160601175, -26070
5145, 1080, 5556600, 4
5145, 26317, 135400965, 0
5145, 1437, 7393365, 3
5145, 20837, 107206365, -15692
5145, 21376, 109979520, 104742912
5145, 7334, 37733430, -2189
5145, 22760, 117100200, 27905
5145, 25092, 129098340, -19947
5145, 28445, 146349525, 0
5145, 26741, 137582445, -21596
5145, 842, 4332090, 4303
5145, 19711, 101413095, -14566
5145, 25263, 129978135, -20118
5145, 16905, 86976225, -11760
5145, 21058, 108343410, -15913
5145, 30236, 155564220, 0
5145, 32554, 167490330, 37699
5145, 30635, 157617075, 35780
5145, 14117, 72631965, 66416640
