a, b, acc, approx
0, 0, 0, 16768
0, 0, 0, 16768
25, 88, 2200, 2224
25, 123, 3075, 3088
25, 218, 5450, 5536
25, 112, 2800, 2800
25, 78, 1950, 1944
25, 245, 6125, 6144
25, 123, 3075, 3088
25, 232, 5800, 5856
25, 132, 3300, 3312
25, 4, 100, 101
25, 27, 675, 684
4, 88, 352, 358
4, 123, 492, 498
4, 218, 872, 900
4, 112, 448, 462
4, 78, 312, 318
4, 245, 980, 992
4, 123, 492, 498
4, 232, 928, 956
4, 132, 528, 540
4, 4, 16, 16
4, 27, 108, 111
32, 88, 2816, 2864
32, 123, 3936, 3984
32, 218, 6976, 7200
32, 112, 3584, 3696
32, 78, 2496, 2544
32, 245, 7840, 7936
32, 123, 3936, 3984
32, 232, 7424, 7648
32, 132, 4224, 4320
32, 4, 128, 131
32, 27, 864, 892
160, 88, 14080, 14272
160, 123, 19680, 19584
160, 218, 34880, 35072
160, 112, 17920, 17792
160, 78, 12480, 12480
160, 245, 39200, 38912
160, 123, 19680, 19584
160, 232, 37120, 37632
160, 132, 21120, 21376
160, 4, 640, 652
160, 27, 4320, 4320
138, 88, 12144, 12096
138, 123, 16974, 16768
138, 218, 30084, 30080
138, 112, 15456, 15424
138, 78, 10764, 10816
138, 245, 33810, 33280
138, 123, 16974, 16768
138, 232, 32016, 31872
138, 132, 18216, 18560
138, 4, 552, 564
138, 27, 3726, 3728
59, 88, 5192, 5216
59, 123, 7257, 7328
59, 218, 12862, 13120
59, 112, 6608, 6624
59, 78, 4602, 4704
59, 245, 14455, 14592
59, 123, 7257, 7328
59, 232, 13688, 13760
59, 132, 7788, 7904
59, 4, 236, 243
59, 27, 1593, 1624
42, 88, 3696, 3696
42, 123, 5166, 5152
42, 218, 9156, 9280
42, 112, 4704, 4704
42, 78, 3276, 3248
42, 245, 10290, 10240
42, 123, 5166, 5152
42, 232, 9744, 9920
42, 132, 5544, 5600
42, 4, 168, 171
42, 27, 1134, 1144
224, 88, 19712, 19328
224, 123, 27552, 27776
224, 218, 48832, 49408
224, 112, 25088, 24960
224, 78, 17472, 17280
224, 245, 54880, 55296
224, 123, 27552, 27776
224, 232, 51968, 51968
224, 132, 29568, 30080
224, 4, 896, 924
224, 27, 6048, 6112
26, 88, 2288, 2288
26, 123, 3198, 3216
26, 218, 5668, 5664
26, 112, 2912, 2928
26, 78, 2028, 1976
26, 245, 6370, 6400
26, 123, 3198, 3216
26, 232, 6032, 6112
26, 132, 3432, 3504
26, 4, 104, 107
26, 27, 702, 700
47, 88, 4136, 4192
47, 123, 5781, 5792
47, 218, 10246, 10560
47, 112, 5264, 5216
47, 78, 3666, 3632
47, 245, 11515, 11520
47, 123, 5781, 5792
47, 232, 10904, 10944
47, 132, 6204, 6240
47, 4, 188, 191
47, 27, 1269, 1304
126, 88, 11088, 11200
126, 123, 15498, 15680
126, 218, 27468, 27776
126, 112, 14112, 14272
126, 78, 9828, 9920
126, 245, 30870, 31232
126, 123, 15498, 15680
126, 232, 29232, 29568
126, 132, 16632, 16768
126, 4, 504, 510
126, 27, 3402, 3440
