scenario,family,mode,level,clock_period_ns,throughput_mops,area_um2,switching_power_mw,internal_power_mw,dynamic_power_mw,leakage_power_mw,total_power_mw,dynamic_energy_pj_per_op,total_energy_pj_per_op
runtime_mul_l0,runtime,MUL,L0,1.5,666.6666666666666,15053.760242,1.974935,8.391608999999999,10.366544,0.07164482999999999,10.43819,15.549816,15.657285000000002
runtime_mul_l1,runtime,MUL,L1,1.5,666.6666666666666,15053.760242,2.098077,8.602226,10.700303,0.07184758000000001,10.77215,16.0504545,16.158225
runtime_mul_l2,runtime,MUL,L2,1.5,666.6666666666666,15053.760242,2.2255819999999997,8.8648,11.090382000000002,0.07189216999999999,11.16228,16.635573,16.74342
runtime_mul_l3,runtime,MUL,L3,1.5,666.6666666666666,15053.760242,2.306168,9.007969,11.314136999999999,0.07195298,11.38609,16.971205499999996,17.079135
runtime_mul_l4,runtime,MUL,L4,1.5,666.6666666666666,15053.760242,2.386609,9.196743,11.583352,0.07198928,11.65534,17.375028,17.48301
runtime_div_l0,runtime,DIV,L0,1.5,666.6666666666666,15053.760242,1.875267,8.205134,10.080400999999998,0.07180094,10.1522,15.120601499999998,15.2283
runtime_div_l1,runtime,DIV,L1,1.5,666.6666666666666,15053.760242,1.981485,8.367931,10.349416,0.0719859,10.4214,15.524124,15.632100000000001
runtime_div_l2,runtime,DIV,L2,1.5,666.6666666666666,15053.760242,2.109584,8.629311000000001,10.738895,0.07203516,10.810929999999999,16.1083425,16.216395
runtime_div_l3,runtime,DIV,L3,1.5,666.6666666666666,15053.760242,2.190109,8.774982000000001,10.965091,0.0720947,11.03719,16.447636499999998,16.555785
runtime_div_l4,runtime,DIV,L4,1.5,666.6666666666666,15053.760242,2.272035,8.968886000000001,11.240921,0.07213417999999999,11.31306,16.8613815,16.96959
fixed_l4_mul,fixed_l4,MUL,L4,1.5,666.6666666666666,14513.760225,2.3427550000000004,9.061033,11.403788,0.07040564,11.47419,17.105682,17.211285
fixed_l4_div,fixed_l4,DIV,L4,1.5,666.6666666666666,14513.760225,2.206478,8.783977,10.990454999999999,0.07056807999999999,11.06102,16.4856825,16.59153
exact_mul,exact_standalone,MUL,Exact,2.0,500.0,7615.440135,0.9095303,4.485345,5.3948753,0.03944794,5.434323,10.7897506,10.868646
exact_div,exact_standalone,DIV,Exact,2.0,500.0,29730.240308,5.983325000000001,14.98905,20.972375000000003,0.1380081,21.110380000000003,41.944750000000006,42.220760000000006
exact_divmul_mul,exact_combined,MUL,Exact,2.0,500.0,37401.120443,6.751874,19.33396,26.085834000000002,0.1765968,26.26243,52.171668000000004,52.52486
exact_divmul_div,exact_combined,DIV,Exact,2.0,500.0,37401.120443,6.7518530000000005,19.337110000000003,26.088963,0.1765751,26.26554,52.177926,52.53108
