design,fp_semantics,bit_exact_domain,mapping,area_um2,power_mw,critical_path_ns,status
PACE_L4,PACE_wrapper,PACE_reference,default,3196.440045,0.169604,3.67,reference
oadm_fixed_l3_div_nopipe,full,original,default_flatten,4610.160018,0.264,5.19,baseline
oadm_fixed_l3_div_opt_best,full,100008_FP32_vectors,default_flatten,3938.400030,0.212,4.80,superseded
oadm_fixed_l3_div_opt_best2,full,100008_FP32_vectors,default_flatten,3787.920024,0.206,4.55,pareto
oadm_fixed_l3_div_opt_best2,full,100008_FP32_vectors,area_high,3780.360023,0.206,4.53,winner_full
oadm_fixed_l3_div_opt_paceio,PACE_wrapper,100000_normal_vectors,default_flatten,3632.760022,0.211,3.95,pareto_pace_io
oadm_fixed_l3_div_opt_paceio,PACE_wrapper,100000_normal_vectors,area_high,3626.640022,0.212,4.01,min_area_pace_io
oadm_fixed_l3_div_opt_best3,full,100008_FP32_vectors,default_flatten,3797.280025,0.216,4.62,reject_unsigned_scale
oadm_fixed_l3_div_opt_best4,full,100008_FP32_vectors,default_flatten,4055.760003,0.224,4.59,reject_factored_plane
oadm_fixed_l3_div_opt_best5,full,100008_FP32_vectors,area_high,4018.320025,0.234,4.73,reject_split_truncated_product
