configuration,depth,stages,period_ns,latency_ns,throughput_mops,dc_setup_slack_ns,dc_setup_status,dc_hold_slack_ns,dc_hold_status,dc_area_um2,dc_power_mw,pt_setup_slack_ns,pt_setup_status,pt_hold_slack_ns,pt_hold_status,pt_area_um2,pt_power_mw,pt_energy_pj_per_op
runtime,NP,0,7.0,,142.85714285714286,1.61,met,0.16,met,10626.840119,0.643,1.6234,met,0.1559,met,10626.96,0.84156,5.8909199999999995
runtime,P2,2,4.0,8.0,250.0,0.0,met,0.06,met,11355.840142,1.494,0.0141,met,0.0556,met,11356.02,1.5544,6.2176
runtime,P3,3,2.8,8.399999999999999,357.14285714285717,0.0,met,0.03,met,11657.520131,2.435,0.0069,met,0.0271,met,11657.69,2.2512,6.303359999999999
runtime,P4,4,2.2,8.8,454.5454545454545,0.0,met,0.03,met,13000.320198,3.785,0.0069,met,0.0271,met,13000.53,3.7033,8.147260000000001
runtime,P5,5,1.8,9.0,555.5555555555555,0.0,met,0.03,met,14448.240215,4.979,0.0055,met,0.0271,met,14448.39,4.641100000000001,8.35398
runtime,P6,6,1.5,9.0,666.6666666666666,0.0,met,0.03,met,15053.760242,7.075,0.0054,met,0.0271,met,15053.93,6.6065000000000005,9.909750000000003
runtime,P7,7,1.5,10.5,666.6666666666666,0.0,met,0.03,met,15240.240249,7.384,0.0047,met,0.0271,met,15240.37,6.945200000000001,10.417800000000002
fixed_l4,NP,0,7.0,,142.85714285714286,1.61,met,0.16,met,10556.640117,0.651,1.6181,met,0.1551,met,10556.74,0.8387899999999999,5.87153
fixed_l4,P2,2,4.0,8.0,250.0,0.0,met,0.1,met,10849.680123,1.419,0.0072,met,0.0969,met,10849.77,1.5336,6.1344
fixed_l4,P3,3,2.8,8.399999999999999,357.14285714285717,0.0,met,0.05,met,11334.960123,2.375,0.009,met,0.0494,met,11335.08,2.2046,6.172879999999999
fixed_l4,P4,4,2.2,8.8,454.5454545454545,0.0,met,0.05,met,12524.040182,3.699,0.0037,met,0.0499,met,12524.24,3.6435999999999997,8.015920000000001
fixed_l4,P5,5,1.8,9.0,555.5555555555555,0.0,met,0.04,met,13967.640188,4.905,0.0045,met,0.0396,met,13967.9,4.6088,8.295839999999998
fixed_l4,P6,6,1.5,9.0,666.6666666666666,0.0,met,0.04,met,14513.760225,6.942,0.0043,met,0.0396,met,14513.95,6.517799999999999,9.7767
fixed_l4,P7,7,1.5,10.5,666.6666666666666,0.0,met,0.04,met,14682.240229,7.256,0.0054,met,0.0396,met,14682.43,6.848199999999999,10.2723
