top,level,kind,dataset,count,mred,rmse,mae,mean_error,max_relative,p99_relative
abs_l0_control,0,control,random_200k,200000,0.04265015139877548,0.056459673068841754,0.04225530269301196,-0.006247331603939898,0.31238485450405257,0.2090140699571533
abs_l0_control,0,control,boundary_grid,131072,0.04266972945539313,0.05650630862830114,0.04229200570511646,-0.006211996592893769,0.31115811333691396,0.20936410962019034
abs_l0_control,0,control,signed,2000,0.04372829983024924,16763939.97876627,1408178.5490524718,-428533.2886302277,0.30662845557711776,0.22510454430328766
abs_l0_control,0,control,cell_edges_diagonal,10718,0.03857150236832149,0.04298470108744316,0.038607049787352916,0.0276889048018617,0.2797852850344344,0.12421879621495509
abs_l0_control,0,control,independent_200k,200000,0.042713537595623394,0.05647335256615302,0.0423063381119677,-0.006194266350548235,0.3098728577945591,0.2109626732638735
abs_l0_no_w,0,unabsorbed,random_200k,200000,0.0431735440203878,0.0560615384801008,0.04286992735173778,-0.002657780822689899,0.29863255159413366,0.2031604794756478
abs_l0_no_w,0,unabsorbed,boundary_grid,131072,0.04319172941174075,0.0561011966969932,0.04290476723146266,-0.0026109223741437675,0.29738127560365224,0.20323446020261982
abs_l0_no_w,0,unabsorbed,signed,2000,0.044272994386861025,17315035.269879535,1503884.7587579216,-476729.1668673182,0.2927610246886601,0.21744716211154017
abs_l0_no_w,0,unabsorbed,cell_edges_diagonal,10718,0.038641448342843825,0.042871427537544526,0.03868982537985008,0.028376999595666513,0.2679227556159941,0.11979994349370986
abs_l0_no_w,0,unabsorbed,independent_200k,200000,0.04324049677981999,0.056062813996249385,0.0429246512463507,-0.0025868182304310465,0.2960703149504503,0.20417115170714326
abs_l0_exact,0,exact,random_200k,200000,0.0431735440203878,0.0560615384801008,0.04286992735173778,-0.002657780822689899,0.29863255159413366,0.2031604794756478
abs_l0_exact,0,exact,boundary_grid,131072,0.04319172941174075,0.0561011966969932,0.04290476723146266,-0.0026109223741437675,0.29738127560365224,0.20323446020261982
abs_l0_exact,0,exact,signed,2000,0.044272994386861025,17315035.269879535,1503884.7587579216,-476729.1668673182,0.2927610246886601,0.21744716211154017
abs_l0_exact,0,exact,cell_edges_diagonal,10718,0.038641448342843825,0.042871427537544526,0.03868982537985008,0.028376999595666513,0.2679227556159941,0.11979994349370986
abs_l0_exact,0,exact,independent_200k,200000,0.04324049677981999,0.056062813996249385,0.0429246512463507,-0.0025868182304310465,0.2960703149504503,0.20417115170714326
abs_l0_inherited_s7,0,quantized,random_200k,200000,0.04351604480294047,0.05594083511246938,0.04294547668609097,-0.0026559741820648994,0.3058583378688368,0.20914992251885461
abs_l0_inherited_s7,0,quantized,boundary_grid,131072,0.04353487428929443,0.055977187303705225,0.04298106694995205,-0.002610922374143768,0.30461995305672196,0.20919946872311432
abs_l0_inherited_s7,0,quantized,signed,2000,0.04463174675180485,17325069.93464252,1489623.855679872,-475600.3610533081,0.30004730193513784,0.22314217716779855
abs_l0_inherited_s7,0,quantized,cell_edges_diagonal,10718,0.038708678318314815,0.0428112555757346,0.03869865167138877,0.028376999595666513,0.2748161383314744,0.12229296475259172
abs_l0_inherited_s7,0,quantized,independent_200k,200000,0.04358185304804745,0.055942536064059675,0.04299970430467146,-0.002582385247032609,0.30332249847871084,0.210034083965198
abs_l1_control,1,control,random_200k,200000,0.010773303287989111,0.016165459704662467,0.011393409298951903,-0.002413155273373492,0.0915832873823356,0.04915239002495803
abs_l1_control,1,control,boundary_grid,131072,0.010752809168339404,0.016136999157418504,0.011363472279815299,-0.0024201875108625175,0.09003935856964732,0.04943675504143253
abs_l1_control,1,control,signed,2000,0.01115864559355656,9125523.363230437,620096.1783366114,253859.00254335077,0.0842524842001372,0.04967093952475421
abs_l1_control,1,control,cell_edges_diagonal,10718,0.009531940077231457,0.012040138928974091,0.009703941305803413,0.006543247015311038,0.08053607135295898,0.03352209670586898
abs_l1_control,1,control,independent_200k,200000,0.010799063885921403,0.016157854616061874,0.0114139065498096,-0.0024171819999622966,0.09104237949066002,0.04931391291554118
abs_l1_no_w,1,unabsorbed,random_200k,200000,0.01090181625298492,0.015999308364910134,0.011563726960068282,-0.000980485214169391,0.08970639334800158,0.04718163807852249
abs_l1_no_w,1,unabsorbed,boundary_grid,131072,0.010882896748832438,0.015968572657131662,0.01153472330141039,-0.000989676036253143,0.0881592745997499,0.047348467437536665
abs_l1_no_w,1,unabsorbed,signed,2000,0.011228561956841047,8799779.651882205,638811.1444532714,221832.10356129982,0.08049942061079349,0.0469638108510855
abs_l1_no_w,1,unabsorbed,cell_edges_diagonal,10718,0.009544842611756412,0.011980833850810368,0.009723622170932096,0.006763196807716337,0.07863635249211799,0.03209980973298532
abs_l1_no_w,1,unabsorbed,independent_200k,200000,0.010921457527228366,0.015989881986187178,0.011577166748918847,-0.000988730156700578,0.08916436787803743,0.047308155966568705
abs_l1_exact,1,exact,random_200k,200000,0.01090181625298492,0.015999308364910134,0.011563726960068282,-0.000980485214169391,0.08970639334800158,0.04718163807852249
abs_l1_exact,1,exact,boundary_grid,131072,0.010882896748832438,0.015968572657131662,0.01153472330141039,-0.000989676036253143,0.0881592745997499,0.047348467437536665
abs_l1_exact,1,exact,signed,2000,0.011228561956841047,8799779.651882205,638811.1444532714,221832.10356129982,0.08049942061079349,0.0469638108510855
abs_l1_exact,1,exact,cell_edges_diagonal,10718,0.009544842611756412,0.011980833850810368,0.009723622170932096,0.006763196807716337,0.07863635249211799,0.03209980973298532
abs_l1_exact,1,exact,independent_200k,200000,0.010921457527228366,0.015989881986187178,0.011577166748918847,-0.000988730156700578,0.08916436787803743,0.047308155966568705
abs_l1_inherited_s6,1,quantized,random_200k,200000,0.010952215073206269,0.015980606609177172,0.011585223504658309,-0.0009824677123383362,0.09113102375960451,0.04781241318466675
abs_l1_inherited_s6,1,quantized,boundary_grid,131072,0.010934720076511825,0.015951616312934343,0.011557411802659432,-0.0009934907335187677,0.08958632628774432,0.04798440346364449
abs_l1_inherited_s6,1,quantized,signed,2000,0.011290974209384323,8698534.684841907,637745.0018328867,230002.61091042464,0.08190116725259657,0.04731302204675204
abs_l1_inherited_s6,1,quantized,cell_edges_diagonal,10718,0.009551071469694458,0.011953900708324614,0.0097229648419016,0.006760463380304507,0.08007830777203344,0.032058180861837864
abs_l1_inherited_s6,1,quantized,independent_200k,200000,0.010971841088797132,0.01596987002262804,0.011598198797223323,-0.000989690544884172,0.09058984657195579,0.0479126652349333
abs_l2_control,2,control,random_200k,200000,0.0036477691906840848,0.00531504337898066,0.003818940097088761,-0.001351653808529742,0.02911428868703509,0.015134728214292853
abs_l2_control,2,control,boundary_grid,131072,0.003544552041096039,0.005192310030928998,0.003709746394916436,-0.0013587479967023617,0.027206162324635637,0.014984118251212833
abs_l2_control,2,control,signed,2000,0.0037087781276900645,2796911.9770385306,202781.06486745228,95384.33190304095,0.023920583830752365,0.015085623338868126
abs_l2_control,2,control,cell_edges_diagonal,10718,0.0031462519821071275,0.0042485067328200945,0.0032207093992011053,0.001910036300494257,0.028613188611334668,0.012460154299183132
