top,level,kind,worst_relative,x_mantissa_integer,y_mantissa_integer,output_q23_integer,bins,rational_check_cases
abs_l0_control,0,control,0.3125221151319695,8650751,16515072,3020800,1024,1024
abs_l0_no_w,0,unabsorbed,0.29877255743460884,8650751,16515072,3081216,1024,1024
abs_l0_exact,0,exact,0.29877255743460884,8650751,16515072,3081216,1024,1024
abs_l0_inherited_s7,0,quantized,0.30599690130949325,8650751,16515072,3049472,1024,1024
abs_l1_control,1,control,0.09241516260134232,8454143,12517376,5142016,16384,1024
abs_l1_no_w,1,unabsorbed,0.0905399873174608,8454143,12517376,5152640,16384,1024
abs_l1_exact,1,exact,0.0905399873174608,8454143,12517376,5152640,16384,1024
abs_l1_inherited_s6,1,quantized,0.09196331313534678,8454143,12517376,5144576,16384,1024
abs_l2_control,2,control,0.030255580015620745,8454143,10420224,6599936,16384,1024
abs_l2_no_w,2,unabsorbed,0.02930110716130541,8454143,10420224,6606432,16384,1024
abs_l2_exact,2,exact,0.02930110716130541,8454143,10420224,6606432,16384,1024
abs_l2_inherited_s5,2,quantized,0.033452828985741076,8454143,10420224,6578176,16384,1024
abs_l3_control,3,control,0.01704809109569119,8454143,9371648,7438336,16384,1024
abs_l3_no_w,3,unabsorbed,0.013181170462813321,8454143,16711680,4187712,16384,1024
abs_l3_exact,3,exact,0.013181170462813321,8454143,16711680,4187712,16384,1024
abs_l3_inherited_s4,3,quantized,0.014523411775741195,8454143,16711680,4182016,16384,1024
