top,level,kind,slope_fraction_bits,area_um2,delay_ns,slack_ns,power_mw,dc_report,pt_dir,adp_um2_ns,mred,rmse,mae,mean_error,max_relative,p99_relative,independent_mred,independent_rmse,rtl_vectors,gate_vectors,status
abs_l0_control,0,control,exact,516.960004,1.7578,8.2222,0.024683,experiments/absorbed_reciprocal/dc/abs_l0_control/abs_l0_control.dc.rpt,experiments/absorbed_reciprocal/pt/abs_l0_control,908.7122950312,0.04265015139877548,0.056459673068841754,0.04225530269301196,-0.006247331603939898,0.31238485450405257,0.2090140699571533,0.042713537595623394,0.05647335256615302,343790,21043,PASS
abs_l0_no_w,0,unabsorbed,exact,635.400003,1.85511,8.12489,0.0289711,experiments/absorbed_reciprocal/dc/abs_l0_no_w/abs_l0_no_w.dc.rpt,experiments/absorbed_reciprocal/pt/abs_l0_no_w,1178.73689956533,0.0431735440203878,0.0560615384801008,0.04286992735173778,-0.002657780822689899,0.29863255159413366,0.2031604794756478,0.04324049677981999,0.056062813996249385,343790,21043,PASS
abs_l0_exact,0,exact,exact,636.840003,1.56265,8.41735,0.029173400000000002,experiments/absorbed_reciprocal/dc/abs_l0_exact/abs_l0_exact.dc.rpt,experiments/absorbed_reciprocal/pt/abs_l0_exact,995.1580306879501,0.0431735440203878,0.0560615384801008,0.04286992735173778,-0.002657780822689899,0.29863255159413366,0.2031604794756478,0.04324049677981999,0.056062813996249385,343790,21043,PASS
abs_l0_inherited_s7,0,quantized,7,627.480003,1.48428,8.49572,0.0288696,experiments/absorbed_reciprocal/dc/abs_l0_inherited_s7/abs_l0_inherited_s7.dc.rpt,experiments/absorbed_reciprocal/pt/abs_l0_inherited_s7,931.3560188528401,0.04351604480294047,0.05594083511246938,0.04294547668609097,-0.0026559741820648994,0.3058583378688368,0.20914992251885461,0.04358185304804745,0.055942536064059675,343790,21043,PASS
abs_l1_control,1,control,exact,1130.400003,2.70339,7.27661,0.0661543,experiments/absorbed_reciprocal/dc/abs_l1_control/abs_l1_control.dc.rpt,experiments/absorbed_reciprocal/pt/abs_l1_control,3055.91206411017,0.010773303287989111,0.016165459704662467,0.011393409298951903,-0.002413155273373492,0.0915832873823356,0.04915239002495803,0.010799063885921403,0.016157854616061874,343790,21043,PASS
abs_l1_no_w,1,unabsorbed,exact,1432.080001,2.66039,7.31961,0.083541,experiments/absorbed_reciprocal/dc/abs_l1_no_w/abs_l1_no_w.dc.rpt,experiments/absorbed_reciprocal/pt/abs_l1_no_w,3809.8913138603903,0.01090181625298492,0.015999308364910134,0.011563726960068282,-0.000980485214169391,0.08970639334800158,0.04718163807852249,0.010921457527228366,0.015989881986187178,343790,21043,PASS
abs_l1_exact,1,exact,exact,1445.040004,2.23932,7.74068,0.0657661,experiments/absorbed_reciprocal/dc/abs_l1_exact/abs_l1_exact.dc.rpt,experiments/absorbed_reciprocal/pt/abs_l1_exact,3235.9069817572804,0.01090181625298492,0.015999308364910134,0.011563726960068282,-0.000980485214169391,0.08970639334800158,0.04718163807852249,0.010921457527228366,0.015989881986187178,343790,21043,PASS
abs_l1_inherited_s6,1,quantized,6,1047.600013,1.88601,8.09399,0.0468726,experiments/absorbed_reciprocal/dc/abs_l1_inherited_s6/abs_l1_inherited_s6.dc.rpt,experiments/absorbed_reciprocal/pt/abs_l1_inherited_s6,1975.78410051813,0.010952215073206269,0.015980606609177172,0.011585223504658309,-0.0009824677123383362,0.09113102375960451,0.04781241318466675,0.010971841088797132,0.01596987002262804,343790,21043,PASS
abs_l2_control,2,control,exact,1484.640007,2.73617,7.24383,0.0750523,experiments/absorbed_reciprocal/dc/abs_l2_control/abs_l2_control.dc.rpt,experiments/absorbed_reciprocal/pt/abs_l2_control,4062.2274479531898,0.0036477691906840848,0.00531504337898066,0.003818940097088761,-0.001351653808529742,0.02911428868703509,0.015134728214292853,0.003651186767675607,0.005312987563054353,343790,21043,PASS
abs_l2_no_w,2,unabsorbed,exact,1843.920012,2.73325,7.24675,0.09285779999999999,experiments/absorbed_reciprocal/dc/abs_l2_no_w/abs_l2_no_w.dc.rpt,experiments/absorbed_reciprocal/pt/abs_l2_no_w,5039.894372799,0.0034776286479155398,0.005016175795318324,0.0037111104313315856,0.00034365823370658565,0.02714644024489503,0.012716607720014126,0.003477896184077195,0.005002964418322341,343790,21043,PASS
abs_l2_exact,2,exact,exact,1718.280007,2.37861,7.60139,0.0612803,experiments/absorbed_reciprocal/dc/abs_l2_exact/abs_l2_exact.dc.rpt,experiments/absorbed_reciprocal/pt/abs_l2_exact,4087.1180074502704,0.0034776286479155398,0.005016175795318324,0.0037111104313315856,0.00034365823370658565,0.02714644024489503,0.012716607720014126,0.003477896184077195,0.005002964418322341,343790,21043,PASS
abs_l2_inherited_s5,2,quantized,5,1061.640008,1.91991,8.06009,0.0326537,experiments/absorbed_reciprocal/dc/abs_l2_inherited_s5/abs_l2_inherited_s5.dc.rpt,experiments/absorbed_reciprocal/pt/abs_l2_inherited_s5,2038.25326775928,0.0035682774016631436,0.005105117794749976,0.0037783433336921143,0.0003537682495757263,0.03113542103033977,0.013587557073310925,0.0035671630136820437,0.005093651001862819,343790,21043,PASS
abs_l3_control,3,control,exact,1865.520005,3.08149,6.89851,0.0834119,experiments/absorbed_reciprocal/dc/abs_l3_control/abs_l3_control.dc.rpt,experiments/absorbed_reciprocal/pt/abs_l3_control,5748.581240207451,0.002794255451214877,0.003481541880022741,0.002761929132078032,-0.0011591258849457577,0.01643846842130861,0.009341153637816617,0.002784133277220086,0.0034666227983006902,343790,21043,PASS
abs_l3_no_w,3,unabsorbed,exact,2235.960012,3.10167,6.87833,0.097723,experiments/absorbed_reciprocal/dc/abs_l3_no_w/abs_l3_no_w.dc.rpt,experiments/absorbed_reciprocal/pt/abs_l3_no_w,6935.21009042004,0.0024744933424632595,0.0033088434822011394,0.002563291258368427,0.0006743046341582458,0.012029085049673184,0.007587614675128426,0.0024670411776747093,0.003306697650642414,343790,21043,PASS
