top,level,family,s,mred,rmse,mae,mean_error,max_relative,p99_relative
abs_l0_inherited_s2,0,inherited,2,0.050918589460794604,0.05877267120489073,0.04676204689567141,-0.000740619016023679,0.4009734310807468,0.2863930629552574
abs_l0_inherited_s3,0,inherited,3,0.050918589460794604,0.05877267120489073,0.04676204689567141,-0.000740619016023679,0.4009734310807468,0.2863930629552574
abs_l0_inherited_s4,0,inherited,4,0.04280289286006368,0.05619322627364648,0.04283351037091212,-0.0027284041169605686,0.2886559494083868,0.19550028104511522
abs_l0_inherited_s5,0,inherited,5,0.04280289286006368,0.05619322627364648,0.04283351037091212,-0.0027284041169605686,0.2886559494083868,0.19550028104511522
abs_l0_inherited_s6,0,inherited,6,0.04280289286006368,0.05619322627364648,0.04283351037091212,-0.0027284041169605686,0.2886559494083868,0.19550028104511522
abs_l0_inherited_s7,0,inherited,7,0.043464513534916,0.05589652842961177,0.04296066810534845,-0.0027240716043434574,0.30316362412439996,0.20724364191120542
abs_l0_inherited_s8,0,inherited,8,0.04312004563662694,0.056022394818005354,0.04288433713158109,-0.002726237860652013,0.2959097867663934,0.20134664813939177
abs_l0_inherited_s9,0,inherited,9,0.04312004563662694,0.056022394818005354,0.04288433713158109,-0.002726237860652013,0.2959097867663934,0.20134664813939177
abs_l0_inherited_s10,0,inherited,10,0.04312004563662694,0.056022394818005354,0.04288433713158109,-0.002726237860652013,0.2959097867663934,0.20134664813939177
abs_l0_inherited_s11,0,inherited,11,0.04312004563662694,0.056022394818005354,0.04288433713158109,-0.002726237860652013,0.2959097867663934,0.20134664813939177
abs_l0_inherited_s12,0,inherited,12,0.04312004563662694,0.056022394818005354,0.04288433713158109,-0.002726237860652013,0.2959097867663934,0.20134664813939177
abs_l0_calibrated_s2,0,calibrated,2,0.050918589460794604,0.05877267120489073,0.04676204689567141,-0.000740619016023679,0.4009734310807468,0.2863930629552574
abs_l0_calibrated_s3,0,calibrated,3,0.050918589460794604,0.05877267120489073,0.04676204689567141,-0.000740619016023679,0.4009734310807468,0.2863930629552574
abs_l0_calibrated_s4,0,calibrated,4,0.04280289286006368,0.05619322627364648,0.04283351037091212,-0.0027284041169605686,0.2886559494083868,0.19550028104511522
abs_l0_calibrated_s5,0,calibrated,5,0.04280289286006368,0.05619322627364648,0.04283351037091212,-0.0027284041169605686,0.2886559494083868,0.19550028104511522
abs_l0_calibrated_s6,0,calibrated,6,0.04280289286006368,0.05619322627364648,0.04283351037091212,-0.0027284041169605686,0.2886559494083868,0.19550028104511522
abs_l0_calibrated_s7,0,calibrated,7,0.043464513534916,0.05589652842961177,0.04296066810534845,-0.0027240716043434574,0.30316362412439996,0.20724364191120542
abs_l0_calibrated_s8,0,calibrated,8,0.04312004563662694,0.056022394818005354,0.04288433713158109,-0.002726237860652013,0.2959097867663934,0.20134664813939177
abs_l0_calibrated_s9,0,calibrated,9,0.04312004563662694,0.056022394818005354,0.04288433713158109,-0.002726237860652013,0.2959097867663934,0.20134664813939177
abs_l0_calibrated_s10,0,calibrated,10,0.04312004563662694,0.056022394818005354,0.04288433713158109,-0.002726237860652013,0.2959097867663934,0.20134664813939177
abs_l0_calibrated_s11,0,calibrated,11,0.04312004563662694,0.056022394818005354,0.04288433713158109,-0.002726237860652013,0.2959097867663934,0.20134664813939177
abs_l0_calibrated_s12,0,calibrated,12,0.04312004563662694,0.056022394818005354,0.04288433713158109,-0.002726237860652013,0.2959097867663934,0.20134664813939177
abs_l1_inherited_s2,1,inherited,2,0.01707278462159941,0.02240067891744756,0.017191566957621352,-0.00022351892027477752,0.08031211731393893,0.0611220347753688
abs_l1_inherited_s3,1,inherited,3,0.01352822164181982,0.019104349728418204,0.013967898998339005,-0.0008681133511982394,0.0768806754424692,0.05297159073323776
abs_l1_inherited_s4,1,inherited,4,0.011273417787509864,0.0162153148626087,0.011806305566659835,-0.001006276917787595,0.08874793032164033,0.048508360256449445
abs_l1_inherited_s5,1,inherited,5,0.010892144096259528,0.01614167581144513,0.01164175847692146,-0.0010421402874908879,0.08874793032164033,0.04614531634935269
abs_l1_inherited_s6,1,inherited,6,0.010977141998130076,0.01597004732439347,0.011604625576067777,-0.001044164982768102,0.08874793032164033,0.04771198004794603
abs_l1_inherited_s7,1,inherited,7,0.01099538086061654,0.015985742831839924,0.011601551832170189,-0.0010427530977449848,0.08874793032164033,0.0479320893720785
abs_l1_inherited_s8,1,inherited,8,0.010942435662720568,0.01597532010279724,0.01158530007583389,-0.0010391758877358868,0.08874793032164033,0.047576435688544326
abs_l1_inherited_s9,1,inherited,9,0.010922738683468967,0.015986765433288738,0.01158011726848308,-0.0010400087229482367,0.08735663726805339,0.04715070688084015
abs_l1_inherited_s10,1,inherited,10,0.010922738683468967,0.015986765433288738,0.01158011726848308,-0.0010400087229482367,0.08735663726805339,0.04715070688084015
abs_l1_inherited_s11,1,inherited,11,0.010922738683468967,0.015986765433288738,0.01158011726848308,-0.0010400087229482367,0.08735663726805339,0.04715070688084015
abs_l1_inherited_s12,1,inherited,12,0.010922738683468967,0.015986765433288738,0.01158011726848308,-0.0010400087229482367,0.08735663726805339,0.04715070688084015
abs_l1_calibrated_s2,1,calibrated,2,0.01707278462159941,0.02240067891744756,0.017191566957621352,-0.00022351892027477752,0.08031211731393893,0.0611220347753688
abs_l1_calibrated_s3,1,calibrated,3,0.01352822164181982,0.019104349728418204,0.013967898998339005,-0.0008681133511982394,0.0768806754424692,0.05297159073323776
abs_l1_calibrated_s4,1,calibrated,4,0.011273417787509864,0.0162153148626087,0.011806305566659835,-0.001006276917787595,0.08874793032164033,0.048508360256449445
abs_l1_calibrated_s5,1,calibrated,5,0.010892144096259528,0.01614167581144513,0.01164175847692146,-0.0010421402874908879,0.08874793032164033,0.04614531634935269
abs_l1_calibrated_s6,1,calibrated,6,0.010977141998130076,0.01597004732439347,0.011604625576067777,-0.001044164982768102,0.08874793032164033,0.04771198004794603
abs_l1_calibrated_s7,1,calibrated,7,0.01099538086061654,0.015985742831839924,0.011601551832170189,-0.0010427530977449848,0.08874793032164033,0.0479320893720785
abs_l1_calibrated_s8,1,calibrated,8,0.010942435662720568,0.01597532010279724,0.01158530007583389,-0.0010391758877358868,0.08874793032164033,0.047576435688544326
abs_l1_calibrated_s9,1,calibrated,9,0.010922738683468967,0.015986765433288738,0.01158011726848308,-0.0010400087229482367,0.08735663726805339,0.04715070688084015
abs_l1_calibrated_s10,1,calibrated,10,0.010922738683468967,0.015986765433288738,0.01158011726848308,-0.0010400087229482367,0.08735663726805339,0.04715070688084015
abs_l1_calibrated_s11,1,calibrated,11,0.010922738683468967,0.015986765433288738,0.01158011726848308,-0.0010400087229482367,0.08735663726805339,0.04715070688084015
abs_l1_calibrated_s12,1,calibrated,12,0.010922738683468967,0.015986765433288738,0.01158011726848308,-0.0010400087229482367,0.08735663726805339,0.04715070688084015
abs_l2_inherited_s2,2,inherited,2,0.007307495007878415,0.00934203628579806,0.007252205358504534,8.684246507068146e-05,0.057648494573829936,0.02718794033920445
abs_l2_inherited_s3,2,inherited,3,0.00439964966382749,0.005774366108825724,0.004460337785895732,0.0005428477999248074,0.028594172151328576,0.016064316604422122
abs_l2_inherited_s4,2,inherited,4,0.003914941597289783,0.005407067642087845,0.004090310441317837,0.0002735838171519803,0.028428644385484127,0.014312148434177191
abs_l2_inherited_s5,2,inherited,5,0.0035804343926367646,0.005103258369850581,0.003785804843902435,0.0003105573233642148,0.031040219198535158,0.013726728535666125
abs_l2_inherited_s6,2,inherited,6,0.0035004296415103754,0.005038765978748077,0.003737866133194143,0.00035807526376624573,0.02655567840494615,0.01260583100994547
abs_l2_inherited_s7,2,inherited,7,0.0034982370529816928,0.0050186958655206206,0.0037250861686041878,0.00031212660190244187,0.026630420751505967,0.012858757560879416
abs_l2_inherited_s8,2,inherited,8,0.0034901511510667814,0.0050135938239101825,0.003720437591393363,0.00030816568699260224,0.026630420751505967,0.012662214401333484
abs_l2_inherited_s9,2,inherited,9,0.003487960383220047,0.005011992720943178,0.0037186157032346712,0.00030786836226065625,0.027190988350704593,0.012704594763843566
abs_l2_inherited_s10,2,inherited,10,0.003490219348111365,0.005011420024378533,0.0037190427636991743,0.00030833309222538937,0.027190988350704593,0.01274697727408746
abs_l2_inherited_s11,2,inherited,11,0.0034881969295013906,0.005012088406765804,0.003718706643309096,0.00030842290664617885,0.027050846450904935,0.01270732210606662
abs_l2_inherited_s12,2,inherited,12,0.0034881969295013906,0.005012088406765804,0.003718706643309096,0.00030842290664617885,0.027050846450904935,0.01270732210606662
abs_l2_calibrated_s2,2,calibrated,2,0.007307495007878415,0.00934203628579806,0.007252205358504534,8.684246507068146e-05,0.057648494573829936,0.02718794033920445
abs_l2_calibrated_s3,2,calibrated,3,0.00439964966382749,0.005774366108825724,0.004460337785895732,0.0005428477999248074,0.028594172151328576,0.016064316604422122
