level,mode,dataset,count,mred,rmse,mae,max_relative
0,mul,random_200k,200000,0.031331976133929344,0.08357149469751439,0.06276507206022965,0.24838086120091454
0,mul,boundary_grid,131072,0.03143391759523781,0.08364427403938637,0.06299535557001054,0.2500448919897374
0,mul,signed,2000,0.03102033450168345,36490920.47496551,2535835.6303466386,0.22217048926930175
0,mul,cell_edges_diagonal,10718,0.04298408629149261,0.10667321468193856,0.07957721722733918,0.2499153606708979
0,mul,residual_boundaries,166464,0.03152424390933626,0.08088247176125939,0.060824410344762624,0.2500448919897374
0,div,random_200k,200000,0.04351604480294047,0.05594083511246938,0.04294547668609097,0.3058583378688368
0,div,boundary_grid,131072,0.04353487428929443,0.055977187303705225,0.04298106694995205,0.30461995305672196
0,div,signed,2000,0.04463174675180485,17325069.93464252,1489623.855679872,0.30004730193513784
0,div,cell_edges_diagonal,10718,0.038708678318314815,0.0428112555757346,0.03869865167138877,0.2748161383314744
0,div,residual_boundaries,166464,0.04317808680015926,0.05675386049910111,0.043161272223929556,0.3059969013094932
1,mul,random_200k,200000,0.007615773233146062,0.020839242208101568,0.01567672982286015,0.06210573530419152
1,mul,boundary_grid,131072,0.007729492117422223,0.021043643970092757,0.01594227195094923,0.06251397136311025
1,mul,signed,2000,0.007924123300693055,21424798.394757394,1303946.389491425,0.05119830212801299
1,mul,cell_edges_diagonal,10718,0.010178950750083586,0.02674701979423937,0.01993057417645963,0.0636232576774274
1,mul,residual_boundaries,166464,0.007719945939050654,0.02054751364063716,0.015313607114646,0.06371928824507037
1,div,random_200k,200000,0.010952215073206269,0.015980606609177172,0.011585223504658309,0.09113102375960451
1,div,boundary_grid,131072,0.010934720076511825,0.015951616312934343,0.011557411802659432,0.08958632628774432
1,div,signed,2000,0.011290974209384323,8698534.684841907,637745.0018328867,0.08190116725259657
1,div,cell_edges_diagonal,10718,0.009551071469694458,0.011953900708324614,0.0097229648419016,0.08007830777203344
1,div,residual_boundaries,166464,0.011151911698967122,0.016734733543582122,0.011892395020911028,0.09196331313534671
2,mul,random_200k,200000,0.0018882605851581436,0.005220781671881097,0.003921313700797191,0.015045934257136545
2,mul,boundary_grid,131072,0.0019177354885772098,0.0052629571546939,0.003986689836211969,0.015094619914616416
2,mul,signed,2000,0.0019465302792310269,4213845.978614985,290308.78327939764,0.010811440371227169
2,mul,cell_edges_diagonal,10718,0.002509056939308906,0.00676910114028006,0.0050001913397435295,0.01601149533729021
2,mul,residual_boundaries,166464,0.0019390814827134866,0.005462390071632508,0.0038795902743605443,0.016036585251430965
2,div,random_200k,200000,0.0035682774016631436,0.005105117794749976,0.0037783433336921143,0.03113542103033977
2,div,boundary_grid,131072,0.003466805186235801,0.004969832725418718,0.00367384739009376,0.030413465229969256
2,div,signed,2000,0.003529746185671014,2783810.583762599,203284.8553017641,0.023740506130959294
2,div,cell_edges_diagonal,10718,0.0031014324219694944,0.004091090912948054,0.0031647571662439975,0.021484281681469125
2,div,residual_boundaries,166464,0.004259024459758143,0.006138909980754396,0.004511349526324247,0.0334528289857411
3,mul,random_200k,200000,0.000471557283064349,0.0013070264983864792,0.0009820401795093102,0.003665206411288586
3,mul,boundary_grid,131072,0.00047882561167232347,0.0013176191926528942,0.0009974329218507025,0.00377655029296875
3,mul,signed,2000,0.0004562618852515472,409786.15216597734,38761.52135324845,0.002966226094295805
3,mul,cell_edges_diagonal,10718,0.0006266699429208993,0.0017900037092742742,0.0012548140170256122,0.004013313707353616
3,mul,residual_boundaries,166464,0.000494002155520535,0.0016905291625843707,0.0009918721862754627,0.004019486949947353
3,div,random_200k,200000,0.002577343025913345,0.0034298097640357533,0.00266306401237925,0.013996464697655392
3,div,boundary_grid,131072,0.002432696375974936,0.003231345182497469,0.002514959190775158,0.012591163709338188
3,div,signed,2000,0.002539013006983132,1639436.9612941954,137410.65444620693,0.012826953703015122
3,div,cell_edges_diagonal,10718,0.002051802449439506,0.0027359674815137444,0.0020778943253585494,0.012695218343278695
3,div,residual_boundaries,166464,0.0033371002616340785,0.004448504423485776,0.0034469789800768286,0.013210429562317896
