top,instance,inclusive_area_um2
absdm_l0_separate_native_mul,div_core,401.4
absdm_l0_separate_native_mul,mul_core,246.6
absdm_l0_separate_native_mul,wrapper,376.2
absdm_l0_separate,div_core,401.4
absdm_l0_separate,mul_core,235.8
absdm_l0_separate,wrapper,376.2
absdm_l0_shared,shared_core,896.4
absdm_l0_shared,wrapper,379.08
absdm_l1_separate_native_mul,div_core,819.0
absdm_l1_separate_native_mul,mul_core,650.16
absdm_l1_separate_native_mul,wrapper,383.4
absdm_l1_separate,div_core,819.0
absdm_l1_separate,mul_core,506.88
absdm_l1_separate,wrapper,383.4
absdm_l1_shared,shared_core,1326.6
absdm_l1_shared,wrapper,386.28
absdm_l2_separate_native_mul,div_core,839.88
absdm_l2_separate_native_mul,mul_core,988.56
absdm_l2_separate_native_mul,wrapper,390.6
absdm_l2_separate,div_core,839.88
absdm_l2_separate,mul_core,812.88
absdm_l2_separate,wrapper,390.6
absdm_l2_shared,shared_core,1652.76
absdm_l2_shared,wrapper,393.48
absdm_l3_separate_native_mul,div_core,988.56
absdm_l3_separate_native_mul,mul_core,1286.28
absdm_l3_separate_native_mul,wrapper,400.68
absdm_l3_separate,div_core,988.56
absdm_l3_separate,mul_core,1400.04
absdm_l3_separate,wrapper,400.68
absdm_l3_shared,shared_core,2180.52
absdm_l3_shared,wrapper,400.68
