top,group,level,instance,inclusive_area_um2
unified_mul_drop_l0_separate,mul_drop,0,div_core,564.84
unified_mul_drop_l0_separate,mul_drop,0,mul_core,234.72
unified_mul_drop_l0_separate,mul_drop,0,wrapper,379.08
unified_mul_drop_l0_shared,mul_drop,0,shared_core,887.76
unified_mul_drop_l0_shared,mul_drop,0,wrapper,379.08
unified_div_drop_l0_separate,div_drop,0,div_core,401.4
unified_div_drop_l0_separate,div_drop,0,mul_core,169.2
unified_div_drop_l0_separate,div_drop,0,wrapper,370.44
unified_div_drop_l0_shared,div_drop,0,shared_core,685.44
unified_div_drop_l0_shared,div_drop,0,wrapper,370.44
unified_mul_drop_l1_separate,mul_drop,1,div_core,1027.08
unified_mul_drop_l1_separate,mul_drop,1,mul_core,529.2
unified_mul_drop_l1_separate,mul_drop,1,wrapper,386.28
unified_mul_drop_l1_shared,mul_drop,1,shared_core,1317.96
unified_mul_drop_l1_shared,mul_drop,1,wrapper,386.28
unified_div_drop_l1_separate,div_drop,1,div_core,819.0
unified_div_drop_l1_separate,div_drop,1,mul_core,410.04
unified_div_drop_l1_separate,div_drop,1,wrapper,377.64
unified_div_drop_l1_shared,div_drop,1,shared_core,1057.68
unified_div_drop_l1_shared,div_drop,1,wrapper,377.64
unified_mul_drop_l2_separate,mul_drop,2,div_core,1274.76
unified_mul_drop_l2_separate,mul_drop,2,mul_core,812.88
unified_mul_drop_l2_separate,mul_drop,2,wrapper,393.48
unified_mul_drop_l2_shared,mul_drop,2,shared_core,1648.8
unified_mul_drop_l2_shared,mul_drop,2,wrapper,393.48
unified_div_drop_l2_separate,div_drop,2,div_core,839.88
unified_div_drop_l2_separate,div_drop,2,mul_core,544.32
unified_div_drop_l2_separate,div_drop,2,wrapper,376.2
unified_div_drop_l2_shared,div_drop,2,shared_core,1096.56
unified_div_drop_l2_shared,div_drop,2,wrapper,376.2
unified_mul_drop_l3_separate,mul_drop,3,div_core,1602.36
unified_mul_drop_l3_separate,mul_drop,3,mul_core,1400.04
unified_mul_drop_l3_separate,mul_drop,3,wrapper,400.68
unified_mul_drop_l3_shared,mul_drop,3,shared_core,2232.72
unified_mul_drop_l3_shared,mul_drop,3,wrapper,400.68
unified_div_drop_l3_separate,div_drop,3,div_core,988.56
unified_div_drop_l3_separate,div_drop,3,mul_core,945.0
unified_div_drop_l3_separate,div_drop,3,wrapper,374.76
unified_div_drop_l3_shared,div_drop,3,shared_core,1488.6
unified_div_drop_l3_shared,div_drop,3,wrapper,374.76
