top,level,group,structure,d,s,f,residual_width,a_width,b_width,t_width,div_reference,area_um2,delay_ns,slack_ns,power_mw,dc_report,pt_dir,adp_um2_ns,dynamic_power_mw,leakage_power_mw,div_mred,div_rmse,mul_mred,mul_rmse,rtl_checks,gate_checks,critical_startpoint,status
unified_mul_drop_l0_separate,0,mul_drop,separate,16,7,14,7,9,9,17,unified_mul_drop_l0_div_reference,1302.480009,2.02475,7.95525,0.0534572,experiments/absorbed_unified_drop/dc/unified_mul_drop_l0_separate/unified_mul_drop_l0_separate.dc.rpt,experiments/absorbed_unified_drop/pt/unified_mul_drop_l0_separate,2637.1963982227503,0.045162940000000006,0.00829426,0.04311380996987964,0.05524748246533427,0.031331976133929344,0.08357149469751439,1020508,61670,x[17] (input port clocked by vclk),PASS
unified_mul_drop_l0_shared,0,mul_drop,shared,16,7,14,7,9,9,17,unified_mul_drop_l0_div_reference,1369.080007,2.3755,7.6045,0.0546083,experiments/absorbed_unified_drop/dc/unified_mul_drop_l0_shared/unified_mul_drop_l0_shared.dc.rpt,experiments/absorbed_unified_drop/pt/unified_mul_drop_l0_shared,3252.2495566285,0.04604038,0.00856792,0.04311380996987964,0.05524748246533427,0.031331976133929344,0.08357149469751439,1020508,61670,divide_mode,PASS
unified_div_drop_l0_separate,0,div_drop,separate,18,7,12,5,9,9,15,unified_div_drop_l0_div_reference,1048.320007,1.88201,8.09799,0.0418505,experiments/absorbed_unified_drop/dc/unified_div_drop_l0_separate/unified_div_drop_l0_separate.dc.rpt,experiments/absorbed_unified_drop/pt/unified_div_drop_l0_separate,1972.94873637407,0.03522522,0.00662528,0.04351604480294047,0.05594083511246938,0.03245312418110808,0.08558873431104579,1020508,61670,x[18] (input port clocked by vclk),PASS
unified_div_drop_l0_shared,0,div_drop,shared,18,7,12,5,9,9,15,unified_div_drop_l0_div_reference,1145.160008,2.2594,7.7206,0.044688000000000005,experiments/absorbed_unified_drop/dc/unified_div_drop_l0_shared/unified_div_drop_l0_shared.dc.rpt,experiments/absorbed_unified_drop/pt/unified_div_drop_l0_shared,2587.3745220752,0.03762075000000001,0.00706725,0.04351604480294047,0.05594083511246938,0.03245312418110808,0.08558873431104579,1020508,61670,divide_mode,PASS
unified_mul_drop_l1_separate,1,mul_drop,separate,14,6,15,8,8,8,18,unified_mul_drop_l1_div_reference,2076.840006,2.47789,7.50211,0.0906235,experiments/absorbed_unified_drop/dc/unified_mul_drop_l1_separate/unified_mul_drop_l1_separate.dc.rpt,experiments/absorbed_unified_drop/pt/unified_mul_drop_l1_separate,5146.181082467339,0.0777403,0.012883200000000001,0.01079316605499558,0.015785337404758622,0.007615773233146062,0.020839242208101568,1020508,61670,y[15] (input port clocked by vclk),PASS
unified_mul_drop_l1_shared,1,mul_drop,shared,14,6,15,8,8,8,18,unified_mul_drop_l1_div_reference,1812.960007,2.64341,7.33659,0.0690425,experiments/absorbed_unified_drop/dc/unified_mul_drop_l1_shared/unified_mul_drop_l1_shared.dc.rpt,experiments/absorbed_unified_drop/pt/unified_mul_drop_l1_shared,4792.396612103869,0.0581291,0.0109134,0.01079316605499558,0.015785337404758622,0.007615773233146062,0.020839242208101568,1020508,61670,divide_mode,PASS
unified_div_drop_l1_separate,1,div_drop,separate,16,6,13,6,8,8,16,unified_div_drop_l1_div_reference,1724.400018,2.29517,7.68483,0.07103910000000001,experiments/absorbed_unified_drop/dc/unified_div_drop_l1_separate/unified_div_drop_l1_separate.dc.rpt,experiments/absorbed_unified_drop/pt/unified_div_drop_l1_separate,3957.7911893130604,0.06042080000000001,0.010618299999999999,0.010952215073206269,0.015980606609177172,0.007903166308260363,0.02137811207693802,1020508,61670,y[22] (input port clocked by vclk),PASS
unified_div_drop_l1_shared,1,div_drop,shared,16,6,13,6,8,8,16,unified_div_drop_l1_div_reference,1531.080017,2.47295,7.50705,0.0547442,experiments/absorbed_unified_drop/dc/unified_div_drop_l1_shared/unified_div_drop_l1_shared.dc.rpt,experiments/absorbed_unified_drop/pt/unified_div_drop_l1_shared,3786.28432804015,0.0455037,0.0092405,0.010952215073206269,0.015980606609177172,0.007903166308260363,0.02137811207693802,1020508,61670,divide_mode,PASS
unified_mul_drop_l2_separate,2,mul_drop,separate,12,5,16,9,7,7,19,unified_mul_drop_l2_div_reference,2625.840011,2.91543,7.06457,0.0993759,experiments/absorbed_unified_drop/dc/unified_mul_drop_l2_separate/unified_mul_drop_l2_separate.dc.rpt,experiments/absorbed_unified_drop/pt/unified_mul_drop_l2_separate,7655.45274326973,0.0829248,0.0164511,0.003040453141014676,0.004416312283701302,0.0018882605851581436,0.005220781671881097,1020508,61670,x[21] (input port clocked by vclk),PASS
unified_mul_drop_l2_shared,2,mul_drop,shared,12,5,16,9,7,7,19,unified_mul_drop_l2_div_reference,2157.480012,2.75951,7.22049,0.0550557,experiments/absorbed_unified_drop/dc/unified_mul_drop_l2_shared/unified_mul_drop_l2_shared.dc.rpt,experiments/absorbed_unified_drop/pt/unified_mul_drop_l2_shared,5953.58766791412,0.0411732,0.013882499999999999,0.003040453141014676,0.004416312283701302,0.0018882605851581436,0.005220781671881097,1020508,61670,divide_mode,PASS
unified_div_drop_l2_separate,2,div_drop,separate,16,5,12,5,7,7,15,unified_div_drop_l2_div_reference,1872.000012,2.37473,7.60527,0.06804270000000001,experiments/absorbed_unified_drop/dc/unified_div_drop_l2_separate/unified_div_drop_l2_separate.dc.rpt,experiments/absorbed_unified_drop/pt/unified_div_drop_l2_separate,4445.49458849676,0.05602250000000001,0.0120202,0.0035682774016631436,0.005105117794749976,0.0026873334515061685,0.007134688479152465,1020508,61670,y[21] (input port clocked by vclk),PASS
unified_div_drop_l2_shared,2,div_drop,shared,16,5,12,5,7,7,15,unified_div_drop_l2_div_reference,1562.040014,2.45344,7.52656,0.050699799999999996,experiments/absorbed_unified_drop/dc/unified_div_drop_l2_shared/unified_div_drop_l2_shared.dc.rpt,experiments/absorbed_unified_drop/pt/unified_div_drop_l2_shared,3832.37145194816,0.0406666,0.0100332,0.0035682774016631436,0.005105117794749976,0.0026873334515061685,0.007134688479152465,1020508,61670,divide_mode,PASS
unified_mul_drop_l3_separate,3,mul_drop,separate,10,4,17,10,6,6,20,unified_mul_drop_l3_div_reference,3558.240031,3.13459,6.84541,0.10873400000000001,experiments/absorbed_unified_drop/dc/unified_mul_drop_l3_separate/unified_mul_drop_l3_separate.dc.rpt,experiments/absorbed_unified_drop/pt/unified_mul_drop_l3_separate,11153.62361877229,0.08711410000000001,0.0216199,0.001600375221809079,0.002012597641219428,0.000471557283064349,0.0013070264983864792,1020508,61670,y[21] (input port clocked by vclk),PASS
unified_mul_drop_l3_shared,3,mul_drop,shared,10,4,17,10,6,6,20,unified_mul_drop_l3_div_reference,2756.160028,3.33875,6.64125,0.0540377,experiments/absorbed_unified_drop/dc/unified_mul_drop_l3_shared/unified_mul_drop_l3_shared.dc.rpt,experiments/absorbed_unified_drop/pt/unified_mul_drop_l3_shared,9202.129293484999,0.036841200000000004,0.0171965,0.001600375221809079,0.002012597641219428,0.000471557283064349,0.0013070264983864792,1020508,61670,divide_mode,PASS
unified_div_drop_l3_separate,3,div_drop,separate,16,4,11,4,6,6,14,unified_div_drop_l3_div_reference,2414.160032,2.42864,7.55136,0.0751574,experiments/absorbed_unified_drop/dc/unified_div_drop_l3_separate/unified_div_drop_l3_separate.dc.rpt,experiments/absorbed_unified_drop/pt/unified_div_drop_l3_separate,5863.12562011648,0.0599634,0.015194000000000001,0.002577343025913345,0.0034298097640357533,0.0019006478079148003,0.005042290615411065,1020508,61670,y[20] (input port clocked by vclk),PASS
unified_div_drop_l3_shared,3,div_drop,shared,16,4,11,4,6,6,14,unified_div_drop_l3_div_reference,1946.16003,2.58508,7.39492,0.0380177,experiments/absorbed_unified_drop/dc/unified_div_drop_l3_shared/unified_div_drop_l3_shared.dc.rpt,experiments/absorbed_unified_drop/pt/unified_div_drop_l3_shared,5030.9793703524,0.0253155,0.0127022,0.002577343025913345,0.0034298097640357533,0.0019006478079148003,0.005042290615411065,1020508,61670,divide_mode,PASS
