level,mode,dataset,cases,mred,rmse,max_relative,mean_error,scope
0,MUL,uniform_100k,100000,0.03136088231356413,0.08360446919149526,0.2463623783605716,1.939836883354914e-05,identical B/C/standalone outputs
0,DIV,uniform_100k,100000,0.04272834727615855,0.0565599010301334,0.30931572677865665,-0.006092835035778638,identical B/C/standalone outputs
0,MUL,boundaries,2304,0.03249993499257843,0.08439215805577545,0.23828143160786958,0.0037977430555555555,identical B/C/standalone outputs
0,DIV,boundaries,2304,0.04391105951982194,0.05971763454793921,0.2797852850344344,-0.006713801902624264,identical B/C/standalone outputs
0,MUL,signed_exponents,2000,0.030357073909833512,45483748.505999304,0.22915331718724904,895070.7872583759,identical B/C/standalone outputs
0,DIV,signed_exponents,2000,0.04134821730139491,24601264.34188688,0.31151444215553104,-277538.0795107125,identical B/C/standalone outputs
1,MUL,uniform_100k,100000,0.007615440660973365,0.020845195954126733,0.06285416486385222,5.185930633354914e-05,identical B/C/standalone outputs
1,DIV,uniform_100k,100000,0.010813661873455687,0.01618806143998146,0.08988794411201431,-0.002446412306286451,identical B/C/standalone outputs
1,MUL,boundaries,2304,0.007995857006305772,0.021553603646990074,0.060058817849454445,0.0008680555555555555,identical B/C/standalone outputs
1,DIV,boundaries,2304,0.01135328240191699,0.01770496209794316,0.08053607135295898,-0.002549847909568708,identical B/C/standalone outputs
1,MUL,signed_exponents,2000,0.00736406498426988,14532214.806175329,0.052973284902226914,640014.35915768,identical B/C/standalone outputs
1,DIV,signed_exponents,2000,0.010804241113671042,4193512.932769867,0.0801858101623831,68293.73653195323,identical B/C/standalone outputs
2,MUL,uniform_100k,100000,0.0018928336165583571,0.005226735216234865,0.015094726936386022,1.7738571147991423e-06,identical B/C/standalone outputs
2,DIV,uniform_100k,100000,0.0036546136559888823,0.005321253557555896,0.02824111449041544,-0.0013649691300169195,identical B/C/standalone outputs
2,MUL,boundaries,2304,0.0020220050510562936,0.005844885992459431,0.015075918417964051,0.00013563368055555556,identical B/C/standalone outputs
2,DIV,boundaries,2304,0.004550682887643423,0.006964583439631553,0.028613188611334668,-0.0012000808604150624,identical B/C/standalone outputs
2,MUL,signed_exponents,2000,0.00191585138630011,5912770.583530083,0.012018708681863693,-8005.947765760548,identical B/C/standalone outputs
2,DIV,signed_exponents,2000,0.0036418230256895167,1668478.9559743097,0.0256553126072842,29123.37324482197,identical B/C/standalone outputs
3,MUL,uniform_100k,100000,0.00047278489474495615,0.0013061734213219293,0.00368166496535982,-6.210861225055453e-07,identical B/C/standalone outputs
3,DIV,uniform_100k,100000,0.0027914027156542,0.003465010391812141,0.016452543384332892,-0.0011528057389036382,identical B/C/standalone outputs
3,MUL,boundaries,2304,0.0005156711653994082,0.0019273859305654144,0.003776787811105625,-4.7471788194444445e-05,identical B/C/standalone outputs
3,DIV,boundaries,2304,0.0032692553273425858,0.004849627608304366,0.015481277407621206,-0.0012342012081798194,identical B/C/standalone outputs
3,MUL,signed_exponents,2000,0.00046781920608019746,1644974.3199420047,0.003011073293768644,18290.34047207428,identical B/C/standalone outputs
3,DIV,signed_exponents,2000,0.0027270276225848556,1522146.3685089191,0.013207250714925501,-27774.13133225217,identical B/C/standalone outputs
