level,role,top,area_um2,delay_ns,slack_ns,power_mw,dc_report,pt_dir,adp_um2_ns,fresh_run,rtl_checks,gate_checks,status
0,A_DIV,oadm_fixed_l0_div_specialized,516.960004,1.7578,8.2222,0.024683,experiments/fixed_div_level_specialization/dc/oadm_fixed_l0_div_specialized/oadm_fixed_l0_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l0_div_specialized,908.7122950312,False,existing campaign,existing campaign,pass
0,A_MUL,oadm_fixed_l0_mul_root_opt,516.600003,1.37323,8.60678,0.0214399,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l0_mul_root_opt/oadm_fixed_l0_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l0_mul_root_opt,709.41062211969,False,existing campaign,existing campaign,pass
0,B,oadm_fixed_l0_divmul_unshared,1018.440007,1.96355,8.01645,0.0425729,experiments/arithmetic_sharing/dc/oadm_fixed_l0_divmul_unshared/oadm_fixed_l0_divmul_unshared.dc.rpt,experiments/arithmetic_sharing/pt/oadm_fixed_l0_divmul_unshared,1999.75787574485,True,208608,10608,pass
0,C,oadm_fixed_l0_divmul_root_opt,957.960008,2.49427,7.48572,0.0382199,experiments/arithmetic_sharing/dc/oadm_fixed_l0_divmul_root_opt/oadm_fixed_l0_divmul_root_opt.dc.rpt,experiments/arithmetic_sharing/pt/oadm_fixed_l0_divmul_root_opt,2389.4109091541604,True,208608,10608,pass
1,A_DIV,oadm_fixed_l1_div_specialized,1130.400003,2.70339,7.27661,0.0661543,experiments/fixed_div_level_specialization/dc/oadm_fixed_l1_div_specialized/oadm_fixed_l1_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l1_div_specialized,3055.91206411017,False,existing campaign,existing campaign,pass
1,A_MUL,oadm_fixed_l1_mul_root_opt,948.600003,1.85617,8.12383,0.038865899999999995,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l1_mul_root_opt/oadm_fixed_l1_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l1_mul_root_opt,1760.76286756851,False,existing campaign,existing campaign,pass
1,B,oadm_fixed_l1_divmul_unshared,2111.400006,2.887,7.093,0.0965477,experiments/arithmetic_sharing/dc/oadm_fixed_l1_divmul_unshared/oadm_fixed_l1_divmul_unshared.dc.rpt,experiments/arithmetic_sharing/pt/oadm_fixed_l1_divmul_unshared,6095.611817321999,True,208608,10608,pass
1,C,oadm_fixed_l1_divmul_root_opt,1696.680006,2.89371,7.08629,0.073253,experiments/arithmetic_sharing/dc/oadm_fixed_l1_divmul_root_opt/oadm_fixed_l1_divmul_root_opt.dc.rpt,experiments/arithmetic_sharing/pt/oadm_fixed_l1_divmul_root_opt,4909.69990016226,True,208608,10608,pass
2,A_DIV,oadm_fixed_l2_div_specialized,1484.640007,2.73617,7.24383,0.0750523,experiments/fixed_div_level_specialization/dc/oadm_fixed_l2_div_specialized/oadm_fixed_l2_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l2_div_specialized,4062.2274479531898,False,existing campaign,existing campaign,pass
2,A_MUL,oadm_fixed_l2_mul_root_opt,1317.600004,2.14132,7.83868,0.057210000000000004,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l2_mul_root_opt/oadm_fixed_l2_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l2_mul_root_opt,2821.4032405652797,False,existing campaign,existing campaign,pass
2,B,oadm_fixed_l2_divmul_unshared,2751.840011,3.15696,6.82304,0.12494900000000002,experiments/arithmetic_sharing/dc/oadm_fixed_l2_divmul_unshared/oadm_fixed_l2_divmul_unshared.dc.rpt,experiments/arithmetic_sharing/pt/oadm_fixed_l2_divmul_unshared,8687.44884112656,True,208608,10608,pass
2,C,oadm_fixed_l2_divmul_root_opt,2106.72001,3.31142,6.66857,0.0911738,experiments/arithmetic_sharing/dc/oadm_fixed_l2_divmul_root_opt/oadm_fixed_l2_divmul_root_opt.dc.rpt,experiments/arithmetic_sharing/pt/oadm_fixed_l2_divmul_root_opt,6976.2347755142,True,208608,10608,pass
3,A_DIV,oadm_fixed_l3_div_specialized,1865.520005,3.08149,6.89851,0.0834119,experiments/fixed_div_level_specialization/dc/oadm_fixed_l3_div_specialized/oadm_fixed_l3_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l3_div_specialized,5748.581240207451,False,existing campaign,existing campaign,pass
3,A_MUL,oadm_fixed_l3_mul_root_opt,1645.920004,2.47074,7.50926,0.0764037,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l3_mul_root_opt/oadm_fixed_l3_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l3_mul_root_opt,4066.6403906829605,False,existing campaign,existing campaign,pass
3,B,oadm_fixed_l3_divmul_unshared,3454.200009,3.47887,6.50113,0.153065,experiments/arithmetic_sharing/dc/oadm_fixed_l3_divmul_unshared/oadm_fixed_l3_divmul_unshared.dc.rpt,experiments/arithmetic_sharing/pt/oadm_fixed_l3_divmul_unshared,12016.712785309832,True,208608,10608,pass
3,C,oadm_fixed_l3_divmul_root_opt,2663.640009,3.68527,6.29473,0.111693,experiments/arithmetic_sharing/dc/oadm_fixed_l3_divmul_root_opt/oadm_fixed_l3_divmul_root_opt.dc.rpt,experiments/arithmetic_sharing/pt/oadm_fixed_l3_divmul_root_opt,9816.23261596743,True,208608,10608,pass
