level,role,group,start,end,arrival_ns,report
0,B,divide_mode_exp,divide_mode,result[30] (output port clocked by vclk),1.05608,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l0_divmul_unshared/divide_mode_exp.rpt
0,B,divide_mode_frac,divide_mode,result[22] (output port clocked by vclk),0.54952,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l0_divmul_unshared/divide_mode_frac.rpt
0,B,global,x[18] (input port clocked by vclk),result[30] (output port clocked by vclk),1.96355,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l0_divmul_unshared/global.rpt
0,B,mode0,y[18] (input port clocked by vclk),result[30] (output port clocked by vclk),1.56979,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l0_divmul_unshared/mode0.rpt
0,B,mode1,x[18] (input port clocked by vclk),result[30] (output port clocked by vclk),1.95765,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l0_divmul_unshared/mode1.rpt
0,B,x_exp,x[18] (input port clocked by vclk),result[30] (output port clocked by vclk),1.96355,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l0_divmul_unshared/x_exp.rpt
0,B,x_frac,x[18] (input port clocked by vclk),result[22] (output port clocked by vclk),1.45699,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l0_divmul_unshared/x_frac.rpt
0,B,y_exp,y[19] (input port clocked by vclk),result[30] (output port clocked by vclk),1.93577,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l0_divmul_unshared/y_exp.rpt
0,B,y_frac,y[19] (input port clocked by vclk),result[22] (output port clocked by vclk),1.42922,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l0_divmul_unshared/y_frac.rpt
0,C,divide_mode_exp,divide_mode,result[30] (output port clocked by vclk),2.49427,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l0_divmul_root_opt/divide_mode_exp.rpt
0,C,divide_mode_frac,divide_mode,result[22] (output port clocked by vclk),1.98776,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l0_divmul_root_opt/divide_mode_frac.rpt
0,C,global,divide_mode,result[30] (output port clocked by vclk),2.49427,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l0_divmul_root_opt/global.rpt
0,C,mode0,x[16] (input port clocked by vclk),result[30] (output port clocked by vclk),1.74213,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l0_divmul_root_opt/mode0.rpt
0,C,mode1,y[18] (input port clocked by vclk),result[30] (output port clocked by vclk),2.19522,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l0_divmul_root_opt/mode1.rpt
0,C,x_exp,x[16] (input port clocked by vclk),result[30] (output port clocked by vclk),2.28428,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l0_divmul_root_opt/x_exp.rpt
0,C,x_frac,x[16] (input port clocked by vclk),result[22] (output port clocked by vclk),1.77776,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l0_divmul_root_opt/x_frac.rpt
0,C,y_exp,y[17] (input port clocked by vclk),result[30] (output port clocked by vclk),2.29687,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l0_divmul_root_opt/y_exp.rpt
