design,top,bits,bias,level,area_um2,delay_ns,slack_ns,power_mw,dc_report,pt_dir,adp_um2_ns,cases,rmse,mred,mae,mean_error,max_relative,residual_drop,wn_drop,quotient_fraction_bits,status
input_div_b3_bias0,input_div_b3_bias0,3,0,,383.400003,1.85773,8.12227,0.014963299999999999,experiments/div_truncation_figure/dc/input_div_b3_bias0/input_div_b3_bias0.dc.rpt,experiments/div_truncation_figure/pt/input_div_b3_bias0,712.2536875731901,100000,0.0439913805802101,0.03387015596082422,0.03463712412463623,-0.00788404207938393,0.14064713598972114,,,5,pass
input_div_b5_bias0,input_div_b5_bias0,5,0,,664.920005,3.50054,6.47946,0.0311965,experiments/div_truncation_figure/dc/input_div_b5_bias0/input_div_b5_bias0.dc.rpt,experiments/div_truncation_figure/pt/input_div_b5_bias0,2327.5790743026996,100000,0.011068004778542731,0.008730834827663575,0.008796785203862303,-0.0027261514543839302,0.038710640853494176,,,7,pass
input_div_b7_bias0,input_div_b7_bias0,7,0,,1044.360007,5.6534,4.3266,0.0575864,experiments/div_truncation_figure/dc/input_div_b7_bias0/input_div_b7_bias0.dc.rpt,experiments/div_truncation_figure/pt/input_div_b7_bias0,5904.184863573801,100000,0.002767195953570932,0.0021989632288678504,0.0022056032858711627,-0.0007277530168839304,0.010527897536757067,,,9,pass
input_div_b3_bias1,input_div_b3_bias1,3,1,,419.040004,2.12277,7.85723,0.0167326,experiments/input_trunc_bias/dc/input_div_b3_bias1/input_div_b3_bias1.dc.rpt,experiments/input_trunc_bias/pt/input_div_b3_bias1,889.5255492910801,100000,0.04278811294691637,0.03275183358294685,0.033724003530966516,-0.01476372957938393,0.13103996848765112,,,5,pass
input_div_b5_bias1,input_div_b5_bias1,5,1,,714.600006,3.93083,6.04917,0.0348688,experiments/input_trunc_bias/dc/input_div_b5_bias1/input_div_b5_bias1.dc.rpt,experiments/input_trunc_bias/pt/input_div_b5_bias1,2808.9711415849797,100000,0.010768231542776792,0.008273872638952011,0.008488841838318517,-0.00385912020438393,0.035247646077871085,,,7,pass
input_div_b7_bias1,input_div_b7_bias1,7,1,,1108.440009,6.26881,3.71119,0.0640272,experiments/input_trunc_bias/dc/input_div_b7_bias1/input_div_b7_bias1.dc.rpt,experiments/input_trunc_bias/pt/input_div_b7_bias1,6948.59981281929,100000,0.0026900656604035666,0.0020705264478002383,0.0021217052038359384,-0.0009690616106339305,0.009026158934946255,,,9,pass
oadm_div_l0,oadm_fixed_l0_div_specialized,,,0,516.960004,1.7578,8.2222,0.024683,experiments/fixed_div_level_specialization/dc/oadm_fixed_l0_div_specialized/oadm_fixed_l0_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l0_div_specialized,908.7122950312,100000,0.05642904433174937,0.0426847334119081,0.04228467560153761,-0.00635385409110268,0.311724751201149,18,18,,pass
oadm_div_l1,oadm_fixed_l1_div_specialized,,,1,1130.400003,2.70339,7.27661,0.0661543,experiments/fixed_div_level_specialization/dc/oadm_fixed_l1_div_specialized/oadm_fixed_l1_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l1_div_specialized,3055.91206411017,100000,0.01610807441407574,0.010744290622541598,0.011346461575604415,-0.002334134242469868,0.08994003367908683,16,16,,pass
oadm_div_l2,oadm_fixed_l2_div_specialized,,,2,1484.640007,2.73617,7.24383,0.0750523,experiments/fixed_div_level_specialization/dc/oadm_fixed_l2_div_specialized/oadm_fixed_l2_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l2_div_specialized,4062.2274479531898,100000,0.0052869101122308,0.0036413991796571503,0.0038053005160255528,-0.0013412161516495552,0.029231251009329478,16,16,,pass
oadm_div_l3,oadm_fixed_l3_div_specialized,,,3,1865.520005,3.08149,6.89851,0.0834119,experiments/fixed_div_level_specialization/dc/oadm_fixed_l3_div_specialized/oadm_fixed_l3_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l3_div_specialized,5748.581240207451,100000,0.003464444928480291,0.0027890733509097466,0.002751473907062568,-0.0011428970598526805,0.015964165580673716,16,16,,pass
