top,dataset,cases,mae,mred,rmse,mean_relative,max_relative,p99_relative
fpd2d_2x4_t19,uniform_200k,200000,0.0195145369329002,0.019121808158592875,0.0249542633369333,-0.0007461678029940277,0.09791007402879305,0.06229144878357147
fpd2d_2x4_t19,retained_grid,65536,0.01945996393406553,0.01909210751342461,0.02487522318413151,-0.0007810408686387111,0.0973247232472325,0.06236883991877013
fpd2d_2x4_t19,retained_grid_low_ones,65536,0.01956685798518997,0.019182304918842024,0.025049030792172043,-0.0007783286489201367,0.09768496147295576,0.06238507063896787
fpd2d_2x4_t19,signed_exponents,2000,1123806.166075807,0.019591138271045506,14372274.946812628,-0.0014149693000388738,0.08470390750234391,0.06539855747161781
fpd2d_2x8_t18,uniform_200k,200000,0.01190711532419321,0.011680380112981283,0.015314474283182033,0.00016523811154533913,0.07281969120023227,0.040399263662304764
fpd2d_2x8_t18,retained_grid,65536,0.011808626412753131,0.011610028275829666,0.01517773276534722,0.00016667768385675297,0.07144165039062503,0.04030129119463512
fpd2d_2x8_t18,retained_grid_low_ones,65536,0.011892979095009377,0.011659959952493163,0.015314333596475918,0.0001674689633691795,0.06979576987873126,0.04026262005384891
fpd2d_2x8_t18,signed_exponents,2000,786464.4313013862,0.011686224584621374,10255156.03783635,0.0001304000883514132,0.059630962412936216,0.039896038007706525
fpd2d_2x8_t17,uniform_200k,200000,0.009538835048135559,0.009506224803929245,0.012454610952216807,0.0003518921741150305,0.06243093394557437,0.03537883232116646
fpd2d_2x8_t17,retained_grid,65536,0.009468645140916818,0.009466039092007453,0.012364125957023638,0.00036816711475211637,0.06130981445312495,0.03543269091593331
fpd2d_2x8_t17,retained_grid_low_ones,65536,0.009510032638665516,0.00946082148966897,0.012441128444770135,0.00036808445046526,0.059703356228941275,0.03524085746026641
fpd2d_2x8_t17,signed_exponents,2000,582074.3924443797,0.009579760933562078,8179300.6400079895,0.00048502086187510244,0.04883277977870195,0.034954468651361724
fpd2d_4x8_t17,uniform_200k,200000,0.006392659462134059,0.006412872811402948,0.008102120943011762,-0.0005527007138895629,0.045876896416446024,0.02259182304198709
fpd2d_4x8_t17,retained_grid,65536,0.0062807919587495025,0.0063214272684934975,0.007950795615484741,-0.0005480835069025456,0.043074324324324405,0.02222416644494968
fpd2d_4x8_t17,retained_grid_low_ones,65536,0.006391172103715611,0.006411005183016751,0.008109533859315449,-0.0005470438829228052,0.04444106421879268,0.02281939615243799
fpd2d_4x8_t17,signed_exponents,2000,431695.7439311563,0.006454674082510215,6209036.626331404,-0.0004994067800944896,0.03024442998834047,0.0234068113643193
fpd2d_8x8_t17,uniform_200k,200000,0.008658974411183623,0.007916005255796204,0.0187728900888219,-0.0001693554285116997,0.12822864136195353,0.09183952370588708
fpd2d_8x8_t17,retained_grid,65536,0.008505791948014166,0.007797586752663005,0.018568095768505096,-0.00018117519636965892,0.1286764705882352,0.09198813056379825
fpd2d_8x8_t17,retained_grid_low_ones,65536,0.008606774741608918,0.007857549109496209,0.018763448777074667,-0.00018012903247035703,0.12861689996054382,0.09164542954204737
