top,family,configuration,paper_mred_pct,area_um2,delay_ns,slack_ns,power_mw,dc_report,pt_dir,adp_um2_ns,mae,mred,rmse,max_relative,rtl_cases,gate_cases,status
fpd2d_2x4_t19,FPD2D,"2x4,t=19",1.98,474.480004,1.44184,8.53816,0.0151375,experiments/fpd2d/dc/fpd2d_2x4_t19/fpd2d_2x4_t19.dc.rpt,experiments/fpd2d/pt/fpd2d_2x4_t19,684.12424896736,0.0195145369329002,0.019121808158592875,0.0249542633369333,0.09791007402879305,333072,333072,verified local reconstruction
fpd2d_2x8_t18,FPD2D,"2x8,t=18",1.19,573.480006,1.62174,8.35826,0.021942100000000003,experiments/fpd2d/dc/fpd2d_2x8_t18/fpd2d_2x8_t18.dc.rpt,experiments/fpd2d/pt/fpd2d_2x8_t18,930.03546493044,0.01190711532419321,0.011680380112981283,0.015314474283182033,0.07281969120023227,333072,333072,verified local reconstruction
fpd2d_2x8_t17,FPD2D,"2x8,t=17",0.96,653.400007,1.70406,8.27594,0.0254671,experiments/fpd2d/dc/fpd2d_2x8_t17/fpd2d_2x8_t17.dc.rpt,experiments/fpd2d/pt/fpd2d_2x8_t17,1113.4328159284198,0.009538835048135559,0.009506224803929245,0.012454610952216807,0.06243093394557437,333072,333072,verified local reconstruction
fpd2d_4x8_t17,FPD2D,"4x8,t=17",0.66,718.200009,1.83703,8.14297,0.0228025,experiments/fpd2d/dc/fpd2d_4x8_t17/fpd2d_4x8_t17.dc.rpt,experiments/fpd2d/pt/fpd2d_4x8_t17,1319.35496253327,0.006392659462134059,0.006412872811402948,0.008102120943011762,0.045876896416446024,333072,333072,verified local reconstruction
fpd2d_8x8_t17,FPD2D,"8x8,t=17",0.54,789.480011,1.86304,8.11696,0.0217128,experiments/fpd2d/dc/fpd2d_8x8_t17/fpd2d_8x8_t17.dc.rpt,experiments/fpd2d/pt/fpd2d_8x8_t17,1470.83283969344,0.008658974411183623,0.007916005255796204,0.0187728900888219,0.12822864136195353,333072,333072,verified local reconstruction
fpd2d_8x8_t16,FPD2D,"8x8,t=16",0.42,862.920012,1.98172,7.99828,0.023456,experiments/fpd2d/dc/fpd2d_8x8_t16/fpd2d_8x8_t16.dc.rpt,experiments/fpd2d/pt/fpd2d_8x8_t16,1710.06584618064,0.007502526300320812,0.006863545896051112,0.018114864566805375,0.12659844006013699,333072,333072,verified local reconstruction
fpd2d_8x8_t15,FPD2D,"8x8,t=15",0.39,931.680013,2.00701,7.97299,0.0237324,experiments/fpd2d/dc/fpd2d_8x8_t15/fpd2d_8x8_t15.dc.rpt,experiments/fpd2d/pt/fpd2d_8x8_t15,1869.8911028911302,0.007156908570146822,0.006557753313098986,0.017935563981196664,0.12493575376810102,333072,333072,verified local reconstruction
oadm_fixed_l0_div_specialized,STDM,L0,,516.960004,1.7578,8.2222,0.024683,experiments/fpd2d/dc/oadm_fixed_l0_div_specialized/oadm_fixed_l0_div_specialized.dc.rpt,experiments/fpd2d/pt/oadm_fixed_l0_div_specialized,908.7122950312,0.04225530269301196,0.04265015139877548,0.056459673068841754,0.31238485450405257,333072,333072,verified control
oadm_fixed_l1_div_specialized,STDM,L1,,1130.400003,2.70339,7.27661,0.0661543,experiments/fpd2d/dc/oadm_fixed_l1_div_specialized/oadm_fixed_l1_div_specialized.dc.rpt,experiments/fpd2d/pt/oadm_fixed_l1_div_specialized,3055.91206411017,0.011393409298951903,0.010773303287989111,0.016165459704662467,0.0915832873823356,333072,333072,verified control
oadm_fixed_l2_div_specialized,STDM,L2,,1484.640007,2.73617,7.24383,0.0750523,experiments/fpd2d/dc/oadm_fixed_l2_div_specialized/oadm_fixed_l2_div_specialized.dc.rpt,experiments/fpd2d/pt/oadm_fixed_l2_div_specialized,4062.2274479531898,0.003818940097088761,0.0036477691906840848,0.00531504337898066,0.02911428868703509,333072,333072,verified control
oadm_fixed_l3_div_specialized,STDM,L3,,1865.520005,3.08149,6.89851,0.0834119,experiments/fpd2d/dc/oadm_fixed_l3_div_specialized/oadm_fixed_l3_div_specialized.dc.rpt,experiments/fpd2d/pt/oadm_fixed_l3_div_specialized,5748.581240207451,0.002761929132078032,0.002794255451214877,0.003481541880022741,0.01643846842130861,333072,333072,verified control
fpd2d_8x8_t17_milp,FPD2D_MILP,"8x8,t=17",0.54,790.560011,1.87255,8.10745,0.019809,experiments/fpd2d/dc/fpd2d_8x8_t17_milp/fpd2d_8x8_t17_milp.dc.rpt,experiments/fpd2d/pt/fpd2d_8x8_t17_milp,1480.36314859805,0.00534443798138337,0.005282125493849375,0.006828300456487967,0.03348568727899727,333072,333072,verified local reconstruction
fpd2d_8x8_t16_milp,FPD2D_MILP,"8x8,t=16",0.42,869.760013,1.96163,8.01837,0.0232792,experiments/fpd2d/dc/fpd2d_8x8_t16_milp/fpd2d_8x8_t16_milp.dc.rpt,experiments/fpd2d/pt/fpd2d_8x8_t16_milp,1706.1473343011899,0.0040539336990210555,0.004095821204582157,0.00513437206916195,0.02769132959526885,333072,333072,verified local reconstruction
fpd2d_8x8_t15_milp,FPD2D_MILP,"8x8,t=15",0.39,942.120012,2.03842,7.94158,0.0266014,experiments/fpd2d/dc/fpd2d_8x8_t15_milp/fpd2d_8x8_t15_milp.dc.rpt,experiments/fpd2d/pt/fpd2d_8x8_t15_milp,1920.43627486104,0.00365315827265433,0.0037354125780856974,0.004636033865589977,0.02524412676818874,333072,333072,verified local reconstruction
