dataset,design,cases,mae,mred,rmse,mean_error,max_relative,mred_vs_fp32_rne
heldout_uniform,input_div_b3_bias1,100000,0.03372400353096705,0.03275183358294685,0.0427881129469163,-0.01476372957938387,0.13103996848765112,0.03275183358696127
heldout_uniform,input_div_b5_bias1,100000,0.008488841838318592,0.008273872638951896,0.01076823154277688,-0.0038591202043839895,0.035247646077871085,0.00827387268793311
heldout_uniform,input_div_b7_bias1,100000,0.0021217052038359258,0.0020705264478002405,0.002690065660403571,-0.0009690616106339169,0.009026158934946255,0.0020705264789857947
heldout_uniform,input_mul_b3_bias1,100000,0.0635457482497634,0.029479785931455362,0.0780827907915711,-0.00023995275408847676,0.11976321225609768,0.02947978602032912
heldout_uniform,input_mul_b5_bias1,100000,0.015874467114189928,0.007350044850366386,0.01948891070606705,3.325037091152325e-05,0.03043449183366881,0.007350044925376749
heldout_uniform,input_mul_b7_bias1,100000,0.003955013106126433,0.0018329817712493682,0.004857356111011623,-1.5593928404883002e-05,0.007268629717888802,0.0018329817353957617
heldout_uniform,input_mul_b9_bias1,100000,0.0009931042468938037,0.00045963459554796885,0.0012194021964289962,-4.248637267187689e-06,0.0018203243429716126,0.00045963454352055896
heldout_uniform,oadm_div_l0,100000,0.042284675601538146,0.042684733411908156,0.056429044331749216,-0.006353854091102775,0.311724751201149,0.04268473348590966
heldout_uniform,oadm_div_l1,100000,0.011346461575604361,0.010744290622541636,0.01610807441407575,-0.0023341342424698613,0.08994003367908683,0.010744290765971892
heldout_uniform,oadm_div_l2,100000,0.003805300516025553,0.0036413991796571555,0.005286910112230791,-0.001341216151649549,0.029231251009329478,0.0036413991403771518
heldout_uniform,oadm_div_l3,100000,0.002751473907062557,0.00278907335090981,0.0034644449284803023,-0.0011428970598526744,0.015964165580673716,0.0027890734189712466
heldout_uniform,oadm_mul_l0,100000,0.06277421259170665,0.03136642907277981,0.08337597973821176,0.00018946130841152324,0.24847138820770448,0.03136642906907243
heldout_uniform,oadm_mul_l1,100000,0.015582012931369122,0.007590475697616408,0.02072988306852173,-4.382970721347675e-05,0.060800318874968874,0.007590475634372091
heldout_uniform,oadm_mul_l2,100000,0.003925969099046576,0.0018937591792371753,0.005218619134747215,-1.6520747252539252e-05,0.014334728658005719,0.0018937590743834855
heldout_uniform,oadm_mul_l3,100000,0.0009812748008479497,0.00047273232239332304,0.001306528131352803,-7.943781920508002e-06,0.0033944661320594307,0.0004727323498622794
heldout_uniform,pace_full_l1,100000,0.02831051445682432,0.026181617164544212,0.045222442778428,-0.008381513045365371,0.12454696633194891,0.026181617101572525
heldout_uniform,pace_full_l3,100000,0.005894003944320034,0.005595961018913418,0.009186388234397729,0.001356316558783455,0.24037140393534576,0.005595960914420143
heldout_uniform,audit_pace_l1_b5,100000,0.03387333172898253,0.03092907984548733,0.05107423540459928,-0.01429138582938388,0.1441798110228174,0.03092907988409268
heldout_uniform,audit_pace_l3_b6,100000,0.012073393924807387,0.011338142041017884,0.015629564528225684,-0.009495448329383887,0.049401434355191405,0.011338142052601051
log_uniform,input_div_b3_bias1,100000,0.034921196293263755,0.033794428840899844,0.044368079514211956,-0.014854487159177919,0.13092471826942856,0.03379442883638918
log_uniform,input_div_b5_bias1,100000,0.008740870947384656,0.008508289457540053,0.01108944575713431,-0.003798159034178035,0.03656975032092771,0.008508289522624873
log_uniform,input_div_b7_bias1,100000,0.002189643318706927,0.0021324774444161218,0.002777030875795437,-0.0009670066904280397,0.009019032250256728,0.0021324775022575054
log_uniform,input_mul_b3_bias1,100000,0.06103979207657115,0.030583652796656355,0.07497496203115499,0.002463851417305051,0.1254808303825889,0.03058365294726482
log_uniform,input_mul_b5_bias1,100000,0.015302891223056836,0.007652506081793136,0.0188006800010307,0.00014135141730504345,0.02979957016182961,0.00765250611690573
log_uniform,input_mul_b7_bias1,100000,0.0038284739886558354,0.001913782660974859,0.004702008361937897,2.625284552769969e-05,0.007287852512895965,0.0019137825814653034
log_uniform,input_mul_b9_bias1,100000,0.0009559239338265285,0.00047792173503768005,0.0011739934242033653,1.349014045766097e-06,0.0018340402447732146,0.0004779218383562048
log_uniform,oadm_div_l0,100000,0.043058536106812574,0.04325321802160035,0.05760539945193048,-0.0073594383310529735,0.3104738945786968,0.043253217954715456
log_uniform,oadm_div_l1,100000,0.012100216388027519,0.011484583319162793,0.01702636794878755,-0.002513564307615561,0.0899171482403101,0.011484583257809463
log_uniform,oadm_div_l2,100000,0.0040437912555493,0.0038712920697817287,0.005615052402442616,-0.0015294920419905626,0.028355876785799452,0.0038712920608029644
log_uniform,oadm_div_l3,100000,0.002814526474485152,0.002836952189409307,0.0035592955437833596,-0.0011896556162092936,0.01650810163181001,0.0028369522144726165
log_uniform,oadm_mul_l0,100000,0.06545355693096887,0.036613517071700304,0.08638249027201025,-0.0031511876451949597,0.24932440940490758,0.036613516952357344
log_uniform,oadm_mul_l1,100000,0.015895995310742993,0.008459038197341293,0.021107978734328358,-0.00024716909050745656,0.06291064079304341,0.008459038202558488
log_uniform,oadm_mul_l2,100000,0.003944664481159143,0.0020608175666108203,0.005235970903860914,-1.719655632776906e-05,0.015420389912782705,0.0020608176256130414
log_uniform,oadm_mul_l3,100000,0.0009806751703329293,0.000509905945261893,0.0013070743577694914,3.6388623734028156e-06,0.0038253311962930976,0.0005099059649442987
log_uniform,pace_full_l1,100000,0.030111987694562577,0.027775879625266713,0.04747242244612377,-0.010028991669342109,0.12466665355967832,0.027775879553314845
log_uniform,pace_full_l3,100000,0.006080420543517403,0.005810850228717685,0.009444168137150481,0.0013169879723336404,0.24478272754848873,0.0058108501629397435
log_uniform,audit_pace_l1_b5,100000,0.03610118879112149,0.032911872078670336,0.05361789745069898,-0.016245112159177923,0.1449540551205355,0.032911871980626756
log_uniform,audit_pace_l3_b6,100000,0.012528576998478036,0.011782933354341135,0.016176732624595295,-0.009901205909177846,0.04899923285195905,0.011782933486031232
eight_fraction_bits,input_div_b3_bias1,65536,0.03385926602152029,0.03280155808353037,0.04300518060457496,-0.014928989050358579,0.12891986062717767,0.03280155821095092
eight_fraction_bits,input_div_b5_bias1,65536,0.008461425117218743,0.008203756627266686,0.01077264165832859,-0.003965549108952314,0.033269961977186284,0.008203756522489352
eight_fraction_bits,input_div_b7_bias1,65536,0.0019692311833135632,0.001885463075859526,0.00249172881717112,-0.0010842605805099126,0.005791505791505791,0.001885462803721288
eight_fraction_bits,input_mul_b3_bias1,65536,0.06358641851693392,0.029592761518333045,0.0780284497328282,0.005855560302734375,0.12890625,0.029592761518333045
eight_fraction_bits,input_mul_b5_bias1,65536,0.016392340883612633,0.0076208909052127875,0.020194511566014532,0.005855560302734375,0.031494140625,0.0076208909052127875
eight_fraction_bits,input_mul_b7_bias1,65536,0.005855560302734375,0.0027170936159191996,0.0072581369835123056,0.005855560302734375,0.0078277587890625,0.0027170936159191996
