dataset,design,mode,bits,bias,cases,mae,mred,rmse,mean_error,max_abs,max_relative,p99_relative
random_200k,oadm_div_l0,div,,,200000,0.04221352743542031,0.04276105238432493,0.056344348959393324,-0.006145168325756942,0.2974316089766895,0.31084873085101594,0.21108023615952545
random_200k,oadm_div_l1,div,,,200000,0.01138122762020483,0.010796596485068427,0.01616158943435105,-0.0024383647368897547,0.10248531991418952,0.09169637403525123,0.049553279154089254
random_200k,oadm_div_l2,div,,,200000,0.003821751090339618,0.0036620854510558383,0.005316568232606285,-0.0013579879973878006,0.03949703866418952,0.028944962704377734,0.01514816550103502
random_200k,oadm_div_l3,div,,,200000,0.0027511991089932586,0.0027913450886907494,0.0034670108426050478,-0.0011547758697022534,0.01753361597667369,0.016439876554044934,0.009339946217139985
random_200k,input_div_b2_bias0,div,2,0,200000,0.0698446990250833,0.06823628721819774,0.08840575176818623,-0.012276572134350688,0.3498002667052742,0.24982169213972083,0.20632516515273788
random_200k,input_div_b2_bias1,div,2,1,200000,0.06667406634969379,0.0637596121591554,0.08532637613458928,-0.02773438463435069,0.3721386402266895,0.24938972347595292,0.1778505039548036
random_200k,input_div_b3_bias0,div,3,0,200000,0.03477145995329181,0.03402710407016931,0.04411459973302038,-0.00797688463435069,0.20471144819329412,0.14157824808944025,0.10266052063048303
random_200k,input_div_b3_bias1,div,3,1,200000,0.03390827316806904,0.032948409731570816,0.04298135845754063,-0.014750634634350689,0.18626895888225836,0.13026232180344105,0.09664422383596041
random_200k,input_div_b4_bias0,div,4,0,200000,0.01758185134996568,0.017412165766090316,0.022164694209422454,-0.004916650259350691,0.10845917326805976,0.0789814983664197,0.05388317497526965
random_200k,input_div_b4_bias1,div,4,1,200000,0.017016851807200528,0.01652802902530176,0.0216234989875818,-0.00787407213435069,0.09251895888225836,0.06934956548255586,0.048829763608301414
random_200k,input_div_b5_bias0,div,5,0,200000,0.008772755765765037,0.008719619006299566,0.01103627247841354,-0.0027275486968506915,0.054194616358475,0.04044123210564789,0.027033401633873737
random_200k,input_div_b5_bias1,div,5,1,200000,0.00849615506299441,0.008289644348229604,0.01077002901524108,-0.0038586033843506914,0.047820952491170576,0.03599107572655657,0.024914598814064152
random_200k,input_div_b6_bias0,div,6,0,200000,0.0044105251653957,0.004397654878052771,0.005541024807461115,-0.0014127635406006912,0.02883127971173982,0.02178606192822934,0.013828023735003843
random_200k,input_div_b6_bias1,div,6,1,200000,0.004250026212660846,0.004143370960573912,0.005397309247181203,-0.0019466111968506913,0.022964028356253774,0.01779306293974055,0.012453016356358709
random_200k,input_div_b7_bias0,div,7,0,200000,0.002199855105952587,0.002196284818622228,0.002759457074684138,-0.0007295799468506908,0.014123627905083813,0.010519666283425898,0.006930888367312209
random_200k,input_div_b7_bias1,div,7,1,200000,0.002120114335251615,0.0020697013784056893,0.00268856088010913,-0.0009690818999756909,0.011740971313610737,0.009070969832063184,0.006244741137336198
random_200k,input_div_b8_bias0,div,8,0,200000,0.0011013194831730189,0.0011006641967880504,0.0013819515400757619,-0.000368666860913191,0.006832149179482938,0.0053501509808453205,0.003482650553668184
random_200k,input_div_b8_bias1,div,8,1,200000,0.0010610437661847905,0.0010355723615513887,0.0013457657499439356,-0.00048446275935069095,0.005981266373883409,0.004526931643584249,0.003127136022233242
random_200k,input_div_b9_bias0,div,9,0,200000,0.0005526340891405671,0.000552929965979099,0.0006927175364348199,-0.000187140982006941,0.003548402851673016,0.0027036886711964514,0.0017431232174343072
random_200k,input_div_b9_bias1,div,9,1,200000,0.0005313370867393817,0.0005189889756885897,0.000673633097796375,-0.00024278551325694096,0.0030536120299424763,0.0022138404075858504,0.00156455205058764
random_200k,input_div_b10_bias0,div,10,0,200000,0.00027603038804341654,0.00027604794046467274,0.00034660396564159106,-9.3261587475691e-05,0.0016970724808917925,0.0013706945936050347,0.0008750024860417003
random_200k,input_div_b10_bias1,div,10,1,200000,0.00026522162868531393,0.0002588839241772352,0.0003365238364890022,-0.00012108873591319101,0.0015670879035001306,0.0011486265266556933,0.0007778607997361809
random_200k,input_div_b11_bias0,div,11,0,200000,0.0001378729813822375,0.00013792005527557837,0.00017287646722749164,-4.70183013428785e-05,0.0008823713652328369,0.0006857258137830787,0.0004386304610321429
random_200k,input_div_b11_bias1,div,11,1,200000,0.000132358180508405,0.00012926029901472028,0.00016807552018196345,-6.062792048350352e-05,0.0007872184144037675,0.0005546650736736269,0.00039145693083019476
random_200k,oadm_mul_l0,mul,,,200000,0.06258216985241166,0.0312292264245319,0.08329089359170633,0.00014725432909775391,0.25647184937983525,0.24713988074772955,0.1583753767094744
random_200k,oadm_mul_l1,mul,,,200000,0.01566029229120742,0.007593492349391931,0.020876270294561024,4.3726497066503925e-05,0.06354751498832911,0.06251823353215628,0.03347433785928379
random_200k,oadm_mul_l2,mul,,,200000,0.003943363023357283,0.001897913629639591,0.00524652132457828,-2.806400882714826e-06,0.016107048905979582,0.015253250976082875,0.007976301226792184
random_200k,oadm_mul_l3,mul,,,200000,0.0009825195995731913,0.00047254994630988804,0.0013063888249086764,4.5408967857422055e-06,0.003987651527836533,0.0037517594691294496,0.0019647333569584795
random_200k,input_mul_b2_bias0,mul,2,0,200000,0.3596863394209022,0.16123917413229683,0.3951572761506955,-0.3596863394209022,0.9322530993798352,0.3595923776749091,0.30261557677577877
random_200k,input_mul_b2_bias1,mul,2,1,200000,0.12703446850928143,0.05900872193176788,0.15605741636400577,-0.0004235269209022461,0.47912809937983525,0.2618779253343187,0.17708173640755412
random_200k,input_mul_b3_bias0,mul,3,0,200000,0.1837902456709022,0.08365285624522763,0.2011817595024714,-0.1837902456709022,0.47912809937983525,0.20698003486556174,0.16479689905256314
