design,mode,bits,level,area_um2,delay_ns,slack_ns,power_mw,dc_report,pt_dir,mae,mred,rmse,mean_error,max_relative,p99_relative,rtl_vectors,gate_vectors,status
input_div_b3_bias1,div,3,,419.040004,2.12277,7.85723,0.0167326,experiments/input_trunc_bias/dc/input_div_b3_bias1/input_div_b3_bias1.dc.rpt,experiments/input_trunc_bias/pt/input_div_b3_bias1,0.03390827316806904,0.032948409731570816,0.04298135845754063,-0.014750634634350689,0.13026232180344105,0.09664422383596041,21129,21129,pass
input_div_b5_bias1,div,5,,714.600006,3.93083,6.04917,0.0348688,experiments/input_trunc_bias/dc/input_div_b5_bias1/input_div_b5_bias1.dc.rpt,experiments/input_trunc_bias/pt/input_div_b5_bias1,0.00849615506299441,0.008289644348229604,0.01077002901524108,-0.0038586033843506914,0.03599107572655657,0.024914598814064152,21129,21129,pass
input_div_b7_bias1,div,7,,1108.440009,6.26881,3.71119,0.0640272,experiments/input_trunc_bias/dc/input_div_b7_bias1/input_div_b7_bias1.dc.rpt,experiments/input_trunc_bias/pt/input_div_b7_bias1,0.002120114335251615,0.0020697013784056893,0.00268856088010913,-0.0009690818999756909,0.009070969832063184,0.006244741137336198,21129,21129,pass
input_mul_b3_bias1,mul,3,,399.600002,1.29376,8.68624,0.0162564,experiments/input_trunc_bias/dc/input_mul_b3_bias1/input_mul_b3_bias1.dc.rpt,experiments/input_trunc_bias/pt/input_mul_b3_bias1,0.0633686277338092,0.029347509991243182,0.07782775880314596,-0.0002468081709022461,0.12556395191857442,0.08532707149020687,21129,21129,pass
input_mul_b5_bias1,mul,5,,639.719999,1.75723,8.22277,0.0284791,experiments/input_trunc_bias/dc/input_mul_b5_bias1/input_mul_b5_bias1.dc.rpt,experiments/input_trunc_bias/pt/input_mul_b5_bias1,0.01583642948997662,0.007324227003304337,0.01946986569885008,6.722978477539244e-07,0.029880197082260394,0.02109419385393576,21129,21129,pass
input_mul_b7_bias1,mul,7,,924.119997,2.08209,7.89791,0.044818199999999996,experiments/input_trunc_bias/dc/input_mul_b7_bias1/input_mul_b7_bias1.dc.rpt,experiments/input_trunc_bias/pt/input_mul_b7_bias1,0.003960882494957646,0.0018328392111825699,0.004865602758426175,3.942827110351743e-07,0.007344306931101648,0.005270836832953758,21129,21129,pass
input_mul_b9_bias1,mul,9,,1264.319991,2.33063,7.64937,0.06578769999999999,experiments/input_trunc_bias/dc/input_mul_b9_bias1/input_mul_b9_bias1.dc.rpt,experiments/input_trunc_bias/pt/input_mul_b9_bias1,0.0009917242639177193,0.0004589097412412124,0.001217949767002181,-4.605337257324038e-07,0.001890419859454406,0.0013192844669341246,21129,21129,pass
oadm_div_l0,div,,0,516.960004,1.7578,8.2222,0.024683,experiments/fixed_div_level_specialization/dc/oadm_fixed_l0_div_specialized/oadm_fixed_l0_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l0_div_specialized,0.04221352743542031,0.04276105238432493,0.056344348959393324,-0.006145168325756942,0.31084873085101594,0.21108023615952545,21129,existing campaign,pass
oadm_div_l1,div,,1,1130.400003,2.70339,7.27661,0.0661543,experiments/fixed_div_level_specialization/dc/oadm_fixed_l1_div_specialized/oadm_fixed_l1_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l1_div_specialized,0.01138122762020483,0.010796596485068427,0.01616158943435105,-0.0024383647368897547,0.09169637403525123,0.049553279154089254,21129,existing campaign,pass
oadm_div_l2,div,,2,1484.640007,2.73617,7.24383,0.0750523,experiments/fixed_div_level_specialization/dc/oadm_fixed_l2_div_specialized/oadm_fixed_l2_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l2_div_specialized,0.003821751090339618,0.0036620854510558383,0.005316568232606285,-0.0013579879973878006,0.028944962704377734,0.01514816550103502,21129,existing campaign,pass
oadm_div_l3,div,,3,1865.520005,3.08149,6.89851,0.0834119,experiments/fixed_div_level_specialization/dc/oadm_fixed_l3_div_specialized/oadm_fixed_l3_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l3_div_specialized,0.0027511991089932586,0.0027913450886907494,0.0034670108426050478,-0.0011547758697022534,0.016439876554044934,0.009339946217139985,21129,existing campaign,pass
oadm_mul_l0,mul,,0,516.600003,1.37323,8.60678,0.0214399,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l0_mul_root_opt/oadm_fixed_l0_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l0_mul_root_opt,0.06258216985241166,0.0312292264245319,0.08329089359170633,0.00014725432909775391,0.24713988074772955,0.1583753767094744,21129,existing campaign,pass
oadm_mul_l1,mul,,1,948.600003,1.85617,8.12383,0.038865899999999995,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l1_mul_root_opt/oadm_fixed_l1_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l1_mul_root_opt,0.01566029229120742,0.007593492349391931,0.020876270294561024,4.3726497066503925e-05,0.06251823353215628,0.03347433785928379,21129,existing campaign,pass
oadm_mul_l2,mul,,2,1317.600004,2.14132,7.83868,0.057210000000000004,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l2_mul_root_opt/oadm_fixed_l2_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l2_mul_root_opt,0.003943363023357283,0.001897913629639591,0.00524652132457828,-2.806400882714826e-06,0.015253250976082875,0.007976301226792184,21129,existing campaign,pass
oadm_mul_l3,mul,,3,1645.920004,2.47074,7.50926,0.0764037,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l3_mul_root_opt/oadm_fixed_l3_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l3_mul_root_opt,0.0009825195995731913,0.00047254994630988804,0.0013063888249086764,4.5408967857422055e-06,0.0037517594691294496,0.0019647333569584795,21129,existing campaign,pass
