iteration,Exact,STDM L0,STDM L1,STDM L2,STDM L3
1,-0.23391369,-0.228280676,-0.2330892213,-0.2338269289,-0.2344265239
11,-1.71290589,-1.698596171,-1.722189635,-1.717845405,-1.71708402
21,-4.171643282,-4.191686249,-4.205018363,-4.188316575,-4.188633269
31,-6.00825169,-6.028574281,-6.065388246,-6.036029149,-6.035912557
41,-8.574767739,-8.606823487,-8.643807821,-8.617489312,-8.613866025
51,-10.87640458,-11.02937569,-10.98668744,-10.93203147,-10.92805479
61,-13.57351847,-13.81210375,-13.69681878,-13.639888,-13.63962454
71,-15.88431204,-16.25913908,-16.03070964,-15.97258183,-15.96222714
81,-18.12666504,-18.19573703,-18.28906622,-18.22259418,-18.21031009
91,-20.82654452,-20.73714624,-20.99489859,-20.92264423,-20.91521799
101,-23.02202681,-22.82612641,-23.20544834,-23.12620342,-23.12695309
111,-25.36031172,-24.6114664,-25.53245333,-25.4729622,-25.47313638
121,-27.78660936,-25.99003083,-27.97238971,-27.92896629,-27.91711207
131,-29.95906372,-27.11051068,-30.08742633,-30.14341533,-30.14183988
141,-32.24630142,-27.90989568,-32.30467879,-32.41984416,-32.4007855
151,-34.98677782,-28.72211796,-34.6760847,-35.06338944,-35.13142447
161,-37.17996491,-29.77740347,-36.21445012,-37.23907687,-37.28981258
171,-39.0563019,-29.85875759,-37.92154231,-39.06240765,-39.07182316
181,-40.30716377,-30.26668681,-38.52278926,-40.22757376,-40.26086624
191,-41.12632932,-29.86393056,-39.11794784,-40.80643156,-40.97768426
201,-42.04365603,-30.08682613,-39.58736419,-41.5937247,-41.80618323
211,-42.72357563,-30.03805993,-39.89294524,-42.32510175,-42.49143418
221,-43.5771492,-29.99942912,-40.38586275,-43.1188587,-43.21974868
231,-44.26603701,-29.7842738,-40.82331149,-43.82240581,-43.89849745
241,-43.91326227,-30.20803163,-40.96282439,-43.23639704,-43.48789099
251,-44.32076854,-30.12156789,-41.09437503,-43.5788558,-43.77712167
261,-44.16651814,-30.1848558,-41.81241203,-43.28974889,-43.63976637
271,-44.55270654,-30.74098238,-41.86985494,-43.80851049,-44.14850801
281,-44.8386849,-30.43471797,-41.58561243,-44.26753033,-44.43818987
291,-45.04895178,-30.80465491,-41.61604263,-44.26742434,-44.73101052
301,-44.74884189,-30.68699338,-41.56644466,-43.87094,-44.44908238
311,-44.63279292,-30.96452249,-41.49635947,-44.02265194,-44.49261477
321,-44.11396615,-30.75001856,-41.11224682,-43.73287519,-43.81657337
331,-44.23586805,-30.31989218,-40.88886531,-43.59805295,-43.84307066
341,-43.57427935,-30.09843774,-40.70895292,-43.12568927,-43.38453976
351,-44.50837418,-30.22009091,-41.20669587,-44.1832857,-44.32220221
361,-44.22537842,-30.24668947,-40.83851792,-43.79024194,-43.85382763
371,-43.94298037,-29.92537044,-40.53298825,-43.60934795,-43.80084916
381,-44.23665777,-29.80284039,-40.68841118,-43.8721926,-43.94660705
391,-43.83431564,-29.57683512,-39.98529268,-43.47127577,-43.57012784
401,-44.54787618,-30.03138712,-40.73040235,-44.12554115,-44.29298086
411,-44.13477927,-30.38765308,-40.91105846,-43.78767473,-43.82739296
421,-44.07114823,-30.47806487,-41.00317928,-43.65107162,-43.97097668
431,-43.92407632,-29.72967628,-40.40401865,-43.46447347,-43.69934653
441,-43.51248603,-29.84387837,-40.84845481,-43.41578497,-43.34247927
451,-43.74554861,-30.34077921,-41.18558076,-43.58661093,-43.35669606
461,-44.32656092,-30.26816674,-41.25588958,-43.89748498,-43.88880707
471,-43.58013459,-29.91353705,-40.5457357,-43.11819281,-43.15485402
481,-43.52398798,-30.1404664,-40.51271978,-42.92047534,-43.03478854
491,-43.56660132,-30.25017479,-40.82249682,-43.15824832,-43.18392218
501,-44.14520946,-29.68908238,-40.76176791,-44.03141457,-43.85289699
511,-44.43735574,-30.20102263,-41.02110048,-44.21347553,-44.28553261
521,-44.91518945,-30.1833861,-41.63353676,-44.5387135,-44.7756545
531,-44.38794489,-30.39486255,-40.92357647,-44.12795785,-44.35763738
541,-44.00124942,-29.99065212,-40.94083381,-43.73463537,-43.98303748
551,-44.42676089,-29.52198653,-40.68632974,-43.85750055,-44.31602351
561,-44.39670371,-29.19098162,-40.65485729,-43.91839646,-44.24755364
571,-44.13232071,-29.62452575,-40.28684649,-43.48674048,-43.8832203
581,-44.45363951,-29.51087869,-40.47362769,-43.83089439,-44.07304966
591,-44.85726645,-30.4479254,-41.05288861,-44.33718097,-44.66427037
601,-44.82717137,-30.54724654,-41.11478249,-44.23016743,-44.58921979
611,-44.81612575,-30.76747255,-40.8635273,-43.8835795,-44.60891815
621,-45.55324641,-30.84846845,-40.79837251,-44.62245859,-45.03931765
631,-45.77863377,-30.37632075,-41.18149551,-44.81342544,-45.25818791
641,-45.71941905,-30.25635871,-41.21168071,-44.89788446,-45.20571455
651,-45.63073043,-30.23915689,-41.31987747,-44.93957889,-45.18936477
661,-45.76561072,-30.20450155,-41.48070145,-44.8041042,-45.33311961
671,-45.12918191,-30.6757287,-40.8183123,-44.4978409,-44.75698123
681,-44.68761681,-30.93427222,-40.37321919,-43.86671217,-44.2842673
691,-44.47289363,-30.93442221,-40.07923312,-43.59858259,-44.07312619
701,-44.5288276,-30.23284583,-40.17768403,-43.71990435,-44.26976822
711,-44.40457593,-30.26623262,-39.6041717,-43.69379605,-44.14212982
721,-44.48693639,-30.04621622,-39.96894858,-43.74738756,-44.15750642
731,-43.85289482,-29.62563038,-39.93834268,-43.29303977,-43.57678351
741,-43.73455356,-30.01558724,-40.25976055,-43.32172609,-43.55992316
751,-44.01383973,-30.57944368,-40.52875064,-43.38408707,-43.71017969
761,-43.7863269,-31.26067819,-40.87811121,-43.12692334,-43.57594665
771,-44.46077453,-30.6744208,-41.60618521,-43.89280116,-44.21582055
781,-44.27531544,-30.29348207,-41.28292813,-43.82984071,-44.06362666
791,-44.07941348,-30.2910904,-40.69101764,-43.43925434,-43.86807286
801,-44.31860462,-29.98501471,-40.73124849,-43.69578453,-43.98831637
811,-44.21540886,-30.44778184,-40.83623331,-43.59908603,-43.99782728
821,-43.56384594,-31.13310779,-40.06945518,-43.18493442,-43.40416436
831,-43.31491401,-30.94044786,-40.36822116,-43.16031246,-43.22660726
