design,seed,overall_output_nmse_db,steady_output_nmse_db,steady_nmsd_db,final_nmsd_db,convergence_iteration,diverged,mul_calls,div_calls,zero_operand_fallbacks,other_operand_fallbacks,result_fallbacks
Exact,1000,-26.5465785,-38.79071234,-44.45202944,-42.6850801,139,0,245000,5000,0,0,0
STDM L0,1000,-23.64536535,-26.71163652,-31.35133801,-28.95891915,141,0,245000,5000,376,0,0
STDM L1,1000,-26.40414253,-35.9803353,-41.60641067,-38.94375217,139,0,245000,5000,376,0,0
STDM L2,1000,-26.54350818,-38.14630297,-43.8467256,-42.31870279,138,0,245000,5000,376,0,0
STDM L3,1000,-26.55866695,-38.50815887,-43.98134781,-42.93216249,138,0,245000,5000,376,0,0
Exact,1001,-25.43859282,-38.01694082,-44.39595035,-45.39784332,120,0,245000,5000,0,0,0
STDM L0,1001,-23.32485668,-26.66843012,-32.97582803,-34.16760177,127,0,245000,5000,376,0,0
STDM L1,1001,-25.24552193,-35.42259076,-41.98237675,-41.15830052,120,0,245000,5000,376,0,0
STDM L2,1001,-25.43572055,-37.57307653,-44.07113195,-44.85318644,120,0,245000,5000,376,0,0
STDM L3,1001,-25.43322737,-37.76129294,-44.29255564,-45.57064846,119,0,245000,5000,376,0,0
Exact,1002,-25.0366103,-38.75891609,-44.47172627,-41.88201366,153,0,245000,5000,0,0,0
STDM L0,1002,-23.05260655,-27.31243155,-32.28483112,-31.7631752,146,0,245000,5000,376,0,0
STDM L1,1002,-24.80157703,-35.42234323,-40.37221975,-39.70160606,153,0,245000,5000,394,0,0
STDM L2,1002,-25.03186678,-38.3071505,-44.22546648,-42.64519364,153,0,245000,5000,376,0,0
STDM L3,1002,-25.03512383,-38.49621871,-44.31553972,-42.02133958,153,0,245000,5000,376,0,0
Exact,1003,-24.37576556,-38.26277707,-43.98306863,-44.65358352,144,0,245000,5000,0,0,0
STDM L0,1003,-20.13393026,-21.50049979,-26.89931683,-29.00610303,144,0,245000,5000,377,0,0
STDM L1,1003,-23.99343856,-33.12613038,-38.95266318,-40.51322348,141,0,245000,5000,376,0,0
STDM L2,1003,-24.3621571,-37.69853977,-43.82259398,-45.2244667,143,0,245000,5000,376,0,0
STDM L3,1003,-24.38133847,-37.94027867,-43.79624592,-45.06240306,143,0,245000,5000,376,0,0
Exact,1004,-22.84311772,-38.62848053,-44.75037871,-44.92575759,142,0,245000,5000,0,0,0
STDM L0,1004,-19.6337888,-22.14360545,-26.85242441,-30.78824689,150,0,245000,5000,376,0,0
STDM L1,1004,-22.60649444,-33.20266496,-39.09870254,-39.5893489,141,0,245000,5000,376,0,0
STDM L2,1004,-22.8334111,-37.75076635,-43.96439482,-44.87841139,141,0,245000,5000,376,0,0
STDM L3,1004,-22.85531792,-38.31192922,-44.37177914,-44.35767253,141,0,245000,5000,376,0,0
Exact,1005,-24.55797482,-38.52317975,-44.60471497,-43.59978223,150,0,245000,5000,0,0,0
STDM L0,1005,-21.42346523,-24.07863059,-28.90382577,-28.57526015,155,0,245000,5000,376,0,0
STDM L1,1005,-24.37101657,-35.21426635,-41.47943019,-41.35102407,150,0,245000,5000,376,0,0
STDM L2,1005,-24.54471368,-38.13742787,-44.20181721,-43.28937673,149,0,245000,5000,376,0,0
STDM L3,1005,-24.56818985,-38.38928364,-44.40517032,-43.82452812,149,0,245000,5000,376,0,0
Exact,1006,-25.10902921,-39.091208,-44.7004946,-45.39133763,147,0,245000,5000,0,0,0
STDM L0,1006,-21.47337084,-24.00811421,-29.39183288,-29.47019343,152,0,245000,5000,376,0,0
STDM L1,1006,-24.75944573,-34.38849656,-40.46826676,-38.94966799,148,0,245000,5000,376,0,0
STDM L2,1006,-25.10408702,-38.65329037,-44.40505651,-45.27854321,146,0,245000,5000,376,0,0
STDM L3,1006,-25.11539069,-38.87961971,-44.48062763,-44.79897407,146,0,245000,5000,376,0,0
Exact,1007,-24.3563438,-38.85391532,-44.51460329,-46.24282246,150,0,245000,5000,0,0,0
STDM L0,1007,-23.41293664,-29.43313663,-34.44058206,-33.24206572,144,0,245000,5000,376,0,0
STDM L1,1007,-24.14801323,-34.29577251,-40.0060612,-39.63309448,149,0,245000,5000,376,0,0
STDM L2,1007,-24.3503634,-38.31532064,-44.05821353,-47.48377387,150,0,245000,5000,376,0,0
STDM L3,1007,-24.37167165,-38.60766191,-44.1131144,-46.19304507,149,0,245000,5000,376,0,0
Exact,1008,-24.296244,-38.72530759,-44.12390649,-45.21319414,121,0,245000,5000,0,0,0
STDM L0,1008,-20.37600448,-23.36141561,-27.99269022,-28.63126742,126,0,245000,5000,376,0,0
STDM L1,1008,-23.94742597,-33.78201689,-39.49402637,-40.50555984,121,0,245000,5000,376,0,0
STDM L2,1008,-24.28558636,-37.889153,-43.31155906,-43.83344166,121,0,245000,5000,376,0,0
STDM L3,1008,-24.30464989,-38.18981234,-43.60438033,-44.0112622,121,0,245000,5000,376,0,0
Exact,1009,-25.43848915,-38.7496432,-44.44642521,-46.48842044,137,0,245000,5000,0,0,0
STDM L0,1009,-23.03220764,-26.00833834,-31.15190625,-29.42621437,135,0,245000,5000,376,0,0
STDM L1,1009,-25.30191956,-36.01128435,-41.53351349,-42.28475583,137,0,245000,5000,376,0,0
STDM L2,1009,-25.43449363,-38.24253133,-43.98692935,-44.13845131,137,0,245000,5000,376,0,0
STDM L3,1009,-25.44995113,-38.55672169,-44.23534865,-45.22220248,137,0,245000,5000,376,0,0
Exact,1010,-23.73630201,-38.61519625,-45.10121659,-45.05850322,163,0,245000,5000,0,0,0
STDM L0,1010,-20.97258074,-23.70725389,-29.26553459,-25.11196749,163,0,245000,5000,376,0,0
STDM L1,1010,-23.55355707,-34.71590836,-40.83519373,-38.1270465,163,0,245000,5000,376,0,0
STDM L2,1010,-23.74490111,-38.34348447,-44.65153785,-44.17033129,162,0,245000,5000,376,0,0
STDM L3,1010,-23.74187141,-38.43551027,-44.6995755,-44.41501487,162,0,245000,5000,376,0,0
Exact,1011,-26.63816188,-38.87732294,-44.99517376,-42.53071761,144,0,245000,5000,0,0,0
STDM L0,1011,-21.08281212,-22.20256866,-27.39520521,-27.69756301,151,0,245000,5000,376,0,0
STDM L1,1011,-26.02466516,-33.39255369,-39.2613222,-38.6643307,143,0,245000,5000,376,0,0
STDM L2,1011,-26.61764967,-38.15703936,-44.10810395,-41.21415172,144,0,245000,5000,376,0,0
STDM L3,1011,-26.64174043,-38.46850298,-44.69212388,-42.47202446,143,0,245000,5000,376,0,0
Exact,1012,-24.799258,-38.57403803,-44.38401676,-44.20349334,138,0,245000,5000,0,0,0
STDM L0,1012,-23.05166382,-27.37854629,-32.75983829,-33.6555399,143,0,245000,5000,376,0,0
STDM L1,1012,-24.75592602,-36.61617672,-42.90119176,-43.71216298,138,0,245000,5000,376,0,0
STDM L2,1012,-24.80876991,-38.30450103,-44.14865169,-45.37130749,138,0,245000,5000,376,0,0
STDM L3,1012,-24.80439926,-38.30292189,-43.97111138,-44.71855394,138,0,245000,5000,376,0,0
Exact,1013,-23.47426644,-38.90139378,-44.54744444,-41.0788594,126,0,245000,5000,0,0,0
STDM L0,1013,-20.6798052,-23.96787332,-28.92021572,-25.46905258,132,0,245000,5000,376,0,0
STDM L1,1013,-23.28887078,-34.23767736,-39.47217131,-35.8931193,127,0,245000,5000,376,0,0
STDM L2,1013,-23.46245628,-38.00252937,-43.42908375,-40.44354439,126,0,245000,5000,376,0,0
STDM L3,1013,-23.48031666,-38.59241921,-44.09269032,-40.94776522,126,0,245000,5000,376,0,0
Exact,1014,-23.89864237,-38.64936308,-44.83218385,-46.24434897,131,0,245000,5000,0,0,0
STDM L0,1014,-21.92873621,-26.04401077,-31.59761566,-28.81426618,125,0,245000,5000,376,0,0
STDM L1,1014,-23.82763755,-35.9972722,-42.32422269,-42.25181498,128,0,245000,5000,376,0,0
STDM L2,1014,-23.90124829,-38.17949806,-44.23257724,-46.6898431,130,0,245000,5000,376,0,0
STDM L3,1014,-23.90326712,-38.49176699,-44.72525324,-46.54747972,130,0,245000,5000,376,0,0
Exact,1015,-25.51339063,-38.48762054,-44.50436238,-46.63589066,134,0,245000,5000,0,0,0
