top,level,kind,bits,residual_drop,wn_drop,coefficient_bits,dataset,cases,rmse,mred,max_relative,mean_error
input_l0_control_b23,0,control,23,18,18,7,uniform_100k,100000,0.05642904433174937,0.0426847334119081,0.311724751201149,-0.00635385409110268
input_l0_control_b23,0,control,23,18,18,7,uniform_10k,10000,0.05598083516784279,0.04201244120860322,0.30848588978468855,-0.005385742988283475
input_l0_control_b23,0,control,23,18,18,7,boundaries,1733,0.0371084272898924,0.03145067052845311,0.2797853279625792,0.029457841223032525
input_l0_control_b23,0,control,23,18,18,7,signed_safe,100,18481.1881094377,0.040484626726977,0.2585920838218116,-3417.6805272705888
input_l0_mask_b3,0,mask,3,18,18,7,uniform_100k,100000,0.06627446338691294,0.050665343842639016,0.2769918888070638,-0.002681190516883931
input_l0_mask_b3,0,mask,3,18,18,7,uniform_10k,10000,0.06587433581474145,0.04993930184194403,0.27518802978183293,-0.001961841621095975
input_l0_mask_b3,0,mask,3,18,18,7,boundaries,1733,0.0521744100132708,0.04424147932151104,0.17895502918690617,0.029914988556053297
input_l0_mask_b3,0,mask,3,18,18,7,signed_safe,100,19034.958666063027,0.05167060441272124,0.24182652977981808,-3237.6785768732752
input_l0_narrow_b3,0,narrow,3,18,18,7,uniform_100k,100000,0.06627446338691294,0.050665343842639016,0.2769918888070638,-0.002681190516883931
input_l0_narrow_b3,0,narrow,3,18,18,7,uniform_10k,10000,0.06587433581474145,0.04993930184194403,0.27518802978183293,-0.001961841621095975
input_l0_narrow_b3,0,narrow,3,18,18,7,boundaries,1733,0.0521744100132708,0.04424147932151104,0.17895502918690617,0.029914988556053297
input_l0_narrow_b3,0,narrow,3,18,18,7,signed_safe,100,19034.958666063027,0.05167060441272124,0.24182652977981808,-3237.6785768732752
input_l0_mask_b4,0,mask,4,18,18,7,uniform_100k,100000,0.058276904187489674,0.044691367633949604,0.2881609556534627,-0.0027408243059464307
input_l0_mask_b4,0,mask,4,18,18,7,uniform_10k,10000,0.057932411899817134,0.04402164104349995,0.28088741305244663,-0.001862451972658475
input_l0_mask_b4,0,mask,4,18,18,7,boundaries,1733,0.04342307178854931,0.03351236651507816,0.22216815419958558,0.029491088301797672
input_l0_mask_b4,0,mask,4,18,18,7,signed_safe,100,16703.428346956633,0.04411221008559614,0.2585920838218116,-2613.246309236156
input_l0_narrow_b4,0,narrow,4,18,18,7,uniform_100k,100000,0.058276904187489674,0.044691367633949604,0.2881609556534627,-0.0027408243059464307
input_l0_narrow_b4,0,narrow,4,18,18,7,uniform_10k,10000,0.057932411899817134,0.04402164104349995,0.28088741305244663,-0.001862451972658475
input_l0_narrow_b4,0,narrow,4,18,18,7,boundaries,1733,0.04342307178854931,0.03351236651507816,0.22216815419958558,0.029491088301797672
input_l0_narrow_b4,0,narrow,4,18,18,7,signed_safe,100,16703.428346956633,0.04411221008559614,0.2585920838218116,-2613.246309236156
input_l0_mask_b5,0,mask,5,18,18,7,uniform_100k,100000,0.05642904433174937,0.0426847334119081,0.311724751201149,-0.00635385409110268
input_l0_mask_b5,0,mask,5,18,18,7,uniform_10k,10000,0.05598083516784279,0.04201244120860322,0.30848588978468855,-0.005385742988283475
input_l0_mask_b5,0,mask,5,18,18,7,boundaries,1733,0.0371084272898924,0.03145067052845311,0.2797853279625792,0.029457841223032525
input_l0_mask_b5,0,mask,5,18,18,7,signed_safe,100,18481.1881094377,0.040484626726977,0.2585920838218116,-3417.6805272705888
input_l0_narrow_b5,0,narrow,5,18,18,7,uniform_100k,100000,0.05642904433174937,0.0426847334119081,0.311724751201149,-0.00635385409110268
input_l0_narrow_b5,0,narrow,5,18,18,7,uniform_10k,10000,0.05598083516784279,0.04201244120860322,0.30848588978468855,-0.005385742988283475
input_l0_narrow_b5,0,narrow,5,18,18,7,boundaries,1733,0.0371084272898924,0.03145067052845311,0.2797853279625792,0.029457841223032525
input_l0_narrow_b5,0,narrow,5,18,18,7,signed_safe,100,18481.1881094377,0.040484626726977,0.2585920838218116,-3417.6805272705888
input_l0_mask_b6,0,mask,6,18,18,7,uniform_100k,100000,0.05642904433174937,0.0426847334119081,0.311724751201149,-0.00635385409110268
input_l0_mask_b6,0,mask,6,18,18,7,uniform_10k,10000,0.05598083516784279,0.04201244120860322,0.30848588978468855,-0.005385742988283475
input_l0_mask_b6,0,mask,6,18,18,7,boundaries,1733,0.0371084272898924,0.03145067052845311,0.2797853279625792,0.029457841223032525
input_l0_mask_b6,0,mask,6,18,18,7,signed_safe,100,18481.1881094377,0.040484626726977,0.2585920838218116,-3417.6805272705888
input_l0_narrow_b6,0,narrow,6,18,18,7,uniform_100k,100000,0.05642904433174937,0.0426847334119081,0.311724751201149,-0.00635385409110268
input_l0_narrow_b6,0,narrow,6,18,18,7,uniform_10k,10000,0.05598083516784279,0.04201244120860322,0.30848588978468855,-0.005385742988283475
input_l0_narrow_b6,0,narrow,6,18,18,7,boundaries,1733,0.0371084272898924,0.03145067052845311,0.2797853279625792,0.029457841223032525
input_l0_narrow_b6,0,narrow,6,18,18,7,signed_safe,100,18481.1881094377,0.040484626726977,0.2585920838218116,-3417.6805272705888
input_l0_mask_b7,0,mask,7,18,18,7,uniform_100k,100000,0.05642904433174937,0.0426847334119081,0.311724751201149,-0.00635385409110268
input_l0_mask_b7,0,mask,7,18,18,7,uniform_10k,10000,0.05598083516784279,0.04201244120860322,0.30848588978468855,-0.005385742988283475
input_l0_mask_b7,0,mask,7,18,18,7,boundaries,1733,0.0371084272898924,0.03145067052845311,0.2797853279625792,0.029457841223032525
input_l0_mask_b7,0,mask,7,18,18,7,signed_safe,100,18481.1881094377,0.040484626726977,0.2585920838218116,-3417.6805272705888
input_l0_narrow_b7,0,narrow,7,18,18,7,uniform_100k,100000,0.05642904433174937,0.0426847334119081,0.311724751201149,-0.00635385409110268
input_l0_narrow_b7,0,narrow,7,18,18,7,uniform_10k,10000,0.05598083516784279,0.04201244120860322,0.30848588978468855,-0.005385742988283475
input_l0_narrow_b7,0,narrow,7,18,18,7,boundaries,1733,0.0371084272898924,0.03145067052845311,0.2797853279625792,0.029457841223032525
input_l0_narrow_b7,0,narrow,7,18,18,7,signed_safe,100,18481.1881094377,0.040484626726977,0.2585920838218116,-3417.6805272705888
input_l0_mask_b8,0,mask,8,18,18,7,uniform_100k,100000,0.05642904433174937,0.0426847334119081,0.311724751201149,-0.00635385409110268
input_l0_mask_b8,0,mask,8,18,18,7,uniform_10k,10000,0.05598083516784279,0.04201244120860322,0.30848588978468855,-0.005385742988283475
input_l0_mask_b8,0,mask,8,18,18,7,boundaries,1733,0.0371084272898924,0.03145067052845311,0.2797853279625792,0.029457841223032525
input_l0_mask_b8,0,mask,8,18,18,7,signed_safe,100,18481.1881094377,0.040484626726977,0.2585920838218116,-3417.6805272705888
input_l0_narrow_b8,0,narrow,8,18,18,7,uniform_100k,100000,0.05642904433174937,0.0426847334119081,0.311724751201149,-0.00635385409110268
input_l0_narrow_b8,0,narrow,8,18,18,7,uniform_10k,10000,0.05598083516784279,0.04201244120860322,0.30848588978468855,-0.005385742988283475
input_l0_narrow_b8,0,narrow,8,18,18,7,boundaries,1733,0.0371084272898924,0.03145067052845311,0.2797853279625792,0.029457841223032525
input_l0_narrow_b8,0,narrow,8,18,18,7,signed_safe,100,18481.1881094377,0.040484626726977,0.2585920838218116,-3417.6805272705888
input_l1_control_b23,1,control,23,16,16,7,uniform_100k,100000,0.01610807441407574,0.010744290622541598,0.08994003367908683,-0.002334134242469868
input_l1_control_b23,1,control,23,16,16,7,uniform_10k,10000,0.01636909082217209,0.010848139015994199,0.08712609649742833,-0.0023605049511741002
input_l1_control_b23,1,control,23,16,16,7,boundaries,1733,0.013320979834910183,0.008897346068281202,0.0676611078968687,0.005426296225647212
input_l1_control_b23,1,control,23,16,16,7,signed_safe,100,4460.7530736178305,0.010108847776910035,0.0835678877552118,740.7922417408771
input_l1_mask_b4,1,mask,4,16,16,7,uniform_100k,100000,0.02552201409418748,0.01871442696615438,0.10339077131767367,0.00017495084053794464
input_l1_mask_b4,1,mask,4,16,16,7,uniform_10k,10000,0.025921937881858217,0.01892134792568706,0.10317418192295834,0.00011326824218527509
input_l1_mask_b4,1,mask,4,16,16,7,boundaries,1733,0.028799774464920266,0.02200039698392007,0.07293695646148661,0.0008959943309018281
input_l1_mask_b4,1,mask,4,16,16,7,signed_safe,100,12188.50889528027,0.015527938296490108,0.052398576328204265,2201.2159559030215
input_l1_narrow_b4,1,narrow,4,16,16,7,uniform_100k,100000,0.02552201409418748,0.01871442696615438,0.10339077131767367,0.00017495084053794464
input_l1_narrow_b4,1,narrow,4,16,16,7,uniform_10k,10000,0.025921937881858217,0.01892134792568706,0.10317418192295834,0.00011326824218527509
input_l1_narrow_b4,1,narrow,4,16,16,7,boundaries,1733,0.028799774464920266,0.02200039698392007,0.07293695646148661,0.0008959943309018281
input_l1_narrow_b4,1,narrow,4,16,16,7,signed_safe,100,12188.50889528027,0.015527938296490108,0.052398576328204265,2201.2159559030215
