family,top,level,bits,variant,wrapper,dataset,cases,rmse,mred,max_relative,area_um2,delay_ns,power_mw,adp_um2_ns,dc_report,pt_dir,status
oadm,input_l0_control_b23,0,23,control,common,uniform_10k,10000,0.05598083516784279,0.04201244120860322,0.30848588978468855,516.960004,1.7578,0.024683,908.7122950312,experiments/oadm_input_width/dc/input_l0_control_b23/input_l0_control_b23.dc.rpt,experiments/oadm_input_width/pt/input_l0_control_b23,pass
oadm,input_l0_mask_b3,0,3,mask,common,uniform_10k,10000,0.06587433581474145,0.04993930184194403,0.27518802978183293,443.160003,1.63131,0.019051000000000002,722.93134449393,experiments/oadm_input_width/dc/input_l0_mask_b3/input_l0_mask_b3.dc.rpt,experiments/oadm_input_width/pt/input_l0_mask_b3,pass
oadm,input_l0_narrow_b3,0,3,narrow,common,uniform_10k,10000,0.06587433581474145,0.04993930184194403,0.27518802978183293,449.640003,1.68373,0.019556,757.0723622511899,experiments/oadm_input_width/dc/input_l0_narrow_b3/input_l0_narrow_b3.dc.rpt,experiments/oadm_input_width/pt/input_l0_narrow_b3,pass
oadm,input_l0_mask_b4,0,4,mask,common,uniform_10k,10000,0.057932411899817134,0.04402164104349995,0.28088741305244663,492.840003,1.70476,0.0228351,840.1739235142801,experiments/oadm_input_width/dc/input_l0_mask_b4/input_l0_mask_b4.dc.rpt,experiments/oadm_input_width/pt/input_l0_mask_b4,pass
oadm,input_l0_narrow_b4,0,4,narrow,common,uniform_10k,10000,0.057932411899817134,0.04402164104349995,0.28088741305244663,505.080004,1.7696,0.0234702,893.7895750783999,experiments/oadm_input_width/dc/input_l0_narrow_b4/input_l0_narrow_b4.dc.rpt,experiments/oadm_input_width/pt/input_l0_narrow_b4,pass
oadm,input_l0_mask_b5,0,5,mask,common,uniform_10k,10000,0.05598083516784279,0.04201244120860322,0.30848588978468855,516.960004,1.7578,0.024683,908.7122950312,experiments/oadm_input_width/dc/input_l0_mask_b5/input_l0_mask_b5.dc.rpt,experiments/oadm_input_width/pt/input_l0_mask_b5,pass
oadm,input_l0_narrow_b5,0,5,narrow,common,uniform_10k,10000,0.05598083516784279,0.04201244120860322,0.30848588978468855,538.200004,1.81308,0.026149500000000003,975.7996632523201,experiments/oadm_input_width/dc/input_l0_narrow_b5/input_l0_narrow_b5.dc.rpt,experiments/oadm_input_width/pt/input_l0_narrow_b5,pass
oadm,input_l0_mask_b6,0,6,mask,common,uniform_10k,10000,0.05598083516784279,0.04201244120860322,0.30848588978468855,516.960004,1.7578,0.024683,908.7122950312,experiments/oadm_input_width/dc/input_l0_mask_b6/input_l0_mask_b6.dc.rpt,experiments/oadm_input_width/pt/input_l0_mask_b6,pass
oadm,input_l0_narrow_b6,0,6,narrow,common,uniform_10k,10000,0.05598083516784279,0.04201244120860322,0.30848588978468855,538.200004,1.81308,0.026149500000000003,975.7996632523201,experiments/oadm_input_width/dc/input_l0_narrow_b6/input_l0_narrow_b6.dc.rpt,experiments/oadm_input_width/pt/input_l0_narrow_b6,pass
oadm,input_l0_mask_b7,0,7,mask,common,uniform_10k,10000,0.05598083516784279,0.04201244120860322,0.30848588978468855,516.960004,1.7578,0.024683,908.7122950312,experiments/oadm_input_width/dc/input_l0_mask_b7/input_l0_mask_b7.dc.rpt,experiments/oadm_input_width/pt/input_l0_mask_b7,pass
oadm,input_l0_narrow_b7,0,7,narrow,common,uniform_10k,10000,0.05598083516784279,0.04201244120860322,0.30848588978468855,538.200004,1.81308,0.026149500000000003,975.7996632523201,experiments/oadm_input_width/dc/input_l0_narrow_b7/input_l0_narrow_b7.dc.rpt,experiments/oadm_input_width/pt/input_l0_narrow_b7,pass
