level,bits,rmse,mred,control_area,mask_area,narrow_area,control_delay,mask_delay,narrow_delay,control_adp,mask_adp,narrow_adp,rmse_change_pct,narrow_area_change_pct,narrow_adp_change_pct
0,3,0.06627446338691294,0.050665343842639016,516.960004,443.160003,449.640003,1.7578,1.63131,1.68373,908.7122950312,722.93134449393,757.0723622511899,17.4474318531461,-13.022284215240765,-16.687342474529153
0,4,0.058276904187489674,0.044691367633949604,516.960004,492.840003,505.080004,1.7578,1.70476,1.7696,908.7122950312,840.1739235142801,893.7895750783999,3.2746609084439493,-2.2980501214945104,-1.6421831237892204
0,5,0.05642904433174937,0.0426847334119081,516.960004,516.960004,538.200004,1.7578,1.7578,1.81308,908.7122950312,908.7122950312,975.7996632523201,0.0,4.108635065702293,7.382685211584672
0,6,0.05642904433174937,0.0426847334119081,516.960004,516.960004,538.200004,1.7578,1.7578,1.81308,908.7122950312,908.7122950312,975.7996632523201,0.0,4.108635065702293,7.382685211584672
0,7,0.05642904433174937,0.0426847334119081,516.960004,516.960004,538.200004,1.7578,1.7578,1.81308,908.7122950312,908.7122950312,975.7996632523201,0.0,4.108635065702293,7.382685211584672
0,8,0.05642904433174937,0.0426847334119081,516.960004,516.960004,538.200004,1.7578,1.7578,1.81308,908.7122950312,908.7122950312,975.7996632523201,0.0,4.108635065702293,7.382685211584672
1,4,0.02552201409418748,0.01871442696615438,1130.400003,976.680003,848.880002,2.70339,2.50943,2.36094,3055.91206411017,2450.91009992829,2004.1547519218798,58.442365227004075,-24.90445862109574,-34.417132761787904
1,5,0.018692739086880964,0.013175694289592433,1130.400003,1043.640002,979.920004,2.70339,2.55542,2.47424,3055.91206411017,2666.93853391084,2424.5572706969597,16.04577062635535,-13.312101787034415,-20.660109982485707
1,6,0.016610224921544233,0.011308356078208497,1130.400003,1092.600002,1067.400003,2.70339,2.64223,2.42198,3055.91206411017,2886.90050328446,2585.2214592659398,3.1173838322332337,-5.573248392852315,-15.402622685783573
1,7,0.01610807441407574,0.010744290622541598,1130.400003,1130.400003,1108.440001,2.70339,2.70339,2.47775,3055.91206411017,3055.91206411017,2746.4372124777497,0.0,-1.94267533100847,-10.12708628847716
1,8,0.01610807441407574,0.010744290622541598,1130.400003,1130.400003,1108.440001,2.70339,2.70339,2.47775,3055.91206411017,3055.91206411017,2746.4372124777497,0.0,-1.94267533100847,-10.12708628847716
2,4,0.02112674127473188,0.015604785442724088,1484.640007,1354.320006,1024.920005,2.73617,2.6972,2.30325,4062.2274479531898,3652.8719201832,2360.6470015162495,299.604699649745,-30.965082432942957,-41.88786738896921
2,5,0.011106832352853622,0.008209560788874857,1484.640007,1399.320007,1120.680006,2.73617,2.7148,2.45596,4062.2274479531898,3798.8739550036,2752.3452675357603,110.08173237443448,-24.515033899392957,-32.245417008282786
2,6,0.006778125996589425,0.004930412386883546,1484.640007,1435.320007,1211.760006,2.73617,2.78145,2.55438,4062.2274479531898,3992.27083347015,3095.2955241262803,28.205811196010888,-18.38021336575769,-23.802998138720955
2,7,0.005286910112230799,0.0036413991796571503,1484.640007,1484.640007,1329.840006,2.73617,2.73617,2.51239,4062.2274479531898,4062.2274479531898,3341.07673267434,0.0,-10.426770144285902,-17.752593239017468
2,8,0.005286910112230799,0.0036413991796571503,1484.640007,1484.640007,1329.840006,2.73617,2.73617,2.51239,4062.2274479531898,4062.2274479531898,3341.07673267434,0.0,-10.426770144285902,-17.752593239017468
3,4,0.020976898260920463,0.015601443939776784,1865.520005,1736.280005,1306.080005,3.08149,3.08197,2.5505,5748.581240207451,5351.16288700985,3331.1570527525,505.4908850902751,-29.98842137852068,-42.05253585957346
3,5,0.010561802894930885,0.007990650202907179,1865.520005,1788.120005,1356.120004,3.08149,3.08578,2.60711,5748.581240207451,5517.7449490289,3535.5540236284405,204.86277348804362,-27.306059416929163,-38.49692861780184
3,6,0.005595179797018522,0.004375153614202881,1865.520005,1820.880005,1460.880005,3.08149,3.08503,2.70691,5748.581240207451,5617.46944182515,3954.47069433455,61.502922185947305,-21.690466943022678,-31.209623225367444
3,7,0.003464444928480291,0.0027890733509097457,1865.520005,1865.520005,1571.040006,3.08149,3.08149,2.81631,5748.581240207451,5748.581240207451,4424.53567929786,0.0,-15.785410942296496,-23.032562393809176
3,8,0.003464444928480291,0.0027890733509097457,1865.520005,1865.520005,1571.040006,3.08149,3.08149,2.81631,5748.581240207451,5748.581240207451,4424.53567929786,0.0,-15.785410942296496,-23.032562393809176
