top,level,kind,bits,residual_drop,wn_drop,coefficient_bits,dataset,cases,rmse,mred,max_relative,mean_error,area_um2,delay_ns,slack_ns,power_mw,dc_report,pt_dir,adp_um2_ns,status
input_l0_control_b23,0,control,23,18,18,7,uniform_100k,100000,0.05642904433174937,0.0426847334119081,0.311724751201149,-0.00635385409110268,516.960004,1.7578,8.2222,0.024683,experiments/oadm_input_width/dc/input_l0_control_b23/input_l0_control_b23.dc.rpt,experiments/oadm_input_width/pt/input_l0_control_b23,908.7122950312,pass
input_l0_mask_b3,0,mask,3,18,18,7,uniform_100k,100000,0.06627446338691294,0.050665343842639016,0.2769918888070638,-0.002681190516883931,443.160003,1.63131,8.34869,0.019051000000000002,experiments/oadm_input_width/dc/input_l0_mask_b3/input_l0_mask_b3.dc.rpt,experiments/oadm_input_width/pt/input_l0_mask_b3,722.93134449393,pass
input_l0_narrow_b3,0,narrow,3,18,18,7,uniform_100k,100000,0.06627446338691294,0.050665343842639016,0.2769918888070638,-0.002681190516883931,449.640003,1.68373,8.29627,0.019556,experiments/oadm_input_width/dc/input_l0_narrow_b3/input_l0_narrow_b3.dc.rpt,experiments/oadm_input_width/pt/input_l0_narrow_b3,757.0723622511899,pass
input_l0_mask_b4,0,mask,4,18,18,7,uniform_100k,100000,0.058276904187489674,0.044691367633949604,0.2881609556534627,-0.0027408243059464307,492.840003,1.70476,8.27524,0.0228351,experiments/oadm_input_width/dc/input_l0_mask_b4/input_l0_mask_b4.dc.rpt,experiments/oadm_input_width/pt/input_l0_mask_b4,840.1739235142801,pass
input_l0_narrow_b4,0,narrow,4,18,18,7,uniform_100k,100000,0.058276904187489674,0.044691367633949604,0.2881609556534627,-0.0027408243059464307,505.080004,1.7696,8.2104,0.0234702,experiments/oadm_input_width/dc/input_l0_narrow_b4/input_l0_narrow_b4.dc.rpt,experiments/oadm_input_width/pt/input_l0_narrow_b4,893.7895750783999,pass
input_l0_mask_b5,0,mask,5,18,18,7,uniform_100k,100000,0.05642904433174937,0.0426847334119081,0.311724751201149,-0.00635385409110268,516.960004,1.7578,8.2222,0.024683,experiments/oadm_input_width/dc/input_l0_mask_b5/input_l0_mask_b5.dc.rpt,experiments/oadm_input_width/pt/input_l0_mask_b5,908.7122950312,pass
input_l0_narrow_b5,0,narrow,5,18,18,7,uniform_100k,100000,0.05642904433174937,0.0426847334119081,0.311724751201149,-0.00635385409110268,538.200004,1.81308,8.16692,0.026149500000000003,experiments/oadm_input_width/dc/input_l0_narrow_b5/input_l0_narrow_b5.dc.rpt,experiments/oadm_input_width/pt/input_l0_narrow_b5,975.7996632523201,pass
input_l0_mask_b6,0,mask,6,18,18,7,uniform_100k,100000,0.05642904433174937,0.0426847334119081,0.311724751201149,-0.00635385409110268,516.960004,1.7578,8.2222,0.024683,experiments/oadm_input_width/dc/input_l0_mask_b6/input_l0_mask_b6.dc.rpt,experiments/oadm_input_width/pt/input_l0_mask_b6,908.7122950312,pass
input_l0_narrow_b6,0,narrow,6,18,18,7,uniform_100k,100000,0.05642904433174937,0.0426847334119081,0.311724751201149,-0.00635385409110268,538.200004,1.81308,8.16692,0.026149500000000003,experiments/oadm_input_width/dc/input_l0_narrow_b6/input_l0_narrow_b6.dc.rpt,experiments/oadm_input_width/pt/input_l0_narrow_b6,975.7996632523201,pass
input_l0_mask_b7,0,mask,7,18,18,7,uniform_100k,100000,0.05642904433174937,0.0426847334119081,0.311724751201149,-0.00635385409110268,516.960004,1.7578,8.2222,0.024683,experiments/oadm_input_width/dc/input_l0_mask_b7/input_l0_mask_b7.dc.rpt,experiments/oadm_input_width/pt/input_l0_mask_b7,908.7122950312,pass
input_l0_narrow_b7,0,narrow,7,18,18,7,uniform_100k,100000,0.05642904433174937,0.0426847334119081,0.311724751201149,-0.00635385409110268,538.200004,1.81308,8.16692,0.026149500000000003,experiments/oadm_input_width/dc/input_l0_narrow_b7/input_l0_narrow_b7.dc.rpt,experiments/oadm_input_width/pt/input_l0_narrow_b7,975.7996632523201,pass
input_l0_mask_b8,0,mask,8,18,18,7,uniform_100k,100000,0.05642904433174937,0.0426847334119081,0.311724751201149,-0.00635385409110268,516.960004,1.7578,8.2222,0.024683,experiments/oadm_input_width/dc/input_l0_mask_b8/input_l0_mask_b8.dc.rpt,experiments/oadm_input_width/pt/input_l0_mask_b8,908.7122950312,pass
input_l0_narrow_b8,0,narrow,8,18,18,7,uniform_100k,100000,0.05642904433174937,0.0426847334119081,0.311724751201149,-0.00635385409110268,538.200004,1.81308,8.16692,0.026149500000000003,experiments/oadm_input_width/dc/input_l0_narrow_b8/input_l0_narrow_b8.dc.rpt,experiments/oadm_input_width/pt/input_l0_narrow_b8,975.7996632523201,pass
input_l1_control_b23,1,control,23,16,16,7,uniform_100k,100000,0.01610807441407574,0.010744290622541598,0.08994003367908683,-0.002334134242469868,1130.400003,2.70339,7.27661,0.0661543,experiments/oadm_input_width/dc/input_l1_control_b23/input_l1_control_b23.dc.rpt,experiments/oadm_input_width/pt/input_l1_control_b23,3055.91206411017,pass
input_l1_mask_b4,1,mask,4,16,16,7,uniform_100k,100000,0.02552201409418748,0.01871442696615438,0.10339077131767367,0.00017495084053794464,976.680003,2.50943,7.47057,0.054643199999999996,experiments/oadm_input_width/dc/input_l1_mask_b4/input_l1_mask_b4.dc.rpt,experiments/oadm_input_width/pt/input_l1_mask_b4,2450.91009992829,pass
input_l1_narrow_b4,1,narrow,4,16,16,7,uniform_100k,100000,0.02552201409418748,0.01871442696615438,0.10339077131767367,0.00017495084053794464,848.880002,2.36094,7.61906,0.043268600000000004,experiments/oadm_input_width/dc/input_l1_narrow_b4/input_l1_narrow_b4.dc.rpt,experiments/oadm_input_width/pt/input_l1_narrow_b4,2004.1547519218798,pass
input_l1_mask_b5,1,mask,5,16,16,7,uniform_100k,100000,0.018692739086880964,0.013175694289592433,0.09622540796214919,-0.00044531893485268034,1043.640002,2.55542,7.42458,0.0589799,experiments/oadm_input_width/dc/input_l1_mask_b5/input_l1_mask_b5.dc.rpt,experiments/oadm_input_width/pt/input_l1_mask_b5,2666.93853391084,pass
input_l1_narrow_b5,1,narrow,5,16,16,7,uniform_100k,100000,0.018692739086880964,0.013175694289592433,0.09622540796214919,-0.00044531893485268034,979.920004,2.47424,7.50576,0.0559067,experiments/oadm_input_width/dc/input_l1_narrow_b5/input_l1_narrow_b5.dc.rpt,experiments/oadm_input_width/pt/input_l1_narrow_b5,2424.5572706969597,pass
input_l1_mask_b6,1,mask,6,16,16,7,uniform_100k,100000,0.016610224921544233,0.011308356078208497,0.09477641707230144,-0.001706213710243305,1092.600002,2.64223,7.33777,0.06288619999999999,experiments/oadm_input_width/dc/input_l1_mask_b6/input_l1_mask_b6.dc.rpt,experiments/oadm_input_width/pt/input_l1_mask_b6,2886.90050328446,pass
input_l1_narrow_b6,1,narrow,6,16,16,7,uniform_100k,100000,0.016610224921544233,0.011308356078208497,0.09477641707230144,-0.001706213710243305,1067.400003,2.42198,7.55802,0.0584664,experiments/oadm_input_width/dc/input_l1_narrow_b6/input_l1_narrow_b6.dc.rpt,experiments/oadm_input_width/pt/input_l1_narrow_b6,2585.2214592659398,pass
input_l1_mask_b7,1,mask,7,16,16,7,uniform_100k,100000,0.01610807441407574,0.010744290622541598,0.08994003367908683,-0.002334134242469868,1130.400003,2.70339,7.27661,0.0661548,experiments/oadm_input_width/dc/input_l1_mask_b7/input_l1_mask_b7.dc.rpt,experiments/oadm_input_width/pt/input_l1_mask_b7,3055.91206411017,pass
input_l1_narrow_b7,1,narrow,7,16,16,7,uniform_100k,100000,0.01610807441407574,0.010744290622541598,0.08994003367908683,-0.002334134242469868,1108.440001,2.47775,7.50225,0.0629526,experiments/oadm_input_width/dc/input_l1_narrow_b7/input_l1_narrow_b7.dc.rpt,experiments/oadm_input_width/pt/input_l1_narrow_b7,2746.4372124777497,pass
input_l1_mask_b8,1,mask,8,16,16,7,uniform_100k,100000,0.01610807441407574,0.010744290622541598,0.08994003367908683,-0.002334134242469868,1130.400003,2.70339,7.27661,0.0661548,experiments/oadm_input_width/dc/input_l1_mask_b8/input_l1_mask_b8.dc.rpt,experiments/oadm_input_width/pt/input_l1_mask_b8,3055.91206411017,pass
input_l1_narrow_b8,1,narrow,8,16,16,7,uniform_100k,100000,0.01610807441407574,0.010744290622541598,0.08994003367908683,-0.002334134242469868,1108.440001,2.47775,7.50225,0.0629526,experiments/oadm_input_width/dc/input_l1_narrow_b8/input_l1_narrow_b8.dc.rpt,experiments/oadm_input_width/pt/input_l1_narrow_b8,2746.4372124777497,pass
input_l2_control_b23,2,control,23,16,16,8,uniform_100k,100000,0.005286910112230799,0.0036413991796571503,0.029231251009329478,-0.0013412161516495552,1484.640007,2.73617,7.24383,0.0750523,experiments/oadm_input_width/dc/input_l2_control_b23/input_l2_control_b23.dc.rpt,experiments/oadm_input_width/pt/input_l2_control_b23,4062.2274479531898,pass
