top,status
input_l0_control_b23,pass
input_l0_mask_b3,pass
input_l0_narrow_b3,pass
input_l0_mask_b4,pass
input_l0_narrow_b4,pass
input_l0_mask_b5,pass
input_l0_narrow_b5,pass
input_l0_mask_b6,pass
input_l0_narrow_b6,pass
input_l0_mask_b7,pass
input_l0_narrow_b7,pass
input_l0_mask_b8,pass
input_l0_narrow_b8,pass
input_l1_control_b23,pass
input_l1_mask_b4,pass
input_l1_narrow_b4,pass
input_l1_mask_b5,pass
input_l1_narrow_b5,pass
input_l1_mask_b6,pass
input_l1_narrow_b6,pass
input_l1_mask_b7,pass
input_l1_narrow_b7,pass
input_l1_mask_b8,pass
input_l1_narrow_b8,pass
input_l2_control_b23,pass
input_l2_mask_b4,pass
input_l2_narrow_b4,pass
input_l2_mask_b5,pass
input_l2_narrow_b5,pass
input_l2_mask_b6,pass
input_l2_narrow_b6,pass
input_l2_mask_b7,pass
input_l2_narrow_b7,pass
input_l2_mask_b8,pass
input_l2_narrow_b8,pass
input_l3_control_b23,pass
input_l3_mask_b4,pass
input_l3_narrow_b4,pass
input_l3_mask_b5,pass
input_l3_narrow_b5,pass
input_l3_mask_b6,pass
input_l3_narrow_b6,pass
input_l3_mask_b7,pass
input_l3_narrow_b7,pass
input_l3_mask_b8,pass
input_l3_narrow_b8,pass
