design,x_hex,y_hex,rtl_hex,reference,equation27_quotient,partial_sum_quotient,packed_quotient
pace_z_l3_d18,3f80546f,3ffcb076,3f1f8000,0.5078561634893588,0.4921875,0.4921875,0.623046875
pace_z_l4_d18,3f80546f,3ffcb076,3f1f8000,0.5078561634893588,0.4921875,0.4921875,0.623046875
pace_z_l3_d18,3f80fb33,3ffddc09,3f1f8000,0.508081205092019,0.4921875,0.4921875,0.623046875
pace_z_l4_d18,3f80fb33,3ffddc09,3f1f8000,0.508081205092019,0.4921875,0.4921875,0.623046875
pace_z_l3_d0,3f8076c4,3fff24f9,3f1fd5c4,0.5034949460697817,0.4974223477765918,0.49742233753204346,0.6243555545806885
pace_z_l3_d17,3f8076c4,3fff24f9,3f1f8000,0.5034949460697817,0.4921875,0.4921875,0.623046875
pace_z_l4_d0,3f8076c4,3fff24f9,3f1fd5c4,0.5034949460697817,0.4974223477765918,0.49742233753204346,0.6243555545806885
pace_z_l4_d17,3f8076c4,3fff24f9,3f1f8000,0.5034949460697817,0.4921875,0.4921875,0.623046875
pace_z_l3_d0,3f8098ca,3ffec9e5,3f1ff588,0.5047196255273665,0.4993610726669431,0.4993610382080078,0.624840259552002
pace_z_l3_d17,3f8098ca,3ffec9e5,3f1f8000,0.5047196255273665,0.4921875,0.4921875,0.623046875
pace_z_l4_d0,3f8098ca,3ffec9e5,3f1ff588,0.5047196255273665,0.4993610726669431,0.4993610382080078,0.624840259552002
pace_z_l4_d17,3f8098ca,3ffec9e5,3f1f8000,0.5047196255273665,0.4921875,0.4921875,0.623046875
