dataset,design,level,drop,retained_difference_fraction_bits,cases,mae,mred,rmse,mean_error,max_relative,author_normalizer_out_of_range_cases,equation27_normalized_rmse,equation27_mred,area_um2,delay_ns,slack_ns,power_mw,dc_report,pt_dir,scope,adp_um2_ns,gate_vectors,status
uniform_100k,pace_z_l1_d0,1,0,23,100000,0.02831051445682432,0.026181617164544212,0.045222442778428,-0.008381513045365371,0.12454696633194891,0,0.045222427046790845,0.026181607774909885,990.000008,2.21436,7.76564,0.0446706,experiments/pace_difference_truncation/dc/pace_z_l1_d0/pace_z_l1_d0.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l1_d0,figure8_count_range,2192.21641771488,4869,pass
uniform_100k,pace_z_l1_d4,1,4,19,100000,0.0283105225383977,0.02618153832317634,0.045222582301253714,-0.008382049653465309,0.12454588985849299,0,0.045222582301253714,0.02618153832317634,915.480008,2.28734,7.69266,0.0404791,experiments/pace_difference_truncation/dc/pace_z_l1_d4/pace_z_l1_d4.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l1_d4,figure8_count_range,2094.01404149872,4869,pass
uniform_100k,pace_z_l1_d8,1,8,15,100000,0.028310836464133536,0.026180410233059302,0.04522504983876226,-0.00839100512259678,0.12453871336878691,0,0.04522504983876226,0.026180410233059302,802.440008,2.36228,7.61772,0.0341312,experiments/pace_difference_truncation/dc/pace_z_l1_d8/pace_z_l1_d8.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l1_d8,figure8_count_range,1895.5879820982402,4869,pass
uniform_100k,pace_z_l1_d12,1,12,11,100000,0.028317620183615163,0.02616429838887665,0.0452648903001347,-0.00853413729422764,0.12435499523231104,0,0.0452648903001347,0.02616429838887665,689.400007,2.43718,7.54282,0.027947299999999998,experiments/pace_difference_truncation/dc/pace_z_l1_d12/pace_z_l1_d12.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l1_d12,figure8_count_range,1680.19190906026,4869,pass
uniform_100k,pace_z_l1_d14,1,14,9,100000,0.02835610066622596,0.026130242808973712,0.045398818814305325,-0.008992035243446399,0.12435499523231104,0,0.045398818814305325,0.026130242808973712,632.880007,2.47463,7.50537,0.0248755,experiments/pace_difference_truncation/dc/pace_z_l1_d14/pace_z_l1_d14.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l1_d14,figure8_count_range,1566.1438517224099,4869,pass
uniform_100k,pace_z_l1_d15,1,15,8,100000,0.028432158663962957,0.02611113712773011,0.04558199520841899,-0.009601376063758892,0.1248533414365073,0,0.04558199520841899,0.02611113712773011,604.080007,2.48385,7.49615,0.023207,experiments/pace_difference_truncation/dc/pace_z_l1_d15/pace_z_l1_d15.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l1_d15,figure8_count_range,1500.44412538695,4869,pass
uniform_100k,pace_z_l1_d16,1,16,7,100000,0.028665667953475478,0.02615612159278729,0.045988713244470784,-0.010820760829383793,0.1261395286246948,0,0.045988713244470784,0.02615612159278729,576.360007,2.51208,7.46792,0.0217117,experiments/pace_difference_truncation/dc/pace_z_l1_d16/pace_z_l1_d16.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l1_d16,figure8_count_range,1447.8624463845601,4869,pass
uniform_100k,pace_z_l1_d17,1,17,6,100000,0.02938399629955076,0.026514091405259982,0.04691331612274661,-0.013266932704383798,0.12779336380570155,0,0.04691331612274661,0.026514091405259982,547.560007,2.52133,7.45867,0.0201529,experiments/pace_difference_truncation/dc/pace_z_l1_d17/pace_z_l1_d17.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l1_d17,figure8_count_range,1380.57947244931,4869,pass
uniform_100k,pace_z_l1_d18,1,18,5,100000,0.03154714116238133,0.028007703509320487,0.04923218158502632,-0.018172245204383753,0.1336734085440901,0,0.04923218158502632,0.028007703509320487,519.840007,2.54963,7.43037,0.0186014,experiments/pace_difference_truncation/dc/pace_z_l1_d18/pace_z_l1_d18.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l1_d18,figure8_count_range,1325.39967704741,4869,pass
uniform_100k,pace_z_l2_d0,2,0,23,100000,0.015214371355194711,0.014989982089724107,0.02234211700567362,-0.0005454967122622293,0.0925537267611602,0,0.022342101879467415,0.014989975533954775,1486.440012,2.41881,7.56119,0.0759092,experiments/pace_difference_truncation/dc/pace_z_l2_d0/pace_z_l2_d0.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l2_d0,figure8_count_range,3595.41596542572,4869,pass
