top,family,level,drop,bits,shell,rounding,dataset,cases,rmse,mred,mean_error,max_relative,mae
fig8_pace_l1_d0,pace,1,0,23,common,author,uniform_10k,10000,0.045134319202239884,0.026027112682464684,-0.008398198791439326,0.12427256084111554,0.028163092391595864
fig8_pace_l1_d4,pace,1,4,19,common,author,uniform_10k,10000,0.04513455702140554,0.02602724691861414,-0.008398537959749491,0.12427220273470765,0.028163267480239892
fig8_pace_l1_d8,pace,1,8,15,common,author,uniform_10k,10000,0.04513836642918555,0.02602964652844965,-0.008403911628420148,0.12428222971412871,0.028166269152439014
fig8_pace_l1_d12,pace,1,12,11,common,author,uniform_10k,10000,0.04519873208410273,0.026067397823702498,-0.00849052814453343,0.12407766024556079,0.028214119928843474
fig8_pace_l1_d14,pace,1,14,9,common,author,uniform_10k,10000,0.045403203592116484,0.026193165855929124,-0.00876482013672093,0.12407766024556079,0.028373397007606768
fig8_pace_l1_d15,pace,1,15,8,common,author,uniform_10k,10000,0.04566205603881951,0.026396211271424535,-0.009150562324220936,0.12407766024556079,0.02862469424282886
fig8_pace_l1_d16,pace,1,16,7,common,author,uniform_10k,10000,0.04621654269432686,0.02684100272985728,-0.009885718574220947,0.12650535429434012,0.029158366377283362
fig8_pace_l1_d17,pace,1,17,6,common,author,uniform_10k,10000,0.047622561900389555,0.027987485407692275,-0.011387281074220938,0.13093336054027563,0.030500422639858693
fig8_pace_l1_d18,pace,1,18,5,common,author,uniform_10k,10000,0.05089347221623102,0.030773826985191596,-0.014422437324220959,0.14244839498121858,0.033738752317658494
fig8_pace_l2_d0,pace,2,0,23,common,author,uniform_10k,10000,0.0223451590560184,0.014880143853364879,-0.0006691341420958868,0.09033226181469395,0.015145649107084137
fig8_pace_l2_d4,pace,2,4,19,common,author,uniform_10k,10000,0.022345380003584474,0.014880244618697826,-0.0006697629353354803,0.09033267663780366,0.015145820673093658
fig8_pace_l2_d8,pace,2,8,15,common,author,uniform_10k,10000,0.022348968820800005,0.014881912376881454,-0.0006796394726584784,0.09035424743950915,0.015148590118218761
fig8_pace_l2_d12,pace,2,12,11,common,author,uniform_10k,10000,0.022408250720988558,0.014909706999206634,-0.0008388435742209772,0.09040734479755344,0.015194358561549262
fig8_pace_l2_d14,pace,2,14,9,common,author,uniform_10k,10000,0.02262792042871852,0.015040075799448752,-0.0013466560742209776,0.09083212366190777,0.015386793066597505
fig8_pace_l2_d15,pace,2,15,8,common,author,uniform_10k,10000,0.022929002041896872,0.015253588291733441,-0.002046656074220976,0.09083212366190777,0.015683795062271178
fig8_pace_l2_d16,pace,2,16,7,common,author,uniform_10k,10000,0.023718450357754103,0.01586031232839914,-0.003382984199220982,0.09423035457674238,0.01645645723518623
fig8_pace_l2_d17,pace,2,17,6,common,author,uniform_10k,10000,0.025881707656114417,0.017430631787768557,-0.0061435310742209495,0.09934012651444349,0.018379612468572094
fig8_pace_l2_d18,pace,2,18,5,common,author,uniform_10k,10000,0.031487526643938335,0.021380919233362355,-0.011541187324220943,0.10047711911168485,0.023040631451922786
fig8_pace_l3_d0,pace,3,0,23,common,author,uniform_10k,10000,0.009367587646729176,0.005649383528190634,0.001404979459350264,0.2400433399666262,0.0059745339616959995
fig8_pace_l3_d4,pace,3,4,19,common,author,uniform_10k,10000,0.009367428445217681,0.005649260537003847,0.0014037104228188156,0.24004286643937242,0.005974451536755992
