level,drop,cases,paper_rmse,whole_width_rmse,z_only_rmse,whole_width_delta,z_only_delta
1,0,10000,0.04533836387057932,0.045134319202239884,0.045134319202239884,-0.00020404466833943286,-0.00020404466833943286
1,4,10000,0.04533836387057932,0.04513455702140554,0.045134459471385995,-0.00020380684917377379,-0.00020390439919332204
1,8,10000,0.04534294535275582,0.04513836642918555,0.04513689364478615,-0.00020457892357027274,-0.00020605170796966776
1,12,10000,0.04540555855285278,0.04519873208410273,0.0451769144310922,-0.0002068264687500529,-0.00022864412176058085
1,14,10000,0.045610197587045424,0.045403203592116484,0.04531368850539274,-0.00020699399492894038,-0.00029650908165268497
1,15,10000,0.045888139694901214,0.04566205603881951,0.04548591282637313,-0.00022608365608170478,-0.00040222686852808137
1,16,10000,0.04648220348259874,0.04621654269432686,0.04590054055447364,-0.0002656607882718792,-0.0005816629281251012
1,17,10000,0.04784442620002659,0.047622561900389555,0.04679918524110255,-0.00022186429963703264,-0.0010452409589240402
1,18,10000,0.0511675165959044,0.05089347221623102,0.049102148310962844,-0.00027404437967337714,-0.0020653682849415544
2,0,10000,0.022408123849624293,0.0223451590560184,0.0223451590560184,-6.29647936058915e-05,-6.29647936058915e-05
2,4,10000,0.022408123849624293,0.022345380003584474,0.022345206496804534,-6.274384603981858e-05,-6.291735281975866e-05
2,8,10000,0.022411178160649917,0.022348968820800005,0.022346264505261258,-6.220933984991267e-05,-6.491365538865979e-05
2,12,10000,0.02247684587897696,0.022408250720988558,0.02236327346605149,-6.85951579884013e-05,-0.00011357241292547088
2,14,10000,0.022699810388371534,0.02262792042871852,0.022435516845222152,-7.188995965301537e-05,-0.0002642935431493819
2,15,10000,0.023028148921363956,0.022929002041896872,0.022527192065490392,-9.914687946708384e-05,-0.0005009568558735633
2,16,10000,0.02382074273025107,0.023718450357754103,0.022835270013090915,-0.00010229237249696765,-0.0009854727171601553
2,17,10000,0.025937380075531896,0.025881707656114417,0.023680885361836303,-5.567241941747958e-05,-0.0022564947136955935
2,18,10000,0.03156189392695456,0.031487526643938335,0.026398099068771615,-7.43672830162273e-05,-0.005163794858182948
3,0,10000,0.009225717466945026,0.009367587646729176,0.009367587646729176,0.0001418701797841499,0.0001418701797841499
3,4,10000,0.009225717466945026,0.009367428445217681,0.009367498632701612,0.00014171097827265534,0.00014178116575658609
3,8,10000,0.009224190311432215,0.009364672892922709,0.00936610551056447,0.0001404825814904937,0.00014191519913225523
3,12,10000,0.009204337297584698,0.00933197397678223,0.009344547999871613,0.00012763667919753197,0.00014021070228691437
3,14,10000,0.00923335323278052,0.009341923522805403,0.00930034349269666,0.00010857029002488312,6.69902599161401e-05
3,15,10000,0.009540311432212867,0.009602497403178992,0.009287441813374295,6.218597096612453e-05,-0.0002528696188385717
3,16,10000,0.010946821561774298,0.010994396563392404,0.00950377349461099,4.7575001618106044e-05,-0.0014430480671633085
3,17,10000,0.015734454192176277,0.015693120852821176,0.010625645806146231,-4.133333935510061e-05,-0.005108808386030046
4,0,10000,0.0060186908861313854,0.005923006987512841,0.005923006987512841,-9.568389861854421e-05,-9.568389861854421e-05
4,4,10000,0.0060186908861313854,0.005922398015513784,0.005922825788767395,-9.629287061760101e-05,-9.586509736399067e-05
4,8,10000,0.006009527964783069,0.005912759444247669,0.005919586297313909,-9.676852053540005e-05,-8.99416674691603e-05
4,12,10000,0.005891937009844168,0.005781661997458488,0.005871056497662085,-0.00011027501238568011,-2.0880512182083234e-05
4,14,10000,0.005804889243351866,0.005724560340784351,0.005756856450015288,-8.032890256751482e-05,-4.803279333657779e-05
4,15,10000,0.006516543516846115,0.0064122420471490705,0.0056947993253104985,-0.0001043014696970445,-0.0008217441915356165
4,16,10000,0.009725097151525105,0.009721413681973767,0.0059256418698082096,-3.6834695513379007e-06,-0.0037994552817168957
