family,level,drop,pdf_x,pdf_y,paper_adp,paper_rmse,local_top,local_rmse,rmse_delta
dw,0,0,358.50390625,219.2265626,144536.41983372974,1.7100232225759118e-07,fig8_dw_d0,5.4285029883856095e-08,-1.1671729237373508e-07
dw,0,4,344.109375,219.22265635,101576.55132561544,1.6981578350690822e-06,fig8_dw_d4,1.0122999975905517e-06,-6.858578374785305e-07
dw,0,8,348.734375,219.1875001,113765.8256525753,1.54425574503725e-05,fig8_dw_d8,1.6031309423054903e-05,5.887519726824037e-07
dw,0,12,314.859375,218.570313,49604.445266279305,0.0002567329720938617,fig8_dw_d12,0.0002559891726407568,-7.437994531048881e-07
dw,0,14,302.710938,216.597656,36833.184666560606,0.0010279467992775225,fig8_dw_d14,0.0010271954535838541,-7.513456936683593e-07
dw,0,15,284.45703100000003,213.980469,23549.66359903161,0.002051140797385316,fig8_dw_d15,0.002084229606767751,3.30888093824349e-05
dw,0,16,266.183594,208.765625,15049.508290574791,0.004089893504726609,fig8_dw_d16,0.004139280981852891,4.9387477126281755e-05
dw,0,17,240.570313,198.402344,8034.349263540021,0.00814143698247754,fig8_dw_d17,0.008198745420190763,5.730843771322228e-05
dw,0,18,225.890625,177.929688,5607.022446332894,0.016145258927384616,fig8_dw_d18,0.016187765729297875,4.25068019132592e-05
pace,1,0,215.29296875,103.25781259,4324.680996784954,0.04533836387057932,fig8_pace_l1_d0,0.045134319202239884,-0.00020404466833943286
pace,1,4,205.578125,103.25781259,3408.5571636509817,0.04533836387057932,fig8_pace_l1_d4,0.04513455702140554,-0.00020380684917377379
pace,1,8,196.355469,103.2460938,2719.097952680039,0.04534294535275582,fig8_pace_l1_d8,0.04513836642918555,-0.00020457892357027274
pace,1,12,174.457031,103.085938,1589.9588822345306,0.04540555855285278,fig8_pace_l1_d12,0.04519873208410273,-0.0002068264687500529
pace,1,14,173.882813,102.5625,1567.7441029453614,0.045610197587045424,fig8_pace_l1_d14,0.045403203592116484,-0.00020699399492894038
pace,1,15,166.664063,101.851563,1313.5742568700086,0.045888139694901214,fig8_pace_l1_d15,0.04566205603881951,-0.00022608365608170478
pace,1,16,168.132813,100.332031,1361.7104906160648,0.04648220348259874,fig8_pace_l1_d16,0.04621654269432686,-0.0002656607882718792
pace,1,17,162.58984400000003,96.847656,1188.769283132458,0.04784442620002659,fig8_pace_l1_d17,0.047622561900389555,-0.00022186429963703264
pace,1,18,151.398438,88.347656,903.6511122855017,0.0511675165959044,fig8_pace_l1_d18,0.05089347221623102,-0.00027404437967337714
pace,2,0,239.65234375,161.91015633,7855.64510707711,0.022408123849624293,fig8_pace_l2_d0,0.0223451590560184,-6.29647936058915e-05
pace,2,4,230.76953099999997,161.91015633,6319.062817556663,0.022408123849624293,fig8_pace_l2_d4,0.022345380003584474,-6.274384603981858e-05
pace,2,8,215.93359399999997,161.90234383,4393.104038709485,0.022411178160649917,fig8_pace_l2_d8,0.022348968820800005,-6.220933984991267e-05
pace,2,12,207.8125,161.734375,3600.380245918915,0.02247684587897696,fig8_pace_l2_d12,0.022408250720988558,-6.85951579884013e-05
pace,2,14,194.08984399999997,161.164063,2572.2578896970917,0.022699810388371534,fig8_pace_l2_d14,0.02262792042871852,-7.188995965301537e-05
pace,2,15,190.19921899999997,160.324219,2338.3592067550717,0.023028148921363956,fig8_pace_l2_d15,0.022929002041896872,-9.914687946708384e-05
pace,2,16,187.015625,158.296875,2162.878043159215,0.02382074273025107,fig8_pace_l2_d16,0.023718450357754103,-0.00010229237249696765
pace,2,17,178.171875,152.882813,1741.4802262848564,0.025937380075531896,fig8_pace_l2_d17,0.025881707656114417,-5.567241941747958e-05
pace,2,18,163.45703099999997,138.496094,1214.3000468419089,0.03156189392695456,fig8_pace_l2_d18,0.031487526643938335,-7.43672830162273e-05
pace,3,0,251.24609375,195.62890632,10436.630544920283,0.009225717466945026,fig8_pace_l3_d0,0.009367587646729176,0.0001418701797841499
pace,3,4,243.554688,195.62890632,8643.902332060698,0.009225717466945026,fig8_pace_l3_d4,0.009367428445217681,0.00014171097827265534
pace,3,8,234.035156,195.63281257,6845.49448635046,0.009224190311432215,fig8_pace_l3_d8,0.009364672892922709,0.0001404825814904937
pace,3,12,218.667969,195.6835938,4697.536687391172,0.009204337297584698,fig8_pace_l3_d12,0.00933197397678223,0.00012763667919753197
pace,3,14,209.578125,195.60937510000002,3759.566848731789,0.00923335323278052,fig8_pace_l3_d14,0.009341923522805403,0.00010857029002488312
pace,3,15,210.347656,194.824219,3831.1310863555964,0.009540311432212867,fig8_pace_l3_d15,0.009602497403178992,6.218597096612453e-05
pace,3,16,201.902344,191.226563,3114.9682783216276,0.010946821561774298,fig8_pace_l3_d16,0.010994396563392404,4.7575001618106044e-05
pace,3,17,192.640625,178.980469,2482.5168131551295,0.015734454192176277,fig8_pace_l3_d17,0.015693120852821176,-4.133333935510061e-05
pace,4,0,264.78125,203.83203132999998,14541.15272321424,0.0060186908861313854,fig8_pace_l4_d0,0.005923006987512841,-9.568389861854421e-05
pace,4,4,257.1875,203.83203132999998,12072.233051801273,0.0060186908861313854,fig8_pace_l4_d4,0.005922398015513784,-9.629287061760101e-05
pace,4,8,247.39453099999997,203.85546879999998,9496.700041516695,0.006009527964783069,fig8_pace_l4_d8,0.005912759444247669,-9.676852053540005e-05
pace,4,12,235.79296899999997,204.15625,7146.791832180541,0.005891937009844168,fig8_pace_l4_d12,0.005781661997458488,-0.00011027501238568011
pace,4,14,227.55078099999997,204.378906,5839.818574506467,0.005804889243351866,fig8_pace_l4_d14,0.005724560340784351,-8.032890256751482e-05
pace,4,15,218.76171899999997,202.558594,4708.3403613860355,0.006516543516846115,fig8_pace_l4_d15,0.0064122420471490705,-0.0001043014696970445
