family,level,drop,pdf_x,pdf_y,paper_adp,paper_rmse
dw,0,0,358.50390625,219.2265626,144536.41983372974,1.7100232225759118e-07
dw,0,4,344.109375,219.22265635,101576.55132561544,1.6981578350690822e-06
dw,0,8,348.734375,219.1875001,113765.8256525753,1.54425574503725e-05
dw,0,12,314.859375,218.570313,49604.445266279305,0.0002567329720938617
dw,0,14,302.710938,216.597656,36833.184666560606,0.0010279467992775225
dw,0,15,284.45703100000003,213.980469,23549.66359903161,0.002051140797385316
dw,0,16,266.183594,208.765625,15049.508290574791,0.004089893504726609
dw,0,17,240.570313,198.402344,8034.349263540021,0.00814143698247754
dw,0,18,225.890625,177.929688,5607.022446332894,0.016145258927384616
pace,1,0,215.29296875,103.25781259,4324.680996784954,0.04533836387057932
pace,1,4,205.578125,103.25781259,3408.5571636509817,0.04533836387057932
pace,1,8,196.355469,103.2460938,2719.097952680039,0.04534294535275582
pace,1,12,174.457031,103.085938,1589.9588822345306,0.04540555855285278
pace,1,14,173.882813,102.5625,1567.7441029453614,0.045610197587045424
pace,1,15,166.664063,101.851563,1313.5742568700086,0.045888139694901214
pace,1,16,168.132813,100.332031,1361.7104906160648,0.04648220348259874
pace,1,17,162.58984400000003,96.847656,1188.769283132458,0.04784442620002659
pace,1,18,151.398438,88.347656,903.6511122855017,0.0511675165959044
pace,2,0,239.65234375,161.91015633,7855.64510707711,0.022408123849624293
pace,2,4,230.76953099999997,161.91015633,6319.062817556663,0.022408123849624293
pace,2,8,215.93359399999997,161.90234383,4393.104038709485,0.022411178160649917
pace,2,12,207.8125,161.734375,3600.380245918915,0.02247684587897696
pace,2,14,194.08984399999997,161.164063,2572.2578896970917,0.022699810388371534
pace,2,15,190.19921899999997,160.324219,2338.3592067550717,0.023028148921363956
pace,2,16,187.015625,158.296875,2162.878043159215,0.02382074273025107
pace,2,17,178.171875,152.882813,1741.4802262848564,0.025937380075531896
pace,2,18,163.45703099999997,138.496094,1214.3000468419089,0.03156189392695456
pace,3,0,251.24609375,195.62890632,10436.630544920283,0.009225717466945026
pace,3,4,243.554688,195.62890632,8643.902332060698,0.009225717466945026
pace,3,8,234.035156,195.63281257,6845.49448635046,0.009224190311432215
pace,3,12,218.667969,195.6835938,4697.536687391172,0.009204337297584698
pace,3,14,209.578125,195.60937510000002,3759.566848731789,0.00923335323278052
pace,3,15,210.347656,194.824219,3831.1310863555964,0.009540311432212867
pace,3,16,201.902344,191.226563,3114.9682783216276,0.010946821561774298
pace,3,17,192.640625,178.980469,2482.5168131551295,0.015734454192176277
pace,4,0,264.78125,203.83203132999998,14541.15272321424,0.0060186908861313854
pace,4,4,257.1875,203.83203132999998,12072.233051801273,0.0060186908861313854
pace,4,8,247.39453099999997,203.85546879999998,9496.700041516695,0.006009527964783069
pace,4,12,235.79296899999997,204.15625,7146.791832180541,0.005891937009844168
pace,4,14,227.55078099999997,204.378906,5839.818574506467,0.005804889243351866
pace,4,15,218.76171899999997,202.558594,4708.3403613860355,0.006516543516846115
pace,4,16,215.76171899999997,194.351563,4374.641089550495,0.009725097151525105
