top,family,level,drop,bits,shell,rounding,dataset,cases,rmse,mred,mean_error,max_relative,mae,area_um2,delay_ns,slack_ns,power_mw,dc_report,pt_dir,adp_um2_ns,status
fig8_pace_l1_d0,pace,1,0,23,common,author,uniform_10k,10000,0.045134319202239884,0.026027112682464684,-0.008398198791439326,0.12427256084111554,0.028163092391595864,990.000008,2.21436,7.76564,0.0446706,experiments/pace_fig8_reverse/dc/fig8_pace_l1_d0/fig8_pace_l1_d0.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l1_d0,2192.21641771488,pass
fig8_pace_l1_d4,pace,1,4,19,common,author,uniform_10k,10000,0.04513455702140554,0.02602724691861414,-0.008398537959749491,0.12427220273470765,0.028163267480239892,843.120007,1.99252,7.98748,0.0375293,experiments/pace_fig8_reverse/dc/fig8_pace_l1_d4/fig8_pace_l1_d4.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l1_d4,1679.93347634764,pass
fig8_pace_l1_d8,pace,1,8,15,common,author,uniform_10k,10000,0.04513836642918555,0.02602964652844965,-0.008403911628420148,0.12428222971412871,0.028166269152439014,699.120005,1.77065,8.20935,0.0307115,experiments/pace_fig8_reverse/dc/fig8_pace_l1_d8/fig8_pace_l1_d8.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l1_d8,1237.89683685325,pass
fig8_pace_l1_d12,pace,1,12,11,common,author,uniform_10k,10000,0.04519873208410273,0.026067397823702498,-0.00849052814453343,0.12407766024556079,0.028214119928843474,555.120004,1.54876,8.43124,0.0239196,experiments/pace_fig8_reverse/dc/fig8_pace_l1_d12/fig8_pace_l1_d12.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l1_d12,859.7476573950399,pass
fig8_pace_l1_d14,pace,1,14,9,common,author,uniform_10k,10000,0.045403203592116484,0.026193165855929124,-0.00876482013672093,0.12407766024556079,0.028373397007606768,483.120003,1.44438,8.53562,0.0205869,experiments/pace_fig8_reverse/dc/fig8_pace_l1_d14/fig8_pace_l1_d14.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l1_d14,697.80886993314,pass
fig8_pace_l1_d15,pace,1,15,8,common,author,uniform_10k,10000,0.04566205603881951,0.026396211271424535,-0.009150562324220936,0.12407766024556079,0.02862469424282886,447.120003,1.3889,8.5911,0.0188002,experiments/pace_fig8_reverse/dc/fig8_pace_l1_d15/fig8_pace_l1_d15.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l1_d15,621.0049721667,pass
fig8_pace_l1_d16,pace,1,16,7,common,author,uniform_10k,10000,0.04621654269432686,0.02684100272985728,-0.009885718574220947,0.12650535429434012,0.029158366377283362,411.120003,1.33346,8.64654,0.0171531,experiments/pace_fig8_reverse/dc/fig8_pace_l1_d16/fig8_pace_l1_d16.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l1_d16,548.21207920038,pass
fig8_pace_l1_d17,pace,1,17,6,common,author,uniform_10k,10000,0.047622561900389555,0.027987485407692275,-0.011387281074220938,0.13093336054027563,0.030500422639858693,375.120002,1.27806,8.70194,0.0154086,experiments/pace_fig8_reverse/dc/fig8_pace_l1_d17/fig8_pace_l1_d17.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l1_d17,479.42586975612,pass
fig8_pace_l1_d18,pace,1,18,5,common,author,uniform_10k,10000,0.05089347221623102,0.030773826985191596,-0.014422437324220959,0.14244839498121858,0.033738752317658494,338.400002,1.22324,8.75676,0.013643500000000001,experiments/pace_fig8_reverse/dc/fig8_pace_l1_d18/fig8_pace_l1_d18.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l1_d18,413.94441844648003,pass
fig8_pace_l2_d0,pace,2,0,23,common,author,uniform_10k,10000,0.0223451590560184,0.014880143853364879,-0.0006691341420958868,0.09033226181469395,0.015145649107084137,1551.600011,2.36162,7.61838,0.0782855,experiments/pace_fig8_reverse/dc/fig8_pace_l2_d0/fig8_pace_l2_d0.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l2_d0,3664.28961797782,pass
fig8_pace_l2_d4,pace,2,4,19,common,author,uniform_10k,10000,0.022345380003584474,0.014880244618697826,-0.0006697629353354803,0.09033267663780366,0.015145820673093658,1303.920009,2.13953,7.84047,0.0649076,experiments/pace_fig8_reverse/dc/fig8_pace_l2_d4/fig8_pace_l2_d4.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l2_d4,2789.77597685577,pass
fig8_pace_l2_d8,pace,2,8,15,common,author,uniform_10k,10000,0.022348968820800005,0.014881912376881454,-0.0006796394726584784,0.09035424743950915,0.015148590118218761,1062.000007,1.9184,8.0616,0.0518437,experiments/pace_fig8_reverse/dc/fig8_pace_l2_d8/fig8_pace_l2_d8.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l2_d8,2037.3408134288004,pass
fig8_pace_l2_d12,pace,2,12,11,common,author,uniform_10k,10000,0.022408250720988558,0.014909706999206634,-0.0008388435742209772,0.09040734479755344,0.015194358561549262,820.080005,1.69733,8.28267,0.038578100000000004,experiments/pace_fig8_reverse/dc/fig8_pace_l2_d12/fig8_pace_l2_d12.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l2_d12,1391.94639488665,pass
fig8_pace_l2_d14,pace,2,14,9,common,author,uniform_10k,10000,0.02262792042871852,0.015040075799448752,-0.0013466560742209776,0.09083212366190777,0.015386793066597505,699.120004,1.5979,8.3821,0.0321242,experiments/pace_fig8_reverse/dc/fig8_pace_l2_d14/fig8_pace_l2_d14.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l2_d14,1117.1238543916002,pass
fig8_pace_l2_d15,pace,2,15,8,common,author,uniform_10k,10000,0.022929002041896872,0.015253588291733441,-0.002046656074220976,0.09083212366190777,0.015683795062271178,638.640004,1.54264,8.43736,0.028921899999999997,experiments/pace_fig8_reverse/dc/fig8_pace_l2_d15/fig8_pace_l2_d15.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l2_d15,985.19161577056,pass
fig8_pace_l2_d16,pace,2,16,7,common,author,uniform_10k,10000,0.023718450357754103,0.01586031232839914,-0.003382984199220982,0.09423035457674238,0.01645645723518623,578.160003,1.48737,8.49263,0.0256717,experiments/pace_fig8_reverse/dc/fig8_pace_l2_d16/fig8_pace_l2_d16.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l2_d16,859.93784366211,pass
