design,cases,mae,mred,rmse
STDM L0,200000,0.042817641,0.042856111,0.056227187
STDM L1,200000,0.011796325,0.011262701,0.016233269
STDM L2,200000,0.003778343,0.003568277,0.005105118
STDM L3,200000,0.002663064,0.002577343,0.003429810
PLSAD m8,200000,0.008975265,0.008708889,0.013227187
PACE L1,200000,0.028162707,0.025950730,0.045176211
PACE L2,200000,0.015143155,0.014858610,0.022305146
PACE L3,200000,0.005897038,0.005607828,0.009280962
PACE L4,200000,0.003855986,0.003815607,0.006059710
FPD2D 8x8 t17,200000,0.005344438,0.005282125,0.006828300
FPD2D 8x8 t16,200000,0.004053934,0.004095821,0.005134372
FPD2D 8x8 t15,200000,0.003653158,0.003735413,0.004636034
