design,level,dataset,cases,mred,rmse,mae,mean_error,max_relative,p99_relative
plain_mul_l0,0,uniform_100k,100000,0.03128919188897426,0.08351330255039911,0.06259166096853916,-8.214192951508323e-05,0.24808557467643047,0.16275716200254522
amlib_oam_l0_fp32_common,0,uniform_100k,100000,0.03128919188897426,0.08351330255039911,0.06259166096853916,-8.214192951508323e-05,0.24808557467643047,0.16275716200254522
plain_mul_l0,0,boundaries,2304,0.032204065256208426,0.08398436241396283,0.06249999908161271,-0.00010856561776664521,0.25,0.16955010778861504
amlib_oam_l0_fp32_common,0,boundaries,2304,0.032204065256208426,0.08398436241396283,0.06249999908161271,-0.00010856561776664521,0.25,0.16955010778861504
plain_mul_l0,0,signed_exponents,2000,0.03082848577255643,63332333.28064253,2809042.8942599776,-1593644.4991080628,0.22646123932571524,0.1493613485684077
amlib_oam_l0_fp32_common,0,signed_exponents,2000,0.03082848577255643,63332333.28064253,2809042.8942599776,-1593644.4991080628,0.22646123932571524,0.1493613485684077
plain_mul_l1,1,uniform_100k,100000,0.0076060307683196516,0.02087679693355947,0.015657905066434778,-5.0513638504226605e-05,0.061703218941937296,0.03409693155676219
amlib_oam_l1_fp32_common,1,uniform_100k,100000,0.007606030811413918,0.020876796824100447,0.01565790475410644,-5.054350758381645e-05,0.061703278394271956,0.03409693155676219
plain_mul_l1,1,boundaries,2304,0.007832917631620412,0.021484366637145747,0.015625011046520858,-0.00010857914781404866,0.0625,0.04166662527456375
amlib_oam_l1_fp32_common,1,boundaries,2304,0.007832922685999562,0.021484368302356595,0.015625019169723267,-0.00010861039886044132,0.06250005960464478,0.04166666335529778
plain_mul_l1,1,signed_exponents,2000,0.007680879723751035,16569281.116420604,1148768.5389542251,-177632.20993544985,0.052735332433137445,0.032858081982745216
amlib_oam_l1_fp32_common,1,signed_exponents,2000,0.0076808799452851555,16569272.765849246,1148767.8239559643,-177632.05154525558,0.05273539015885951,0.03285818902980425
plain_mul_l2,2,uniform_100k,100000,0.0018795785525363333,0.005205676933968961,0.003900094487863525,-2.5021913893897932e-05,0.015267259526879021,0.007996025879613474
amlib_oam_l2_fp32_common,2,uniform_100k,100000,0.001879578878084104,0.0052056771536653865,0.003900094999243528,-2.5066902883727947e-05,0.015267318979213683,0.007995932439061701
plain_mul_l2,2,boundaries,2304,0.0019429442820398418,0.005859371310130148,0.003906282247044763,-0.00010858517554071214,0.015625,0.010416665838824444
amlib_oam_l2_fp32_common,2,boundaries,2304,0.0019429578991932972,0.005859373518682292,0.003906307276338807,-0.0001086403564032581,0.01562511920928955,0.010416704333492687
plain_mul_l2,2,signed_exponents,2000,0.0018672179847073391,3046436.9326760126,234037.33502959882,-5536.44544187923,0.0112697917633144,0.0079205412100174
amlib_oam_l2_fp32_common,2,signed_exponents,2000,0.0018672155102821995,3046427.8254597704,234036.8439662093,-5536.974247403165,0.011269907214758521,0.007920619349829107
plain_mul_l3,3,uniform_100k,100000,0.0004711209049548212,0.0013046027914936946,0.0009784841698647208,3.695126525680621e-06,0.0037380844323969633,0.001989586070655386
amlib_oam_l3_fp32_common,3,uniform_100k,100000,0.00047112082538890143,0.0013046024365439093,0.0009784838751009614,3.64315663985451e-06,0.003738143884731624,0.0019895005475913967
plain_mul_l3,3,boundaries,2304,0.00048476868173019823,0.0019531282108112965,0.0009766255453660141,-0.0001085885903901524,0.00390625,0.0031249997019768046
amlib_oam_l3_fp32_common,3,boundaries,2304,0.00048479537880653404,0.0019531317328158266,0.0009766759661352777,-0.00010865352426966031,0.003906369209289551,0.00312509506939935
plain_mul_l3,3,signed_exponents,2000,0.0004885030950116004,744513.7201577878,61046.14763366126,-31313.514638931483,0.0028347470888685626,0.0018806235087967856
amlib_oam_l3_fp32_common,3,signed_exponents,2000,0.0004885040624007285,744538.0844269033,61048.051516508705,-31312.501100359797,0.002834841740949098,0.0018806235087967856
