design,cases,rmse,mred,mae,max_relative,max_csv_delta
pace_z_l1_d0,100000,0.04522244277842796,0.02618161716454453,0.028310514456824268,0.12454696633194894,3.191891195797325e-16
pace_z_l1_d4,100000,0.04522258230125393,0.026181538323175914,0.02831052253839765,0.12454588985849302,4.2674197509029455e-16
pace_z_l1_d8,100000,0.045225049838762375,0.026180410233059455,0.02831083646413348,0.12453871336878694,1.5265566588595902e-16
pace_z_l1_d12,100000,0.04526489030013506,0.026164298388876274,0.02831762018361512,0.12435499523231107,3.7470027081099033e-16
pace_z_l1_d14,100000,0.04539881881430542,0.026130242808973723,0.028356100666225945,0.12435499523231107,9.71445146547012e-17
pace_z_l1_d15,100000,0.045581995208419025,0.026111137127730034,0.028432158663963064,0.12485334143650734,1.0755285551056204e-16
pace_z_l1_d16,100000,0.0459887132444709,0.026156121592787313,0.028665667953475648,0.12613952862469474,1.700029006457271e-16
pace_z_l1_d17,100000,0.04691331612274696,0.02651409140525975,0.02938399629955114,0.1277933638057016,3.7816971776294395e-16
pace_z_l1_d18,100000,0.04923218158502623,0.028007703509320244,0.03154714116238162,0.13367340854409013,2.914335439641036e-16
pace_z_l2_d0,100000,0.02234211700567366,0.014989982089724015,0.015214371355194746,0.09255372676116021,9.194034422677078e-17
pace_z_l2_d4,100000,0.022342165428562412,0.014989849728970672,0.015214325192788074,0.09255289395411972,2.3071822230491534e-16
pace_z_l2_d8,100000,0.02234315782550729,0.014987823113786557,0.015213754197680665,0.09253623781331005,1.97758476261356e-16
pace_z_l2_d12,100000,0.022360012344385435,0.014958353022758051,0.015207524780607743,0.09242963851212815,1.1449174941446927e-16
pace_z_l2_d14,100000,0.022425084143702173,0.014886967994946064,0.015209902858250584,0.09218173442687276,2.237793284010081e-16
pace_z_l2_d15,100000,0.02253051555639807,0.014832818706127264,0.01525239518445343,0.09218173442687276,1.491862189340054e-16
pace_z_l2_d16,100000,0.022823937550544106,0.014846306434811208,0.01545918462610157,0.09157684410267294,1.2836953722228372e-16
