top,level,kind,mode,dataset,cases,mred,rmse,sampled_max_relative,source,validation
oadm_fixed_l0_divmul_root_opt,0,control,DIV,arithmetic_sharing/uniform_100k,100000,0.04272834727615855,0.0565599010301334,0.30931572677865665,experiments/arithmetic_sharing/accuracy.csv,same input file; full-output bitwise equivalence to unchanged control
oadm_fixed_l0_divmul_root_opt,0,control,MUL,arithmetic_sharing/uniform_100k,100000,0.03136088231356413,0.08360446919149526,0.2463623783605716,experiments/arithmetic_sharing/accuracy.csv,same input file; full-output bitwise equivalence to unchanged control
oadm_fixed_l1_divmul_root_opt,1,control,DIV,arithmetic_sharing/uniform_100k,100000,0.010813661873455687,0.01618806143998146,0.08988794411201431,experiments/arithmetic_sharing/accuracy.csv,same input file; full-output bitwise equivalence to unchanged control
oadm_fixed_l1_divmul_root_opt,1,control,MUL,arithmetic_sharing/uniform_100k,100000,0.007615440660973365,0.020845195954126733,0.06285416486385222,experiments/arithmetic_sharing/accuracy.csv,same input file; full-output bitwise equivalence to unchanged control
oadm_fixed_l2_divmul_root_opt,2,control,DIV,arithmetic_sharing/uniform_100k,100000,0.0036546136559888823,0.005321253557555896,0.02824111449041544,experiments/arithmetic_sharing/accuracy.csv,same input file; full-output bitwise equivalence to unchanged control
oadm_fixed_l2_divmul_root_opt,2,control,MUL,arithmetic_sharing/uniform_100k,100000,0.0018928336165583571,0.005226735216234865,0.015094726936386022,experiments/arithmetic_sharing/accuracy.csv,same input file; full-output bitwise equivalence to unchanged control
oadm_fixed_l3_divmul_root_opt,3,control,DIV,arithmetic_sharing/uniform_100k,100000,0.0027914027156542,0.003465010391812141,0.016452543384332892,experiments/arithmetic_sharing/accuracy.csv,same input file; full-output bitwise equivalence to unchanged control
oadm_fixed_l3_divmul_root_opt,3,control,MUL,arithmetic_sharing/uniform_100k,100000,0.00047278489474495615,0.0013061734213219293,0.00368166496535982,experiments/arithmetic_sharing/accuracy.csv,same input file; full-output bitwise equivalence to unchanged control
oadm_fixed_l0_divmul_root_opt_binary,0,binary,DIV,arithmetic_sharing/uniform_100k,100000,0.04272834727615855,0.0565599010301334,0.30931572677865665,experiments/arithmetic_sharing/accuracy.csv,same input file; full-output bitwise equivalence to unchanged control
oadm_fixed_l0_divmul_root_opt_binary,0,binary,MUL,arithmetic_sharing/uniform_100k,100000,0.03136088231356413,0.08360446919149526,0.2463623783605716,experiments/arithmetic_sharing/accuracy.csv,same input file; full-output bitwise equivalence to unchanged control
