level,kind,top,area_um2,delay_ns,slack_ns,power_mw,dc_report,pt_dir,adp_um2_ns,rtl_vectors,gate_vectors,accuracy,status,area_um2_change_pct,delay_ns_change_pct,power_mw_change_pct,adp_um2_ns_change_pct
0,binary,oadm_fixed_l0_divmul_root_opt_binary,1080.720007,2.60674,7.37326,0.0453164,experiments/reciprocal_shiftadd/dc/oadm_fixed_l0_divmul_root_opt_binary/oadm_fixed_l0_divmul_root_opt_binary.dc.rpt,experiments/reciprocal_shiftadd/pt/oadm_fixed_l0_divmul_root_opt_binary,2817.1560710471795,208608,10608,bit-identical to control on all tested vectors,pass,12.814731092615705,4.509134937276227,18.567552505370234,17.90169954670704
0,control,oadm_fixed_l0_divmul_root_opt,957.960008,2.49427,7.48572,0.0382199,experiments/reciprocal_shiftadd/dc/oadm_fixed_l0_divmul_root_opt/oadm_fixed_l0_divmul_root_opt.dc.rpt,experiments/reciprocal_shiftadd/pt/oadm_fixed_l0_divmul_root_opt,2389.4109091541604,208608,10608,bit-identical to control on all tested vectors,pass,0.0,0.0,0.0,0.0
0,csd,oadm_fixed_l0_divmul_root_opt_csd,961.200007,2.54576,7.43424,0.0380039,experiments/reciprocal_shiftadd/dc/oadm_fixed_l0_divmul_root_opt_csd/oadm_fixed_l0_divmul_root_opt_csd.dc.rpt,experiments/reciprocal_shiftadd/pt/oadm_fixed_l0_divmul_root_opt_csd,2446.98452982032,208608,10608,bit-identical to control on all tested vectors,pass,0.3382186075558957,2.0643314476780805,-0.5651506152554053,2.4095320083116434
1,binary,oadm_fixed_l1_divmul_root_opt_binary,1729.800009,2.85991,7.12009,0.0742984,experiments/reciprocal_shiftadd/dc/oadm_fixed_l1_divmul_root_opt_binary/oadm_fixed_l1_divmul_root_opt_binary.dc.rpt,experiments/reciprocal_shiftadd/pt/oadm_fixed_l1_divmul_root_opt_binary,4947.072343739191,208608,10608,bit-identical to control on all tested vectors,pass,1.952047698026571,-1.1680507030766618,1.427108787353415,0.7611960880887114
1,control,oadm_fixed_l1_divmul_root_opt,1696.680006,2.89371,7.08629,0.073253,experiments/reciprocal_shiftadd/dc/oadm_fixed_l1_divmul_root_opt/oadm_fixed_l1_divmul_root_opt.dc.rpt,experiments/reciprocal_shiftadd/pt/oadm_fixed_l1_divmul_root_opt,4909.69990016226,208608,10608,bit-identical to control on all tested vectors,pass,0.0,0.0,0.0,0.0
1,csd,oadm_fixed_l1_divmul_root_opt_csd,1841.040009,2.99354,6.98646,0.0801083,experiments/reciprocal_shiftadd/dc/oadm_fixed_l1_divmul_root_opt_csd/oadm_fixed_l1_divmul_root_opt_csd.dc.rpt,experiments/reciprocal_shiftadd/pt/oadm_fixed_l1_divmul_root_opt_csd,5511.22690854186,208608,10608,bit-identical to control on all tested vectors,pass,8.508381220353689,3.449896499649241,9.35838805236644,12.251808065900738
2,binary,oadm_fixed_l2_divmul_root_opt_binary,2153.880012,3.32111,6.65889,0.09336240000000001,experiments/reciprocal_shiftadd/dc/oadm_fixed_l2_divmul_root_opt_binary/oadm_fixed_l2_divmul_root_opt_binary.dc.rpt,experiments/reciprocal_shiftadd/pt/oadm_fixed_l2_divmul_root_opt_binary,7153.27244665332,208608,10608,bit-identical to control on all tested vectors,pass,2.23855100707,0.2926237082580885,2.4004703105497516,2.5377252462962074
2,control,oadm_fixed_l2_divmul_root_opt,2106.72001,3.31142,6.66857,0.0911738,experiments/reciprocal_shiftadd/dc/oadm_fixed_l2_divmul_root_opt/oadm_fixed_l2_divmul_root_opt.dc.rpt,experiments/reciprocal_shiftadd/pt/oadm_fixed_l2_divmul_root_opt,6976.2347755142,208608,10608,bit-identical to control on all tested vectors,pass,0.0,0.0,0.0,0.0
2,csd,oadm_fixed_l2_divmul_root_opt_csd,2618.280013,3.44559,6.53441,0.107577,experiments/reciprocal_shiftadd/dc/oadm_fixed_l2_divmul_root_opt_csd/oadm_fixed_l2_divmul_root_opt_csd.dc.rpt,experiments/reciprocal_shiftadd/pt/oadm_fixed_l2_divmul_root_opt_csd,9021.51942999267,208608,10608,bit-identical to control on all tested vectors,pass,24.282296677858017,4.0517361132082375,17.991133417714302,29.317887374679373
3,binary,oadm_fixed_l3_divmul_root_opt_binary,2730.960015,3.57535,6.40465,0.113975,experiments/reciprocal_shiftadd/dc/oadm_fixed_l3_divmul_root_opt_binary/oadm_fixed_l3_divmul_root_opt_binary.dc.rpt,experiments/reciprocal_shiftadd/pt/oadm_fixed_l3_divmul_root_opt_binary,9764.13788963025,208608,10608,bit-identical to control on all tested vectors,pass,2.527368780035477,-2.98268512212132,2.0431002838136703,-0.5306997946690983
3,control,oadm_fixed_l3_divmul_root_opt,2663.640009,3.68527,6.29473,0.111693,experiments/reciprocal_shiftadd/dc/oadm_fixed_l3_divmul_root_opt/oadm_fixed_l3_divmul_root_opt.dc.rpt,experiments/reciprocal_shiftadd/pt/oadm_fixed_l3_divmul_root_opt,9816.23261596743,208608,10608,bit-identical to control on all tested vectors,pass,0.0,0.0,0.0,0.0
3,csd,oadm_fixed_l3_divmul_root_opt_csd,3515.040019,3.72841,6.25159,0.134826,experiments/reciprocal_shiftadd/dc/oadm_fixed_l3_divmul_root_opt_csd/oadm_fixed_l3_divmul_root_opt_csd.dc.rpt,experiments/reciprocal_shiftadd/pt/oadm_fixed_l3_divmul_root_opt_csd,13105.51035723979,208608,10608,bit-identical to control on all tested vectors,pass,31.963779156464824,1.1706062242386572,20.711235260938476,33.50855536901096
