design,level,mode,case_analyzed_delay_ns,case_analyzed_power_uw
oadm_runtime_opt,0,MUL,3.16528,196.84300000000002
oadm_runtime_opt,0,DIV,4.05474,202.732
oadm_runtime_opt,1,MUL,3.5143,232.01600000000002
oadm_runtime_opt,1,DIV,4.36374,236.38199999999998
oadm_runtime_opt,2,MUL,3.7143,255.312
oadm_runtime_opt,2,DIV,4.62869,260.112
oadm_runtime_opt,3,MUL,3.79842,285.725
oadm_runtime_opt,3,DIV,4.72385,290.419
oadm_runtime_correction_common,0,MUL,2.83088,299.899
oadm_runtime_correction_common,0,DIV,3.83682,316.986
oadm_runtime_correction_common,1,MUL,3.26932,335.42
oadm_runtime_correction_common,1,DIV,4.17683,357.44800000000004
oadm_runtime_correction_common,2,MUL,3.29009,346.053
oadm_runtime_correction_common,2,DIV,4.26524,365.78499999999997
oadm_runtime_correction_common,3,MUL,3.30292,371.371
oadm_runtime_correction_common,3,DIV,4.28555,389.851
oadm_runtime_correction_tapped,0,MUL,2.75897,395.761
oadm_runtime_correction_tapped,0,DIV,3.75392,417.51
oadm_runtime_correction_tapped,1,MUL,3.27264,417.613
oadm_runtime_correction_tapped,1,DIV,4.18086,442.47200000000004
oadm_runtime_correction_tapped,2,MUL,3.31139,413.971
oadm_runtime_correction_tapped,2,DIV,4.25014,435.42199999999997
oadm_runtime_correction_tapped,3,MUL,3.42553,433.051
oadm_runtime_correction_tapped,3,DIV,4.4088,451.93
