top,dataset,count,mae,mred,rmse,max_relative,p99_relative
stdm_tune_00,random_200k,200000,0.004796667012809207,0.004534240033848713,0.006485953566426254,0.035739547376864904,0.016232399132885572
stdm_tune_00,grid_low,65536,0.004673419374400997,0.004404188343138591,0.006355725942891653,0.032516891891891934,0.016004665310516402
stdm_tune_00,grid_high,65536,0.0047651947151656875,0.004512713631039239,0.00642461483608609,0.03318808055664423,0.016018240039779606
stdm_tune_00,signed,2000,227389.78667415472,0.0045220595888030195,2974766.235953166,0.02524381408454433,0.01606657881519119
stdm_tune_00,cell_boundaries,2304,0.006322555944300073,0.005825745888246174,0.008819498972221746,0.02965656377456703,0.02044647137576848
stdm_tune_00,diagonal,8414,0.0027616776053118316,0.0027616776053118316,0.00311611445320938,0.00439453125,0.00439453125
stdm_tune_00,independent_200k,200000,0.004801133314710549,0.004529140030184109,0.006497967979571667,0.03479131720296139,0.016285866124265035
stdm_tune_01,random_200k,200000,0.00527394194499037,0.005132082153473428,0.006813861603037727,0.02740793978551541,0.016723819868408586
stdm_tune_01,grid_low,65536,0.005192082767988126,0.005009134875778566,0.006765145491719353,0.02444066147859924,0.01630292736858481
stdm_tune_01,grid_high,65536,0.0052019724486254216,0.00511035735841702,0.006666216345364197,0.024800134420780388,0.01677338689540805
stdm_tune_01,signed,2000,234897.216082031,0.005087423235204931,2883746.749198943,0.021071028054533036,0.01694483505858975
stdm_tune_01,cell_boundaries,2304,0.006715835567662288,0.0062916237511851875,0.00902259872066596,0.026692605197970575,0.021783338697844427
stdm_tune_01,diagonal,8414,0.0035254730304403376,0.0035254730304403376,0.004654245649435584,0.009765625,0.009765625
stdm_tune_01,independent_200k,200000,0.005280274792362113,0.005131987728690556,0.00682587776458675,0.026185191796026165,0.016820452947127324
stdm_tune_02,random_200k,200000,0.0035777509999450306,0.0033505856601561065,0.0049482711604797065,0.02911428868703509,0.013344985766293043
stdm_tune_02,grid_low,65536,0.003425214025111974,0.00320356845207996,0.004799549928664421,0.026482370576969897,0.013113157541159864
stdm_tune_02,grid_high,65536,0.0035071328813994595,0.00327759366020076,0.004820998785262519,0.027206162324635637,0.01303808790269833
