reference,candidate,reference_mred,candidate_mred,reference_rmse,candidate_rmse,reference_adp,candidate_adp,adp_change_pct
fpd2d_2x4_t19,stdm_tune_10,0.019121808158592875,0.010773303287989111,0.0249542633369333,0.016165459704662467,684.12424896736,3055.91206411017,346.68962819588194
fpd2d_2x8_t18,stdm_tune_11,0.011680380112981283,0.009662028457513025,0.015314474283182033,0.012686162123985286,930.03546493044,3158.60035320119,239.62149534130194
fpd2d_2x8_t17,stdm_tune_00_midpoint,0.009506224803929245,0.004534240033848713,0.012454610952216807,0.006485953566426254,1113.4328159284198,3373.25161691528,202.9596010337223
fpd2d_4x8_t17,stdm_tune_00_midpoint,0.006412872811402948,0.004534240033848713,0.008102120943011762,0.006485953566426254,1319.35496253327,3373.25161691528,155.67430393700565
fpd2d_8x8_t17,stdm_tune_00_midpoint,0.007916005255796204,0.004534240033848713,0.0187728900888219,0.006485953566426254,1470.83283969344,3373.25161691528,129.3429631077828
fpd2d_8x8_t16,stdm_tune_00_midpoint,0.006863545896051112,0.004534240033848713,0.018114864566805375,0.006485953566426254,1710.06584618064,3373.25161691528,97.25858068268514
fpd2d_8x8_t15,stdm_tune_00_midpoint,0.006557753313098986,0.004534240033848713,0.017935563981196664,0.006485953566426254,1869.8911028911302,3373.25161691528,80.39829226951936
oadm_fixed_l0_div_specialized,stdm_tune_06,0.04265015139877548,0.04265015139877548,0.056459673068841754,0.056459673068841754,908.7122950312,908.7122950312,0.0
oadm_fixed_l1_div_specialized,stdm_tune_10,0.010773303287989111,0.010773303287989111,0.016165459704662467,0.016165459704662467,3055.91206411017,3055.91206411017,0.0
oadm_fixed_l2_div_specialized,stdm_tune_02_narrow,0.0036477691906840848,0.0033505856601561065,0.00531504337898066,0.0049482711604797065,4062.2274479531898,4023.7742327168703,-0.9466041901640576
oadm_fixed_l3_div_specialized,stdm_tune_13_narrow,0.002794255451214877,0.002284222331948105,0.003481541880022741,0.003044234072627718,5748.581240207451,5119.893469403521,-10.936398817967174
fpd2d_8x8_t17_milp,stdm_tune_00_midpoint,0.005282125493849375,0.004534240033848713,0.006828300456487967,0.006485953566426254,1480.36314859805,3373.25161691528,127.86649479283878
fpd2d_8x8_t16_milp,stdm_tune_02_narrow,0.004095821204582157,0.0033505856601561065,0.00513437206916195,0.0049482711604797065,1706.1473343011899,4023.7742327168703,135.83978662457906
fpd2d_8x8_t15_milp,stdm_tune_04_midpoint,0.0037354125780856974,0.0030331292000319553,0.004636033865589977,0.004577021675752589,1920.43627486104,4094.9466673921,113.23002075080075
