level,dx,dy,w,b,input_bits,objective,coefficients,mae,mred,rmse,max_relative,p99_relative,cost_proxy,equivalent_dx,equivalent_dy,equivalence_mismatches
2,16,17,17,8,3,mse,200 135 97 73,0.030862584696099624,0.02970989610035142,0.03945410900364794,0.10546919319109245,0.08745310022072939,118,20,20,0
2,16,17,17,8,4,mse,202 136 97 73,0.01595208253987196,0.015423334573005088,0.02035728177000625,0.06686483877749713,0.04653779121318029,118,19,19,0
2,16,17,17,8,4,mred,202 136 98 73,0.015991135356491205,0.015416572796660661,0.020450523597520826,0.06686483877749713,0.04552382687050556,118,19,19,0
2,16,17,17,8,5,mse,203 136 97 73,0.008683742467298465,0.008467723968395471,0.011168869885415513,0.04499501640368427,0.027510290031263648,118,18,18,0
2,16,17,17,8,6,mse,204 136 97 73,0.005782705563469243,0.005602469105035978,0.007586595991800184,0.027983912098075846,0.019106905188025183,118,17,17,0
2,16,17,17,8,6,mred,203 136 97 73,0.0057170770278117695,0.00559121444750589,0.007588790047804738,0.03274869684269312,0.020739305126432427,118,17,17,0
2,16,17,17,8,7,mse,203 136 97 73,0.004719629135813033,0.004478299047840392,0.0063916062194946935,0.03074043988516901,0.01604660376869762,118,16,17,0
2,16,17,17,8,8,mse,203 136 97 73,0.004719629135813033,0.004478299047840392,0.0063916062194946935,0.03074043988516901,0.01604660376869762,118,16,17,0
2,16,17,17,8,9,mse,203 136 97 73,0.004719629135813033,0.004478299047840392,0.0063916062194946935,0.03074043988516901,0.01604660376869762,118,16,17,0
2,16,17,17,8,10,mse,203 136 97 73,0.004719629135813033,0.004478299047840392,0.0063916062194946935,0.03074043988516901,0.01604660376869762,118,16,17,0
3,16,17,17,7,4,mse,113 91 74 62 53 45 39 34,0.015993850520516172,0.015452074641313342,0.020426547065125825,0.058005069245251575,0.0459420526836331,98,19,19,0
3,16,17,17,7,5,mse,113 91 74 62 53 45 39 34,0.008894828985405294,0.008712331979153814,0.01134580404410817,0.03639398328766501,0.027944293272716365,98,18,18,0
3,16,17,17,7,5,mred,113 91 75 62 53 45 39 34,0.008899102875738687,0.008671257856564956,0.011350356380591469,0.036370064533846,0.026432383615056954,98,18,18,0
3,16,17,17,7,6,mse,114 91 75 62 53 45 39 34,0.005669578359074017,0.005590124273355632,0.007161318298504883,0.022089844266839544,0.017152765163397848,98,17,17,0
3,16,17,17,7,7,mse,113 91 74 62 52 45 39 34,0.005267674547849681,0.005124498351881175,0.006822651638101454,0.02384399117009479,0.016540969901861404,98,16,17,0
3,16,17,17,7,7,mred,114 91 74 62 53 45 39 34,0.005282172275668831,0.005049914677355416,0.006970657792958299,0.02384399117009479,0.01621428598885555,98,16,17,0
3,16,17,17,7,8,mse,113 91 74 62 52 45 39 34,0.005267674547849681,0.005124498351881175,0.006822651638101454,0.02384399117009479,0.016540969901861404,98,16,17,0
3,16,17,17,7,8,mred,114 91 74 62 53 45 39 34,0.005282172275668831,0.005049914677355416,0.006970657792958299,0.02384399117009479,0.01621428598885555,98,16,17,0
