top,level,dx,dy,w,b,input_bits,style,narrow,coefficients,area_um2,delay_ns,slack_ns,power_mw,dc_report,pt_dir,adp_um2_ns,mae,mred,rmse,max_relative,p99_relative,rtl_cases,gate_cases,status
stdm_tune_00,2,16,17,17,8,23,direct,False,203 136 97 73,1355.760008,2.6359,7.3441,0.0647678,experiments/stdm_fpd2d_tuning/dc/stdm_tune_00/stdm_tune_00.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_00,3573.6478050871997,0.004796667012809207,0.004534240033848713,0.006485953566426254,0.035739547376864904,0.016232399132885572,343790,21043,verified
stdm_tune_01,3,16,17,17,7,23,direct,False,113 91 74 62 52 45 39 34,1578.240004,2.90653,7.07347,0.0745344,experiments/stdm_fpd2d_tuning/dc/stdm_tune_01/stdm_tune_01.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_01,4587.20191882612,0.00527394194499037,0.005132082153473428,0.006813861603037727,0.02740793978551541,0.016723819868408586,343790,21043,verified
stdm_tune_02,2,15,16,16,8,23,direct,False,203 136 97 73,1518.480008,2.80279,7.17721,0.0766724,experiments/stdm_fpd2d_tuning/dc/stdm_tune_02/stdm_tune_02.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_02,4255.98058162232,0.0035777509999450306,0.0033505856601561065,0.0049482711604797065,0.02911428868703509,0.013344985766293043,343790,21043,verified
stdm_tune_03,3,16,16,17,8,23,direct,False,228 182 149 124 105 90 78 68,1779.840006,2.95683,7.02317,0.0781363,experiments/stdm_fpd2d_tuning/dc/stdm_tune_03/stdm_tune_03.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_03,5262.684324940979,0.0037542953718273987,0.003861101635404228,0.004621498907906563,0.020672520609501106,0.012156345474194022,343790,21043,verified
stdm_tune_04,2,15,15,15,8,23,direct,False,203 136 97 73,1622.160007,2.8146,7.1654,0.084002,experiments/stdm_fpd2d_tuning/dc/stdm_tune_04/stdm_tune_04.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_04,4565.7315557022,0.003232568502677899,0.0030331292000319553,0.004577021675752589,0.02678587795561353,0.013289712489968152,343790,21043,verified
stdm_tune_05,3,15,16,17,8,23,direct,False,228 182 149 124 105 90 78 68,1817.280006,3.03554,6.94446,0.0798588,experiments/stdm_fpd2d_tuning/dc/stdm_tune_05/stdm_tune_05.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_05,5516.42614941324,0.003143305955365865,0.0031394912333956443,0.004003524049677696,0.0162204313196531,0.009941943107159254,343790,21043,verified
stdm_tune_06,0,18,18,18,7,23,direct,False,59,516.960004,1.7578,8.2222,0.024627200000000002,experiments/stdm_fpd2d_tuning/dc/stdm_tune_06/stdm_tune_06.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_06,908.7122950312,0.04225530269301196,0.04265015139877548,0.056459673068841754,0.31238485450405257,0.2090140699571533,343790,21043,verified
stdm_tune_07,1,20,20,20,5,23,direct,False,21 11,642.600003,2.083,7.897,0.0257814,experiments/stdm_fpd2d_tuning/dc/stdm_tune_07/stdm_tune_07.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_07,1338.5358062490002,0.037986407484511216,0.03720187808825444,0.04815295289786568,0.19524916070161463,0.11730012868788083,343790,21043,verified
stdm_tune_08,2,20,20,20,5,23,direct,False,26 17 12 9,709.200005,2.05576,7.92424,0.027396999999999998,experiments/stdm_fpd2d_tuning/dc/stdm_tune_08/stdm_tune_08.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_08,1457.9450022787998,0.03895970395826141,0.03869511715582349,0.04836769694386338,0.15460118672980264,0.11600856398058589,343790,21043,verified
stdm_tune_09,3,19,19,21,5,23,direct,False,30 24 20 16 14 12 10 9,737.280007,2.11429,7.86571,0.0288846,experiments/stdm_fpd2d_tuning/dc/stdm_tune_09/stdm_tune_09.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_09,1558.8237460000298,0.039283683337305336,0.038155840193033426,0.049910145070311315,0.1641519035501116,0.12127764358791204,343790,21043,verified
