level,dx,dy,w,b,input_bits,objective,coefficients,mae,mred,rmse,max_relative,p99_relative,cost_proxy
0,14,14,14,5,23,mse,15,0.047757928687806595,0.04859976251155235,0.05681079545554198,0.26671664587331706,0.19700261116153014,163
0,14,14,14,6,23,mse,30,0.047757928687806595,0.04859976251155235,0.05681079545554198,0.26671664587331706,0.19700261116153014,174
0,14,14,14,6,23,mred,29,0.040196562608763475,0.04027678822917825,0.05950152191828356,0.2911594243442065,0.22376919078947913,174
0,14,14,14,7,23,mse,59,0.04207117822739121,0.042664957033587525,0.05525834450638656,0.2789380351087618,0.21038590097550466,185
0,14,14,14,7,23,mred,58,0.040196562608763475,0.04027678822917825,0.05950152191828356,0.2911594243442065,0.22376919078947913,185
0,14,14,14,8,23,mse,118,0.04207117822739121,0.042664957033587525,0.05525834450638656,0.2789380351087618,0.21038590097550466,196
0,14,14,14,8,23,mred,116,0.040196562608763475,0.04027678822917825,0.05950152191828356,0.2911594243442065,0.22376919078947913,196
0,14,14,14,9,23,mse,237,0.043185081442635775,0.04386826417617573,0.05509099807286925,0.2758826877999006,0.20704007852201103,207
0,14,14,14,9,23,mred,232,0.040196562608763475,0.04027678822917825,0.05950152191828356,0.2911594243442065,0.22376919078947913,207
0,14,14,14,10,23,mse,474,0.043185081442635775,0.04386826417617573,0.05509099807286925,0.2758826877999006,0.20704007852201103,218
0,14,14,14,10,23,mred,464,0.040196562608763475,0.04027678822917825,0.05950152191828356,0.2911594243442065,0.22376919078947913,218
0,14,14,14,11,23,mse,948,0.043185081442635775,0.04386826417617573,0.05509099807286925,0.2758826877999006,0.20704007852201103,229
0,14,14,14,11,23,mred,927,0.04022441531285026,0.04026778988811873,0.05994005464326333,0.2919232611714218,0.22460564640285255,229
0,14,14,16,5,23,mse,15,0.04721510305669563,0.04808486622887294,0.05648731845583657,0.2685095147098126,0.19870448026390902,153
0,14,14,16,6,23,mse,30,0.04721510305669563,0.04808486622887294,0.05648731845583657,0.2685095147098126,0.19870448026390902,162
0,14,14,16,6,23,mred,29,0.04023195010421702,0.040335798243187226,0.05997743467499423,0.2928925308861522,0.2254143309217787,162
0,14,14,16,7,23,mse,59,0.041796075818452905,0.04241234524325177,0.05535689972697091,0.2807010227979824,0.21205940559284386,171
0,14,14,16,7,23,mred,58,0.04023195010421702,0.040335798243187226,0.05997743467499423,0.2928925308861522,0.2254143309217787,171
0,14,14,16,8,23,mse,119,0.04408480341565049,0.044869745618948326,0.05518319134153483,0.2746052687538975,0.20538194292837642,180
0,14,14,16,8,23,mred,116,0.04023195010421702,0.040335798243187226,0.05997743467499423,0.2928925308861522,0.2254143309217787,180
0,14,14,16,9,23,mse,237,0.04282978092334525,0.04353742246461603,0.05508340214578401,0.27765314577593997,0.20872067426061014,189
0,14,14,16,9,23,mred,232,0.04023195010421702,0.040335798243187226,0.05997743467499423,0.2928925308861522,0.2254143309217787,189
0,14,14,16,10,23,mse,474,0.04282978092334525,0.04353742246461603,0.05508340214578401,0.27765314577593997,0.20872067426061014,198
0,14,14,16,10,23,mred,464,0.04023195010421702,0.040335798243187226,0.05997743467499423,0.2928925308861522,0.2254143309217787,198
0,14,14,16,11,23,mse,949,0.04312487039890267,0.04385255237929522,0.05507330335268548,0.2768911765204294,0.2078859914275517,207
0,14,14,16,11,23,mred,928,0.04023195010421702,0.040335798243187226,0.05997743467499423,0.2928925308861522,0.2254143309217787,207
0,14,14,18,5,23,mse,15,0.04523288823288901,0.04626813034266229,0.055604243003387004,0.2828524654017771,0.2078533886949412,143
0,14,14,18,6,23,mse,30,0.04523288823288901,0.04626813034266229,0.055604243003387004,0.2828524654017771,0.2078533886949412,150
0,14,14,18,6,23,mred,29,0.04090660534066204,0.0411450016874912,0.062277225039785195,0.30675738322171786,0.23425827573844318,150
0,14,14,18,7,23,mse,60,0.04523288823288901,0.04626813034266229,0.055604243003387004,0.2828524654017771,0.2078533886949412,157
0,14,14,18,7,23,mred,58,0.04090660534066204,0.0411450016874912,0.062277225039785195,0.30675738322171786,0.23425827573844318,157
0,14,14,18,8,23,mse,119,0.04263611797270982,0.04356197065679766,0.05516948570136267,0.28882869485676227,0.21445461045581668,164
0,14,14,18,8,23,mred,117,0.04035899795719965,0.04086370251085724,0.05862578453113465,0.30078115376673265,0.22765705397756766,164
0,14,14,18,9,23,mse,238,0.04263611797270982,0.04356197065679766,0.05516948570136267,0.28882869485676227,0.21445461045581668,171
0,14,14,18,9,23,mred,233,0.04045728336220896,0.04083337578346609,0.06031016864660726,0.30376926849422525,0.2309576648580054,171
