tag,top,area_um2,pt_delay_ns,pt_power_mw,adp_um2_ns,dc_report,pt_report_dir,flow_note
exact/mul,exact_fp32_mul_nopipe,4266.720009,3.88068,0.1952780,16557.775005,dc/canonical_refresh/outputs_10ns/exact/mul/exact_fp32_mul_nopipe.dc.rpt,pt_dc/canonical_refresh/reports_10ns/exact/mul,TSMC65 typical CCS; 10 ns virtual clock; no pipeline; zero uncertainty; 20 ps I/O delay; INVD0 input driver; 0.004 output load; input-only max capacitance/fanout; explicit flatten; set_max_area 0; optimize_netlist -area; PT vectorless probability 0.5 and 0.1 toggles per 10 ns
exact/div,exact_fp32_div_nopipe,15016.319918,9.95451,1.2949500,149480.106787,dc/canonical_refresh/outputs_10ns/exact/div/exact_fp32_div_nopipe.dc.rpt,pt_dc/canonical_refresh/reports_10ns/exact/div,TSMC65 typical CCS; 10 ns virtual clock; no pipeline; zero uncertainty; 20 ps I/O delay; INVD0 input driver; 0.004 output load; input-only max capacitance/fanout; explicit flatten; set_max_area 0; optimize_netlist -area; PT vectorless probability 0.5 and 0.1 toggles per 10 ns
exact/divmul,exact_fp32_divmul_nopipe,20558.159890,9.93421,1.6563300,204229.077561,dc/canonical_refresh/outputs_10ns/exact/divmul/exact_fp32_divmul_nopipe.dc.rpt,pt_dc/canonical_refresh/reports_10ns/exact/divmul,TSMC65 typical CCS; 10 ns virtual clock; no pipeline; zero uncertainty; 20 ps I/O delay; INVD0 input driver; 0.004 output load; input-only max capacitance/fanout; explicit flatten; set_max_area 0; optimize_netlist -area; PT vectorless probability 0.5 and 0.1 toggles per 10 ns
simdive/simdive_original_fp32_wrapper,simdive_original_fp32_wrapper,2217.240035,5.09242,0.0683891,11291.117499,dc/canonical_refresh/outputs_10ns/simdive/simdive_original_fp32_wrapper/simdive_original_fp32_wrapper.dc.rpt,pt_dc/canonical_refresh/reports_10ns/simdive/simdive_original_fp32_wrapper,TSMC65 typical CCS; 10 ns virtual clock; no pipeline; zero uncertainty; 20 ps I/O delay; INVD0 input driver; 0.004 output load; input-only max capacitance/fanout; explicit flatten; set_max_area 0; optimize_netlist -area; PT vectorless probability 0.5 and 0.1 toggles per 10 ns
sharing/L0_centered_residual/full,oadm_fixed_l0_opt,1733.760005,3.76089,0.0846039,6520.480665,dc/canonical_refresh/outputs_10ns/sharing/L0_centered_residual/full/oadm_fixed_l0_opt.dc.rpt,pt_dc/canonical_refresh/reports_10ns/sharing/L0_centered_residual/full,TSMC65 typical CCS; 10 ns virtual clock; no pipeline; zero uncertainty; 20 ps I/O delay; INVD0 input driver; 0.004 output load; input-only max capacitance/fanout; explicit flatten; set_max_area 0; optimize_netlist -area; PT vectorless probability 0.5 and 0.1 toggles per 10 ns
sharing/L0_centered_residual/div,oadm_fixed_l0_div_opt,1227.600010,3.26666,0.0703396,4010.151849,dc/canonical_refresh/outputs_10ns/sharing/L0_centered_residual/div/oadm_fixed_l0_div_opt.dc.rpt,pt_dc/canonical_refresh/reports_10ns/sharing/L0_centered_residual/div,TSMC65 typical CCS; 10 ns virtual clock; no pipeline; zero uncertainty; 20 ps I/O delay; INVD0 input driver; 0.004 output load; input-only max capacitance/fanout; explicit flatten; set_max_area 0; optimize_netlist -area; PT vectorless probability 0.5 and 0.1 toggles per 10 ns
sharing/L0_centered_residual/mul,oadm_fixed_l0_mul_canonical,837.720005,2.36460,0.0363830,1980.872724,dc/canonical_refresh/outputs_10ns/sharing/L0_centered_residual/mul/oadm_fixed_l0_mul_canonical.dc.rpt,pt_dc/canonical_refresh/reports_10ns/sharing/L0_centered_residual/mul,TSMC65 typical CCS; 10 ns virtual clock; no pipeline; zero uncertainty; 20 ps I/O delay; INVD0 input driver; 0.004 output load; input-only max capacitance/fanout; explicit flatten; set_max_area 0; optimize_netlist -area; PT vectorless probability 0.5 and 0.1 toggles per 10 ns
sharing/L1_centered_residual/full,oadm_fixed_l1_opt,3000.600012,3.84973,0.1482410,11551.499884,dc/canonical_refresh/outputs_10ns/sharing/L1_centered_residual/full/oadm_fixed_l1_opt.dc.rpt,pt_dc/canonical_refresh/reports_10ns/sharing/L1_centered_residual/full,TSMC65 typical CCS; 10 ns virtual clock; no pipeline; zero uncertainty; 20 ps I/O delay; INVD0 input driver; 0.004 output load; input-only max capacitance/fanout; explicit flatten; set_max_area 0; optimize_netlist -area; PT vectorless probability 0.5 and 0.1 toggles per 10 ns
sharing/L1_centered_residual/div,oadm_fixed_l1_div_opt,2065.319998,3.54393,0.1062410,7319.349501,dc/canonical_refresh/outputs_10ns/sharing/L1_centered_residual/div/oadm_fixed_l1_div_opt.dc.rpt,pt_dc/canonical_refresh/reports_10ns/sharing/L1_centered_residual/div,TSMC65 typical CCS; 10 ns virtual clock; no pipeline; zero uncertainty; 20 ps I/O delay; INVD0 input driver; 0.004 output load; input-only max capacitance/fanout; explicit flatten; set_max_area 0; optimize_netlist -area; PT vectorless probability 0.5 and 0.1 toggles per 10 ns
sharing/L1_centered_residual/mul,oadm_fixed_l1_mul_canonical,1365.120013,3.01568,0.0525122,4116.765121,dc/canonical_refresh/outputs_10ns/sharing/L1_centered_residual/mul/oadm_fixed_l1_mul_canonical.dc.rpt,pt_dc/canonical_refresh/reports_10ns/sharing/L1_centered_residual/mul,TSMC65 typical CCS; 10 ns virtual clock; no pipeline; zero uncertainty; 20 ps I/O delay; INVD0 input driver; 0.004 output load; input-only max capacitance/fanout; explicit flatten; set_max_area 0; optimize_netlist -area; PT vectorless probability 0.5 and 0.1 toggles per 10 ns
sharing/L2_centered_residual/full,oadm_fixed_l2_opt,3787.560022,4.18357,0.1846140,15845.522481,dc/canonical_refresh/outputs_10ns/sharing/L2_centered_residual/full/oadm_fixed_l2_opt.dc.rpt,pt_dc/canonical_refresh/reports_10ns/sharing/L2_centered_residual/full,TSMC65 typical CCS; 10 ns virtual clock; no pipeline; zero uncertainty; 20 ps I/O delay; INVD0 input driver; 0.004 output load; input-only max capacitance/fanout; explicit flatten; set_max_area 0; optimize_netlist -area; PT vectorless probability 0.5 and 0.1 toggles per 10 ns
