design,family,level,implementation,scope,accuracy_cases,mae,mred,rmse,area_um2,pt_delay_ns,pt_power_mw,adp_um2_ns,dc_report,pt_report,gate_check,flow_note
OADM L0,OADM,L0,centered residual fixed plane with PACE-I/O shell; area-selected,DIV-only normal-finite FP32,10000,0.044072478,0.042928442,0.069134161,1285.920012,3.09370,0.0729152,3978.250741,dc/multilevel_opt/outputs_explicit_flatten_area10/oadm_fixed_l0_div_paceio_opt/oadm_fixed_l0_div_paceio_opt.dc.rpt,pt_dc/multilevel_opt/reports/explicit_flatten_area10/oadm_fixed_l0_div_paceio_opt,pass 10000 vectors,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; optimize_netlist -area; vectorless PT 0.1 toggles per 10 ns
OADM L0 centered-index candidate,OADM,L0,centered index fixed plane with PACE-I/O shell; not selected,DIV-only normal-finite FP32,10000,0.044072478,0.042928442,0.069134161,1287.720009,3.15187,0.0759262,4058.726065,dc/multilevel_opt/outputs_explicit_flatten_area10/oadm_l0_centered_index_div_paceio_opt/oadm_l0_centered_index_div_paceio_opt.dc.rpt,pt_dc/multilevel_opt/reports/explicit_flatten_area10/oadm_l0_centered_index_div_paceio_opt,pass 10000 vectors,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; optimize_netlist -area; vectorless PT 0.1 toggles per 10 ns
OADM L1,OADM,L1,centered residual fixed plane with PACE-I/O shell,DIV-only normal-finite FP32,10000,0.012060134,0.011202140,0.019606173,2145.599999,3.60242,0.1101790,7729.352348,dc/multilevel_opt/outputs_explicit_flatten_area10/oadm_fixed_l1_div_paceio_opt/oadm_fixed_l1_div_paceio_opt.dc.rpt,pt_dc/multilevel_opt/reports/explicit_flatten_area10/oadm_fixed_l1_div_paceio_opt,pass 10000 vectors,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; optimize_netlist -area; vectorless PT 0.1 toggles per 10 ns
OADM L2,OADM,L2,selected centered residual fixed-L2 midpoint/range specialization,DIV-only normal-finite FP32,10000,0.008068416,0.008365269,0.009489801,2587.319989,3.87981,0.1587640,10038.309967,dc/l2_divopt/outputs_10ns/oadm_fixed_l2_div_specialized_paceio/oadm_fixed_l2_div_specialized_paceio.dc.rpt,pt_dc/l2_divopt/reports_10ns/oadm_fixed_l2_div_specialized_paceio,pass 20003 vectors; bit-exact to prior L2 on 500064 RTL vectors,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; optimize_netlist -area; vectorless PT 0.1 toggles per 10 ns
OADM L3,OADM,L3,centered residual specialized area point with PACE-I/O shell,DIV-only normal-finite FP32,10000,0.003429647,0.003205198,0.004594708,3373.200009,4.07998,0.1954280,13762.588573,dc/0123_divopt/outputs_explicit_flatten_area10/oadm_fixed_l3_div_opt_centered_paceio/oadm_fixed_l3_div_opt_centered_paceio.dc.rpt,pt_dc/pace_oadm_compare/reports/explicit_flatten_area10/oadm_fixed_l3_div_opt_centered_paceio,pass 10000 vectors,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; optimize_netlist -area; vectorless PT 0.1 toggles per 10 ns
PACE L1,PACE,L1,author mantissa RTL with local FP32 wrapper,DIV-only normal-finite FP32,10000,0.028652814,0.026218122,0.045861404,668.880008,2.04272,0.0257034,1366.334570,dc/pace_original/outputs_explicit_flatten_area10/L1/pace_fp32_l1.dc.rpt,pt_dc/pace_oadm_compare/reports/explicit_flatten_area10/pace/L1,pass 10000 vectors,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; optimize_netlist -area; vectorless PT 0.1 toggles per 10 ns
PACE L2,PACE,L2,author mantissa RTL with local FP32 wrapper,DIV-only normal-finite FP32,10000,0.015342894,0.014992885,0.022565317,1259.640022,3.10953,0.0539869,3916.888438,dc/pace_original/outputs_explicit_flatten_area10/L2/pace_fp32_l2.dc.rpt,pt_dc/pace_oadm_compare/reports/explicit_flatten_area10/pace/L2,pass 10000 vectors,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; optimize_netlist -area; vectorless PT 0.1 toggles per 10 ns
PACE L3,PACE,L3,author mantissa RTL with local FP32 wrapper,DIV-only normal-finite FP32,10000,0.005982764,0.005651984,0.009353566,1853.280020,3.42280,0.0896898,6343.406852,dc/pace_original/outputs_explicit_flatten_area10/L3/pace_fp32_l3.dc.rpt,pt_dc/pace_oadm_compare/reports/explicit_flatten_area10/pace/L3,pass 10000 vectors,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; optimize_netlist -area; vectorless PT 0.1 toggles per 10 ns
PACE L4,PACE,L4,author mantissa RTL with local FP32 wrapper,DIV-only normal-finite FP32,10000,0.003896897,0.003833633,0.006065880,2786.040025,3.70799,0.1328220,10330.608552,dc/pace_original/outputs_explicit_flatten_area10/L4/pace_fp32_l4.dc.rpt,pt_dc/pace_oadm_compare/reports/explicit_flatten_area10/pace/L4,pass 10000 vectors,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; optimize_netlist -area; vectorless PT 0.1 toggles per 10 ns
QIAD,QIAD,-,PACE-reference QIAD core with local FP32 wrapper,DIV-only FP32,100000,0.005889000,0.005880000,0.006940000,8557.919943,8.25140,0.6367180,70614.820618,../worktrees/qiad-repro/dc/qiad_prior/outputs_explicit_flatten_area10/qiad_prior_fp32_div.dc.rpt,../worktrees/qiad-repro/pt_dc/qiad_prior/reports_explicit_flatten_area10,pass 1000 vectors,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; optimize_netlist -area; vectorless PT 0.1 toggles per 10 ns
