tag,top,area_um2,delay_ns,setup_slack_ns,power_mw,hierarchical_cells,leaf_cells,sequential_cells,black_boxes,status,dc_report,pt_report_dir,mapping,boundary
amlib_oam/L0,amlib_oam_l0_fp32_common,1084.320002,2.23543,7.74457,0.0502523,8,340,0,0,pass,dc/hier_compile_10ns/outputs/amlib_oam/L0/amlib_oam_l0_fp32_common.dc.rpt,pt_dc/hier_compile_10ns/reports/amlib_oam/L0,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
amlib_oam/L1,amlib_oam_l1_fp32_common,1780.199997,2.55488,7.42512,0.0884389,13,570,0,0,pass,dc/hier_compile_10ns/outputs/amlib_oam/L1/amlib_oam_l1_fp32_common.dc.rpt,pt_dc/hier_compile_10ns/reports/amlib_oam/L1,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
amlib_oam/L2,amlib_oam_l2_fp32_common,2596.679993,2.73722,7.24278,0.1462900,17,878,0,0,pass,dc/hier_compile_10ns/outputs/amlib_oam/L2/amlib_oam_l2_fp32_common.dc.rpt,pt_dc/hier_compile_10ns/reports/amlib_oam/L2,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
amlib_oam/L3,amlib_oam_l3_fp32_common,3249.359989,2.87060,7.10940,0.1906250,21,1106,0,0,pass,dc/hier_compile_10ns/outputs/amlib_oam/L3/amlib_oam_l3_fp32_common.dc.rpt,pt_dc/hier_compile_10ns/reports/amlib_oam/L3,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
exact/div,exact_fp32_div_nopipe,19604.520074,9.75016,0.22984,1.8950900,15,6979,0,0,pass,dc/hier_compile_10ns/outputs/exact/div/exact_fp32_div_nopipe.dc.rpt,pt_dc/hier_compile_10ns/reports/exact/div,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
exact/divmul,exact_fp32_divmul_nopipe,24025.680052,9.85585,0.12415,2.0842100,21,8051,0,0,pass,dc/hier_compile_10ns/outputs/exact/divmul/exact_fp32_divmul_nopipe.dc.rpt,pt_dc/hier_compile_10ns/reports/exact/divmul,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
exact/mul,exact_fp32_mul_nopipe,4316.759975,3.79170,6.18830,0.2396670,4,1020,0,0,pass,dc/hier_compile_10ns/outputs/exact/mul/exact_fp32_mul_nopipe.dc.rpt,pt_dc/hier_compile_10ns/reports/exact/mul,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l0_mul_root_opt,oadm_fixed_l0_mul_root_opt,516.600003,1.37323,8.60678,0.0214399,4,136,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l0_mul_root_opt/oadm_fixed_l0_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l0_mul_root_opt,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l0_mul_root_opt_accuracy,oadm_fixed_l0_mul_root_opt_accuracy,690.840004,1.64244,8.33756,0.0294833,4,180,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l0_mul_root_opt_accuracy/oadm_fixed_l0_mul_root_opt_accuracy.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l0_mul_root_opt_accuracy,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l0_mul_root_opt_aggressive,oadm_fixed_l0_mul_root_opt_aggressive,429.480002,1.24564,8.73436,0.0172342,4,114,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l0_mul_root_opt_aggressive/oadm_fixed_l0_mul_root_opt_aggressive.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l0_mul_root_opt_aggressive,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l1_mul_root_opt,oadm_fixed_l1_mul_root_opt,948.600003,1.85617,8.12383,0.0388659,6,275,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l1_mul_root_opt/oadm_fixed_l1_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l1_mul_root_opt,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l1_mul_root_opt_accuracy,oadm_fixed_l1_mul_root_opt_accuracy,1226.520003,2.18163,7.79837,0.0508844,6,359,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l1_mul_root_opt_accuracy/oadm_fixed_l1_mul_root_opt_accuracy.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l1_mul_root_opt_accuracy,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l1_mul_root_opt_aggressive,oadm_fixed_l1_mul_root_opt_aggressive,808.920002,1.70503,8.27497,0.0333380,6,219,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l1_mul_root_opt_aggressive/oadm_fixed_l1_mul_root_opt_aggressive.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l1_mul_root_opt_aggressive,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l2_mul_root_opt,oadm_fixed_l2_mul_root_opt,1317.600004,2.14132,7.83868,0.0572100,7,342,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l2_mul_root_opt/oadm_fixed_l2_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l2_mul_root_opt,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l2_mul_root_opt_accuracy,oadm_fixed_l2_mul_root_opt_accuracy,1643.760004,2.35488,7.62512,0.0729314,8,426,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l2_mul_root_opt_accuracy/oadm_fixed_l2_mul_root_opt_accuracy.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l2_mul_root_opt_accuracy,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l2_mul_root_opt_aggressive,oadm_fixed_l2_mul_root_opt_aggressive,1155.600004,1.98158,7.99842,0.0496140,7,300,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l2_mul_root_opt_aggressive/oadm_fixed_l2_mul_root_opt_aggressive.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l2_mul_root_opt_aggressive,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l3_mul_root_opt,oadm_fixed_l3_mul_root_opt,1645.920004,2.47074,7.50926,0.0764037,8,421,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l3_mul_root_opt/oadm_fixed_l3_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l3_mul_root_opt,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l3_mul_root_opt_accuracy,oadm_fixed_l3_mul_root_opt_accuracy,2005.560004,2.71573,7.26427,0.0951810,9,516,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l3_mul_root_opt_accuracy/oadm_fixed_l3_mul_root_opt_accuracy.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l3_mul_root_opt_accuracy,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l3_mul_root_opt_aggressive,oadm_fixed_l3_mul_root_opt_aggressive,1468.440004,2.30344,7.67656,0.0672966,7,375,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l3_mul_root_opt_aggressive/oadm_fixed_l3_mul_root_opt_aggressive.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l3_mul_root_opt_aggressive,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
pace/L1,pace_fp32_l1,990.000008,2.21436,7.76564,0.0446706,7,318,0,0,pass,dc/hier_compile_10ns/outputs/pace/L1/pace_fp32_l1.dc.rpt,pt_dc/hier_compile_10ns/reports/pace/L1,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
pace/L2,pace_fp32_l2,1551.600011,2.36162,7.61838,0.0782855,9,466,0,0,pass,dc/hier_compile_10ns/outputs/pace/L2/pace_fp32_l2.dc.rpt,pt_dc/hier_compile_10ns/reports/pace/L2,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
pace/L3,pace_fp32_l3,2271.960013,2.82085,7.15915,0.1311940,11,725,0,0,pass,dc/hier_compile_10ns/outputs/pace/L3/pace_fp32_l3.dc.rpt,pt_dc/hier_compile_10ns/reports/pace/L3,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
pace/L4,pace_fp32_l4,3150.720010,2.98691,6.99309,0.1853110,13,1043,0,0,pass,dc/hier_compile_10ns/outputs/pace/L4/pace_fp32_l4.dc.rpt,pt_dc/hier_compile_10ns/reports/pace/L4,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
prior/fanzed,fanzed_prior_fp32_paceio,2775.960069,4.96810,5.01190,0.0887977,16,1130,0,0,pass,dc/hier_compile_10ns/outputs/prior/fanzed/fanzed_prior_fp32_paceio.dc.rpt,pt_dc/hier_compile_10ns/reports/prior/fanzed,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
prior/lead,lead_fp32_paceio_comb,6666.119974,5.67436,4.30564,0.6063020,17,1464,0,0,pass,dc/hier_compile_10ns/outputs/prior/lead/lead_fp32_paceio_comb.dc.rpt,pt_dc/hier_compile_10ns/reports/prior/lead,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
