tag,top,area_um2,delay_ns,setup_slack_ns,power_mw,hierarchical_cells,leaf_cells,sequential_cells,black_boxes,status,dc_report,pt_report_dir,mapping,boundary
mul_root/oadm_fixed_l0_mul_root_opt,oadm_fixed_l0_mul_root_opt,516.600003,1.37323,8.60678,0.0214399,4,136,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l0_mul_root_opt/oadm_fixed_l0_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l0_mul_root_opt,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l0_mul_root_opt_accuracy,oadm_fixed_l0_mul_root_opt_accuracy,690.840004,1.64244,8.33756,0.0294833,4,180,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l0_mul_root_opt_accuracy/oadm_fixed_l0_mul_root_opt_accuracy.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l0_mul_root_opt_accuracy,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l0_mul_root_opt_aggressive,oadm_fixed_l0_mul_root_opt_aggressive,429.480002,1.24564,8.73436,0.0172342,4,114,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l0_mul_root_opt_aggressive/oadm_fixed_l0_mul_root_opt_aggressive.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l0_mul_root_opt_aggressive,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l1_mul_root_opt,oadm_fixed_l1_mul_root_opt,948.600003,1.85617,8.12383,0.0388659,6,275,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l1_mul_root_opt/oadm_fixed_l1_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l1_mul_root_opt,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l1_mul_root_opt_accuracy,oadm_fixed_l1_mul_root_opt_accuracy,1226.520003,2.18163,7.79837,0.0508844,6,359,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l1_mul_root_opt_accuracy/oadm_fixed_l1_mul_root_opt_accuracy.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l1_mul_root_opt_accuracy,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l1_mul_root_opt_aggressive,oadm_fixed_l1_mul_root_opt_aggressive,808.920002,1.70503,8.27497,0.0333380,6,219,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l1_mul_root_opt_aggressive/oadm_fixed_l1_mul_root_opt_aggressive.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l1_mul_root_opt_aggressive,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l2_mul_root_opt,oadm_fixed_l2_mul_root_opt,1317.600004,2.14132,7.83868,0.0572100,7,342,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l2_mul_root_opt/oadm_fixed_l2_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l2_mul_root_opt,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l2_mul_root_opt_accuracy,oadm_fixed_l2_mul_root_opt_accuracy,1643.760004,2.35488,7.62512,0.0729314,8,426,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l2_mul_root_opt_accuracy/oadm_fixed_l2_mul_root_opt_accuracy.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l2_mul_root_opt_accuracy,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l2_mul_root_opt_aggressive,oadm_fixed_l2_mul_root_opt_aggressive,1155.600004,1.98158,7.99842,0.0496140,7,300,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l2_mul_root_opt_aggressive/oadm_fixed_l2_mul_root_opt_aggressive.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l2_mul_root_opt_aggressive,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l3_mul_root_opt,oadm_fixed_l3_mul_root_opt,1645.920004,2.47074,7.50926,0.0764037,8,421,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l3_mul_root_opt/oadm_fixed_l3_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l3_mul_root_opt,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
mul_root/oadm_fixed_l3_mul_root_opt_accuracy,oadm_fixed_l3_mul_root_opt_accuracy,2005.560004,2.71573,7.26427,0.0951810,9,516,0,0,pass,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l3_mul_root_opt_accuracy/oadm_fixed_l3_mul_root_opt_accuracy.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l3_mul_root_opt_accuracy,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
