level,variant,status,residual_drop,vectors,mae,mred,rmse,mean_error,area_um2,delay_ns,power_mw,area_change_vs_current_pct,delay_change_vs_current_pct,power_change_vs_current_pct,mae_change_vs_current_pct,mred_change_vs_current_pct,rmse_change_vs_current_pct,validation,dc_report,pt_report,flow_note
L0,amlib,reference,0,200000,0.0626472259248,0.0312928400316,0.0833717408091,1.9859092906e-05,924.120010,2.59419,0.0347785,10.3137,9.7095,-4.4100,-0.00000,-0.00000,-0.00000,200000 same-vector normal-finite cases,dc/canonical_refresh/outputs_10ns/amlib_oam/L0/top.dc.rpt,pt_dc/canonical_refresh/reports_10ns/amlib_oam/L0,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
L0,current,reference,0,200000,0.0626472267578,0.0312928407802,0.0833717427716,1.98590955882e-05,837.720005,2.36460,0.0363830,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,200000 same-vector normal-finite cases,dc/canonical_refresh/outputs_10ns/sharing/L0_centered_residual/mul/oadm_fixed_l0_mul_canonical.dc.rpt,pt_dc/canonical_refresh/reports_10ns/sharing/L0_centered_residual/mul,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
L0,accuracy,selected_accuracy_preserving,12,200000,0.0626474382294,0.0312927888601,0.0833713430663,1.92374096064e-05,524.880004,1.76777,0.0212952,-37.3442,-25.2402,-41.4694,0.00034,-0.00017,-0.00048,200000 same-vector normal-finite cases; independent integer model zero mismatches; 20002-vector normal-finite gate miter,dc/mul_root_opt/outputs_10ns/oadm_fixed_l0_mul_root_opt_accuracy/oadm_fixed_l0_mul_root_opt_accuracy.dc.rpt,pt_dc/mul_root_opt/reports_10ns/oadm_fixed_l0_mul_root_opt_accuracy,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
L0,conservative,pareto_balanced,16,200000,0.06289224781,0.0314017052646,0.0835289262365,2.52908764033e-05,393.840003,1.49422,0.0149892,-52.9867,-36.8088,-58.8016,0.39111,0.34789,0.18853,200000 same-vector normal-finite cases; independent integer model zero mismatches; 20002-vector normal-finite gate miter,dc/mul_root_opt/outputs_10ns/oadm_fixed_l0_mul_root_opt/oadm_fixed_l0_mul_root_opt.dc.rpt,pt_dc/mul_root_opt/reports_10ns/oadm_fixed_l0_mul_root_opt,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
L0,aggressive,pareto_area,18,200000,0.0653740199086,0.0325086784533,0.0855208530057,-3.75216235967e-05,326.160003,1.32815,0.0118693,-61.0657,-43.8319,-67.3768,4.35262,3.88535,2.57774,200000 same-vector normal-finite cases; independent integer model zero mismatches; 20002-vector normal-finite gate miter,dc/mul_root_opt/outputs_10ns/oadm_fixed_l0_mul_root_opt_aggressive/oadm_fixed_l0_mul_root_opt_aggressive.dc.rpt,pt_dc/mul_root_opt/reports_10ns/oadm_fixed_l0_mul_root_opt_aggressive,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
L1,amlib,reference,0,200000,0.015631113254,0.0075988402314,0.0208426888817,-1.47381541505e-05,1541.160019,3.29257,0.0684387,12.8956,9.1817,30.3291,0.00005,0.00005,0.00004,200000 same-vector normal-finite cases,dc/canonical_refresh/outputs_10ns/amlib_oam/L1/top.dc.rpt,pt_dc/canonical_refresh/reports_10ns/amlib_oam/L1,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
L1,current,reference,0,200000,0.0156311054722,0.00759883633725,0.0208426805397,-1.47380611673e-05,1365.120013,3.01568,0.0525122,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,200000 same-vector normal-finite cases,dc/canonical_refresh/outputs_10ns/sharing/L1_centered_residual/mul/oadm_fixed_l1_mul_canonical.dc.rpt,pt_dc/canonical_refresh/reports_10ns/sharing/L1_centered_residual/mul,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
L1,accuracy,selected_accuracy_preserving,10,200000,0.0156311579409,0.00759885317191,0.0208426679957,-1.45700726285e-05,787.680008,2.23311,0.0314033,-42.2996,-25.9500,-40.1981,0.00034,0.00022,-0.00006,200000 same-vector normal-finite cases; independent integer model zero mismatches; 20002-vector normal-finite gate miter,dc/mul_root_opt/outputs_10ns/oadm_fixed_l1_mul_root_opt_accuracy/oadm_fixed_l1_mul_root_opt_accuracy.dc.rpt,pt_dc/mul_root_opt/reports_10ns/oadm_fixed_l1_mul_root_opt_accuracy,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
L1,conservative,pareto_balanced,14,200000,0.0156911608989,0.00762681357542,0.0208790094058,-1.41771588102e-05,609.120006,1.99577,0.0241701,-55.3797,-33.8202,-53.9724,0.38420,0.36818,0.17430,200000 same-vector normal-finite cases; independent integer model zero mismatches; 20002-vector normal-finite gate miter,dc/mul_root_opt/outputs_10ns/oadm_fixed_l1_mul_root_opt/oadm_fixed_l1_mul_root_opt.dc.rpt,pt_dc/mul_root_opt/reports_10ns/oadm_fixed_l1_mul_root_opt,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
L1,aggressive,pareto_area,16,200000,0.0163247109916,0.00791053576936,0.0213924979421,-2.05101666227e-05,517.680005,1.81869,0.0204139,-62.0781,-39.6922,-61.1254,4.43734,4.10194,2.63794,200000 same-vector normal-finite cases; independent integer model zero mismatches; 20002-vector normal-finite gate miter,dc/mul_root_opt/outputs_10ns/oadm_fixed_l1_mul_root_opt_aggressive/oadm_fixed_l1_mul_root_opt_aggressive.dc.rpt,pt_dc/mul_root_opt/reports_10ns/oadm_fixed_l1_mul_root_opt_aggressive,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
