view,top,level,mode,dataset,cases,mred,rmse,sampled_max_relative,area_um2,delay_ns,power_mw,adp_um2_ns,accuracy_source,dc_report,pt_report_dir,status
standalone,oadm_fixed_l0_mul_root_opt,0,MUL,arithmetic_sharing/uniform_100k,100000,0.03136088231356413,0.08360446919149526,0.2463623783605716,516.600003,1.37323,0.0214399,709.410622,experiments/arithmetic_sharing/accuracy.csv,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l0_mul_root_opt/oadm_fixed_l0_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l0_mul_root_opt,pass
integrated,oadm_fixed_l0_divmul_root_opt,0,MUL,arithmetic_sharing/uniform_100k,100000,0.03136088231356413,0.08360446919149526,0.2463623783605716,957.960008,2.49427,0.0382199,2389.410909,experiments/arithmetic_sharing/accuracy.csv,dc/hier_compile_10ns/outputs/root_shared/oadm_fixed_l0_divmul_root_opt/oadm_fixed_l0_divmul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/root_shared/oadm_fixed_l0_divmul_root_opt,pass
standalone,oadm_fixed_l0_div_specialized,0,DIV,arithmetic_sharing/uniform_100k,100000,0.04272834727615855,0.0565599010301334,0.30931572677865665,516.960004,1.75780,0.0246830,908.712295,experiments/arithmetic_sharing/accuracy.csv,experiments/fixed_div_level_specialization/dc/oadm_fixed_l0_div_specialized/oadm_fixed_l0_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l0_div_specialized,pass
integrated,oadm_fixed_l0_divmul_root_opt,0,DIV,arithmetic_sharing/uniform_100k,100000,0.04272834727615855,0.0565599010301334,0.30931572677865665,957.960008,2.49427,0.0382199,2389.410909,experiments/arithmetic_sharing/accuracy.csv,dc/hier_compile_10ns/outputs/root_shared/oadm_fixed_l0_divmul_root_opt/oadm_fixed_l0_divmul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/root_shared/oadm_fixed_l0_divmul_root_opt,pass
standalone,oadm_fixed_l1_mul_root_opt,1,MUL,arithmetic_sharing/uniform_100k,100000,0.007615440660973365,0.020845195954126733,0.06285416486385222,948.600003,1.85617,0.0388659,1760.762868,experiments/arithmetic_sharing/accuracy.csv,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l1_mul_root_opt/oadm_fixed_l1_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l1_mul_root_opt,pass
integrated,oadm_fixed_l1_divmul_root_opt,1,MUL,arithmetic_sharing/uniform_100k,100000,0.007615440660973365,0.020845195954126733,0.06285416486385222,1696.680006,2.89371,0.0732530,4909.699900,experiments/arithmetic_sharing/accuracy.csv,dc/hier_compile_10ns/outputs/root_shared/oadm_fixed_l1_divmul_root_opt/oadm_fixed_l1_divmul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/root_shared/oadm_fixed_l1_divmul_root_opt,pass
standalone,oadm_fixed_l1_div_specialized,1,DIV,arithmetic_sharing/uniform_100k,100000,0.010813661873455687,0.01618806143998146,0.08988794411201431,1130.400003,2.70339,0.0661543,3055.912064,experiments/arithmetic_sharing/accuracy.csv,experiments/fixed_div_level_specialization/dc/oadm_fixed_l1_div_specialized/oadm_fixed_l1_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l1_div_specialized,pass
integrated,oadm_fixed_l1_divmul_root_opt,1,DIV,arithmetic_sharing/uniform_100k,100000,0.010813661873455687,0.01618806143998146,0.08988794411201431,1696.680006,2.89371,0.0732530,4909.699900,experiments/arithmetic_sharing/accuracy.csv,dc/hier_compile_10ns/outputs/root_shared/oadm_fixed_l1_divmul_root_opt/oadm_fixed_l1_divmul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/root_shared/oadm_fixed_l1_divmul_root_opt,pass
standalone,oadm_fixed_l2_mul_root_opt,2,MUL,arithmetic_sharing/uniform_100k,100000,0.0018928336165583571,0.005226735216234865,0.015094726936386022,1317.600004,2.14132,0.0572100,2821.403241,experiments/arithmetic_sharing/accuracy.csv,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l2_mul_root_opt/oadm_fixed_l2_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l2_mul_root_opt,pass
integrated,oadm_fixed_l2_divmul_root_opt,2,MUL,arithmetic_sharing/uniform_100k,100000,0.0018928336165583571,0.005226735216234865,0.015094726936386022,2106.720010,3.31142,0.0911738,6976.234776,experiments/arithmetic_sharing/accuracy.csv,dc/hier_compile_10ns/outputs/root_shared/oadm_fixed_l2_divmul_root_opt/oadm_fixed_l2_divmul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/root_shared/oadm_fixed_l2_divmul_root_opt,pass
standalone,oadm_fixed_l2_div_specialized,2,DIV,arithmetic_sharing/uniform_100k,100000,0.0036546136559888823,0.005321253557555896,0.02824111449041544,1484.640007,2.73617,0.0750523,4062.227448,experiments/arithmetic_sharing/accuracy.csv,experiments/fixed_div_level_specialization/dc/oadm_fixed_l2_div_specialized/oadm_fixed_l2_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l2_div_specialized,pass
integrated,oadm_fixed_l2_divmul_root_opt,2,DIV,arithmetic_sharing/uniform_100k,100000,0.0036546136559888823,0.005321253557555896,0.02824111449041544,2106.720010,3.31142,0.0911738,6976.234776,experiments/arithmetic_sharing/accuracy.csv,dc/hier_compile_10ns/outputs/root_shared/oadm_fixed_l2_divmul_root_opt/oadm_fixed_l2_divmul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/root_shared/oadm_fixed_l2_divmul_root_opt,pass
standalone,oadm_fixed_l3_mul_root_opt,3,MUL,arithmetic_sharing/uniform_100k,100000,0.00047278489474495615,0.0013061734213219293,0.00368166496535982,1645.920004,2.47074,0.0764037,4066.640391,experiments/arithmetic_sharing/accuracy.csv,dc/hier_compile_10ns/outputs/mul_root/oadm_fixed_l3_mul_root_opt/oadm_fixed_l3_mul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/mul_root/oadm_fixed_l3_mul_root_opt,pass
