design,level,mapping_policy,area_um2,pt_delay_ns,pt_power_mw,area_delta_pct_vs_legacy,delay_delta_pct_vs_legacy,power_delta_pct_vs_legacy,period_ns,pipeline,gate_miter_vectors,gate_miter_mismatches,dc_source,pt_source,gate_log,note
PACE author RTL FP32 wrapper,L1,legacy_no_autoungroup,956.880000,2.42133,0.0391335,0.00,0.00,0.00,10.0,no,NA,NA,dc/pace_original/outputs/L1,pt_dc/pace_oadm_compare/reports/pace_l1,NA,Existing paper-facing baseline; compile_ultra -no_autoungroup and design-level max-fanout constraint
PACE author RTL FP32 wrapper,L1,flatten_only,715.320010,1.97617,0.0266328,-25.24,-18.38,-31.94,10.0,no,10000,0,dc/pace_original/outputs_flatten_only10/L1,pt_dc/pace_oadm_compare/reports/pace_flatten_only10/L1,qsim_rtl/pace_original/pace_flatten_only_gate_l1.log,Legacy PACE mapping policy with hierarchy explicitly flattened
PACE author RTL FP32 wrapper,L1,matched_oadm_area,668.880008,2.04272,0.0257034,-30.10,-15.64,-34.32,10.0,no,10000,0,dc/pace_original/outputs_flatten_area10/L1,pt_dc/pace_oadm_compare/reports/pace_flatten_area10/L1,qsim_rtl/pace_original/pace_flatten_gate_l1.log,Flatten plus set_max_area 0 and optimize_netlist -area; area_high_effort_script was reported ignored by DC U-2022.12-SP7
PACE author RTL FP32 wrapper,L2,legacy_no_autoungroup,1532.160000,3.15801,0.0633320,0.00,0.00,0.00,10.0,no,NA,NA,dc/pace_original/outputs/L2,pt_dc/pace_oadm_compare/reports/pace_l2,NA,Existing paper-facing baseline; compile_ultra -no_autoungroup and design-level max-fanout constraint
PACE author RTL FP32 wrapper,L2,flatten_only,1370.160030,3.13997,0.0542641,-10.57,-0.57,-14.32,10.0,no,10000,0,dc/pace_original/outputs_flatten_only10/L2,pt_dc/pace_oadm_compare/reports/pace_flatten_only10/L2,qsim_rtl/pace_original/pace_flatten_only_gate_l2.log,Legacy PACE mapping policy with hierarchy explicitly flattened
PACE author RTL FP32 wrapper,L2,matched_oadm_area,1259.640022,3.10953,0.0539869,-17.79,-1.54,-14.76,10.0,no,10000,0,dc/pace_original/outputs_flatten_area10/L2,pt_dc/pace_oadm_compare/reports/pace_flatten_area10/L2,qsim_rtl/pace_original/pace_flatten_gate_l2.log,Flatten plus set_max_area 0 and optimize_netlist -area; area_high_effort_script was reported ignored by DC U-2022.12-SP7
PACE author RTL FP32 wrapper,L3,legacy_no_autoungroup,2175.120000,3.53738,0.1065510,0.00,0.00,0.00,10.0,no,NA,NA,dc/pace_original/outputs/L3,pt_dc/pace_oadm_compare/reports/pace_l3,NA,Existing paper-facing baseline; compile_ultra -no_autoungroup and design-level max-fanout constraint
PACE author RTL FP32 wrapper,L3,flatten_only,2007.360026,3.42934,0.0955095,-7.71,-3.05,-10.36,10.0,no,10000,0,dc/pace_original/outputs_flatten_only10/L3,pt_dc/pace_oadm_compare/reports/pace_flatten_only10/L3,qsim_rtl/pace_original/pace_flatten_only_gate_l3.log,Legacy PACE mapping policy with hierarchy explicitly flattened
PACE author RTL FP32 wrapper,L3,matched_oadm_area,1853.280020,3.42280,0.0896898,-14.80,-3.24,-15.82,10.0,no,10000,0,dc/pace_original/outputs_flatten_area10/L3,pt_dc/pace_oadm_compare/reports/pace_flatten_area10/L3,qsim_rtl/pace_original/pace_flatten_gate_l3.log,Flatten plus set_max_area 0 and optimize_netlist -area; area_high_effort_script was reported ignored by DC U-2022.12-SP7
PACE author RTL FP32 wrapper,L4,legacy_no_autoungroup,3196.430000,3.65836,0.1542190,0.00,0.00,0.00,10.0,no,NA,NA,dc/pace_original/outputs/L4,pt_dc/pace_oadm_compare/reports/pace_l4,NA,Existing paper-facing baseline; compile_ultra -no_autoungroup and design-level max-fanout constraint
PACE author RTL FP32 wrapper,L4,flatten_only,3140.640042,3.64779,0.1467570,-1.75,-0.29,-4.84,10.0,no,10000,0,dc/pace_original/outputs_flatten_only10/L4,pt_dc/pace_oadm_compare/reports/pace_flatten_only10/L4,qsim_rtl/pace_original/pace_flatten_only_gate_l4.log,Legacy PACE mapping policy with hierarchy explicitly flattened
PACE author RTL FP32 wrapper,L4,matched_oadm_area,2786.040025,3.70799,0.1328220,-12.84,1.36,-13.87,10.0,no,10000,0,dc/pace_original/outputs_flatten_area10/L4,pt_dc/pace_oadm_compare/reports/pace_flatten_area10/L4,qsim_rtl/pace_original/pace_flatten_gate_l4.log,Flatten plus set_max_area 0 and optimize_netlist -area; area_high_effort_script was reported ignored by DC U-2022.12-SP7
