residual_drop,scale_drop,selection,area_um2,area_delta_pct_vs_10_14,pt_delay_ns,setup_slack_ns,pt_power_mw,sequential_cells,black_boxes,max_rmse_ratio_vs_10_14,rmse_limiter,max_any_metric_ratio_vs_10_14,metric_limiter,accuracy_10pct_status,baseline_equivalence_mismatches,timing_status,gate_miter,dc_report,pt_report_dir,method
10,14,baseline,3174.120010,0.00,3.96574,6.01426,0.1290130,0,0,1.000000,MUL/L0,1.000000,rmse/MUL/L3,pass,0,pass,20004 vectors; 0 mismatches,dc/runtime_drop_sweep/outputs/r10_s14/oadm_runtime_drop_r10_s14.dc.rpt,pt_dc/runtime_drop_sweep/reports/r10_s14,TSMC65; 10 ns; no pipeline; hierarchy-preserving plain compile; vectorless PT; 250000 normal-finite FP32 vectors per mode/level
10,16,sweep,3078.360011,-3.02,3.98760,5.99240,0.1217860,0,0,1.251489,DIV/L3,1.305203,mred/DIV/L3,fail,0,pass,not_run,dc/runtime_drop_sweep/outputs/r10_s16/oadm_runtime_drop_r10_s16.dc.rpt,pt_dc/runtime_drop_sweep/reports/r10_s16,TSMC65; 10 ns; no pipeline; hierarchy-preserving plain compile; vectorless PT; 250000 normal-finite FP32 vectors per mode/level
10,18,sweep,2969.280016,-6.45,3.83846,6.14154,0.1133210,0,0,2.562550,DIV/L3,2.953786,mred/DIV/L3,fail,0,pass,not_run,dc/runtime_drop_sweep/outputs/r10_s18/oadm_runtime_drop_r10_s18.dc.rpt,pt_dc/runtime_drop_sweep/reports/r10_s18,TSMC65; 10 ns; no pipeline; hierarchy-preserving plain compile; vectorless PT; 250000 normal-finite FP32 vectors per mode/level
12,14,pareto,2943.720008,-7.26,3.80226,6.17774,0.1186580,0,0,1.159362,MUL/L3,1.218273,mae/MUL/L3,fail,0,pass,20004 vectors; 0 mismatches,dc/runtime_drop_sweep/outputs/r12_s14/oadm_runtime_drop_r12_s14.dc.rpt,pt_dc/runtime_drop_sweep/reports/r12_s14,TSMC65; 10 ns; no pipeline; hierarchy-preserving plain compile; vectorless PT; 250000 normal-finite FP32 vectors per mode/level
12,16,pareto,2844.000010,-10.40,3.78766,6.19234,0.1121670,0,0,1.247397,DIV/L3,1.304762,mred/DIV/L3,fail,0,pass,20004 vectors; 0 mismatches,dc/runtime_drop_sweep/outputs/r12_s16/oadm_runtime_drop_r12_s16.dc.rpt,pt_dc/runtime_drop_sweep/reports/r12_s16,TSMC65; 10 ns; no pipeline; hierarchy-preserving plain compile; vectorless PT; 250000 normal-finite FP32 vectors per mode/level
12,18,pareto,2734.200015,-13.86,3.64346,6.33654,0.1031860,0,0,2.557654,DIV/L3,2.951846,mred/DIV/L3,fail,0,pass,20004 vectors; 0 mismatches,dc/runtime_drop_sweep/outputs/r12_s18/oadm_runtime_drop_r12_s18.dc.rpt,pt_dc/runtime_drop_sweep/reports/r12_s18,TSMC65; 10 ns; no pipeline; hierarchy-preserving plain compile; vectorless PT; 250000 normal-finite FP32 vectors per mode/level
14,14,sweep,2737.080008,-13.77,3.63999,6.34001,0.1097330,0,0,2.623687,MUL/L3,3.015604,mae/MUL/L3,fail,0,pass,not_run,dc/runtime_drop_sweep/outputs/r14_s14/oadm_runtime_drop_r14_s14.dc.rpt,pt_dc/runtime_drop_sweep/reports/r14_s14,TSMC65; 10 ns; no pipeline; hierarchy-preserving plain compile; vectorless PT; 250000 normal-finite FP32 vectors per mode/level
14,16,sweep,2621.880009,-17.40,3.60725,6.37275,0.1026410,0,0,2.623687,MUL/L3,3.015604,mae/MUL/L3,fail,0,pass,not_run,dc/runtime_drop_sweep/outputs/r14_s16/oadm_runtime_drop_r14_s16.dc.rpt,pt_dc/runtime_drop_sweep/reports/r14_s16,TSMC65; 10 ns; no pipeline; hierarchy-preserving plain compile; vectorless PT; 250000 normal-finite FP32 vectors per mode/level
14,18,pareto,2508.840014,-20.96,3.43925,6.54075,0.0940201,0,0,2.623687,MUL/L3,3.015604,mae/MUL/L3,fail,0,pass,20004 vectors; 0 mismatches,dc/runtime_drop_sweep/outputs/r14_s18/oadm_runtime_drop_r14_s18.dc.rpt,pt_dc/runtime_drop_sweep/reports/r14_s18,TSMC65; 10 ns; no pipeline; hierarchy-preserving plain compile; vectorless PT; 250000 normal-finite FP32 vectors per mode/level
16,14,sweep,2526.840007,-20.39,3.48182,6.49818,0.0989896,0,0,9.780905,MUL/L3,11.768684,mae/MUL/L3,fail,0,pass,not_run,dc/runtime_drop_sweep/outputs/r16_s14/oadm_runtime_drop_r16_s14.dc.rpt,pt_dc/runtime_drop_sweep/reports/r16_s14,TSMC65; 10 ns; no pipeline; hierarchy-preserving plain compile; vectorless PT; 250000 normal-finite FP32 vectors per mode/level
16,16,sweep,2413.800009,-23.95,3.44909,6.53091,0.0927799,0,0,9.780905,MUL/L3,11.768684,mae/MUL/L3,fail,0,pass,not_run,dc/runtime_drop_sweep/outputs/r16_s16/oadm_runtime_drop_r16_s16.dc.rpt,pt_dc/runtime_drop_sweep/reports/r16_s16,TSMC65; 10 ns; no pipeline; hierarchy-preserving plain compile; vectorless PT; 250000 normal-finite FP32 vectors per mode/level
16,18,pareto,2290.320013,-27.84,3.25693,6.72307,0.0845330,0,0,9.780905,MUL/L3,11.768684,mae/MUL/L3,fail,0,pass,20004 vectors; 0 mismatches,dc/runtime_drop_sweep/outputs/r16_s18/oadm_runtime_drop_r16_s18.dc.rpt,pt_dc/runtime_drop_sweep/reports/r16_s18,TSMC65; 10 ns; no pipeline; hierarchy-preserving plain compile; vectorless PT; 250000 normal-finite FP32 vectors per mode/level
18,14,sweep,2419.920014,-23.76,3.20660,6.77340,0.0897556,0,0,38.927162,MUL/L3,47.044421,mae/MUL/L3,fail,0,pass,not_run,dc/runtime_drop_sweep/outputs/r18_s14/oadm_runtime_drop_r18_s14.dc.rpt,pt_dc/runtime_drop_sweep/reports/r18_s14,TSMC65; 10 ns; no pipeline; hierarchy-preserving plain compile; vectorless PT; 250000 normal-finite FP32 vectors per mode/level
18,16,sweep,2306.880015,-27.32,3.17388,6.80612,0.0854803,0,0,38.927162,MUL/L3,47.044421,mae/MUL/L3,fail,0,pass,not_run,dc/runtime_drop_sweep/outputs/r18_s16/oadm_runtime_drop_r18_s16.dc.rpt,pt_dc/runtime_drop_sweep/reports/r18_s16,TSMC65; 10 ns; no pipeline; hierarchy-preserving plain compile; vectorless PT; 250000 normal-finite FP32 vectors per mode/level
18,18,pareto,2183.400019,-31.21,2.98174,6.99826,0.0778208,0,0,38.927162,MUL/L3,47.044421,mae/MUL/L3,fail,0,pass,20004 vectors; 0 mismatches,dc/runtime_drop_sweep/outputs/r18_s18/oadm_runtime_drop_r18_s18.dc.rpt,pt_dc/runtime_drop_sweep/reports/r18_s18,TSMC65; 10 ns; no pipeline; hierarchy-preserving plain compile; vectorless PT; 250000 normal-finite FP32 vectors per mode/level
