level,residual_drop,scale_drop,coefficient_bits,coefficients,cases,mae,mred,rmse,mae_change_pct,mred_change_pct,rmse_change_pct,cost_proxy,within_10pct
0,0,0,7,baseline,250000,0.043639571959480865,0.04273067405431772,0.06850961349417273,0.0,0.0,0.0,,yes
0,6,8,7,59,250000,0.04249142357536997,0.042764797230812064,0.055457465127492556,-2.6309799398970934,0.07985639648691034,-19.051557439877186,323,yes
0,6,8,8,118,250000,0.04249142357536997,0.042764797230812064,0.055457465127492556,-2.6309799398970934,0.07985639648691034,-19.051557439877186,340,yes
0,6,10,7,59,250000,0.04248673157052575,0.042760584603191355,0.05545849035591668,-2.6417316604881447,0.06999784004253495,-19.050060966065953,309,yes
0,6,10,8,118,250000,0.04248673157052575,0.042760584603191355,0.05545849035591668,-2.6417316604881447,0.06999784004253495,-19.050060966065953,324,yes
0,6,12,7,59,250000,0.042468185291271505,0.04274398712333339,0.05546271770146124,-2.684230425763534,0.031155766461221646,-19.043890524679764,295,yes
0,6,12,8,118,250000,0.042468185291271505,0.04274398712333339,0.05546271770146124,-2.684230425763534,0.031155766461221646,-19.043890524679764,308,yes
0,6,14,7,59,250000,0.042395026345208635,0.042678520451012295,0.05548120599748161,-2.8518740179848345,-0.12205190875090866,-19.01690409886677,281,yes
0,6,14,8,118,250000,0.042395026345208635,0.042678520451012295,0.05548120599748161,-2.8518740179848345,-0.12205190875090866,-19.01690409886677,292,yes
0,6,16,7,59,250000,0.04211845388355232,0.042433693182971036,0.05558204266076895,-3.485639312275779,-0.6950062874486185,-18.86971794769119,267,yes
0,6,16,8,119,250000,0.04442283572052564,0.04491449626112975,0.05539120733391136,1.7948474878993537,5.11066641269462,-19.148270572825798,276,yes
0,6,18,7,60,250000,0.04568569622351473,0.046448092468922855,0.05582480734110575,4.688690040162813,8.699648430258055,-18.51536668521114,253,yes
0,6,18,8,119,250000,0.043071728808444246,0.043709786596138604,0.055384297032544265,-1.3012115507545774,2.2913575867683944,-19.15835718843294,260,yes
0,6,20,7,61,250000,0.046219985788168674,0.04795812126384406,0.05798845139511794,5.913013608574591,12.233477063529087,-15.357205452559864,239,no
0,6,20,8,122,250000,0.046219985788168674,0.04795812126384406,0.05798845139511794,5.913013608574591,12.233477063529087,-15.357205452559864,244,no
0,8,8,7,59,250000,0.042492015799675584,0.04276532011471542,0.05545735737018385,-2.629622858974834,0.08108006991338623,-19.051714727742663,299,yes
0,8,8,8,118,250000,0.042492015799675584,0.04276532011471542,0.05545735737018385,-2.629622858974834,0.08108006991338623,-19.051714727742663,316,yes
0,8,10,7,59,250000,0.04248731801218732,0.042761100208772114,0.055458380317979346,-2.6403878304842476,0.07120448045287997,-19.05022158284908,285,yes
0,8,10,8,118,250000,0.04248731801218732,0.042761100208772114,0.055458380317979346,-2.6403878304842476,0.07120448045287997,-19.05022158284908,300,yes
0,8,12,7,59,250000,0.04246862581852578,0.042744336791468496,0.05546260004598851,-2.6832209583593225,0.031974073550555815,-19.04406226039206,271,yes
0,8,12,8,118,250000,0.04246862581852578,0.042744336791468496,0.05546260004598851,-2.6832209583593225,0.031974073550555815,-19.04406226039206,284,yes
0,8,14,7,59,250000,0.042395026345208635,0.042678520451012295,0.05548120599748161,-2.8518740179848345,-0.12205190875090866,-19.01690409886677,257,yes
0,8,14,8,118,250000,0.042395026345208635,0.042678520451012295,0.05548120599748161,-2.8518740179848345,-0.12205190875090866,-19.01690409886677,268,yes
0,8,16,7,59,250000,0.04211845388355232,0.042433693182971036,0.05558204266076895,-3.485639312275779,-0.6950062874486185,-18.86971794769119,243,yes
0,8,16,8,119,250000,0.04442283572052564,0.04491449626112975,0.05539120733391136,1.7948474878993537,5.11066641269462,-19.148270572825798,252,yes
0,8,18,7,60,250000,0.04568569622351473,0.046448092468922855,0.05582480734110575,4.688690040162813,8.699648430258055,-18.51536668521114,229,yes
0,8,18,8,119,250000,0.043071728808444246,0.043709786596138604,0.055384297032544265,-1.3012115507545774,2.2913575867683944,-19.15835718843294,236,yes
0,8,20,7,61,250000,0.046219985788168674,0.04795812126384406,0.05798845139511794,5.913013608574591,12.233477063529087,-15.357205452559864,215,no
0,8,20,8,122,250000,0.046219985788168674,0.04795812126384406,0.05798845139511794,5.913013608574591,12.233477063529087,-15.357205452559864,220,no
0,10,8,7,59,250000,0.04249285077638182,0.04276615130999722,0.05545714028691729,-2.627709511366816,0.08302526572456781,-19.052031593151007,275,yes
0,10,8,8,118,250000,0.04249285077638182,0.04276615130999722,0.05545714028691729,-2.627709511366816,0.08302526572456781,-19.052031593151007,292,yes
0,10,10,7,59,250000,0.04248971585015185,0.04276333567244481,0.05545782073763466,-2.6348931891372662,0.07643600025024622,-19.051038373830885,261,yes
0,10,10,8,118,250000,0.04248971585015185,0.04276333567244481,0.05545782073763466,-2.6348931891372662,0.07643600025024622,-19.051038373830885,276,yes
0,10,12,7,59,250000,0.042470972740611235,0.04274651949618905,0.05546201686483659,-2.677842990656898,0.03708212477806505,-19.044913500272397,247,yes
0,10,12,8,118,250000,0.042470972740611235,0.04274651949618905,0.05546201686483659,-2.677842990656898,0.03708212477806505,-19.044913500272397,260,yes
0,10,14,7,59,250000,0.04239707927743031,0.04268035360111591,0.05548052594354582,-2.847169727522081,-0.11776189895306155,-19.017896739024998,233,yes
0,10,14,8,118,250000,0.04239707927743031,0.04268035360111591,0.05548052594354582,-2.847169727522081,-0.11776189895306155,-19.017896739024998,244,yes
0,10,16,7,59,250000,0.04211845388355232,0.042433693182971036,0.05558204266076895,-3.485639312275779,-0.6950062874486185,-18.86971794769119,219,yes
0,10,16,8,119,250000,0.04442283572052564,0.04491449626112975,0.05539120733391136,1.7948474878993537,5.11066641269462,-19.148270572825798,228,yes
0,10,18,7,60,250000,0.04568569622351473,0.046448092468922855,0.05582480734110575,4.688690040162813,8.699648430258055,-18.51536668521114,205,yes
0,10,18,8,119,250000,0.043071728808444246,0.043709786596138604,0.055384297032544265,-1.3012115507545774,2.2913575867683944,-19.15835718843294,212,yes
0,10,20,7,61,250000,0.046219985788168674,0.04795812126384406,0.05798845139511794,5.913013608574591,12.233477063529087,-15.357205452559864,191,no
0,10,20,8,122,250000,0.046219985788168674,0.04795812126384406,0.05798845139511794,5.913013608574591,12.233477063529087,-15.357205452559864,196,no
0,12,8,7,59,250000,0.042493011692319005,0.042765758806473556,0.05545811100137646,-2.6273407727886,0.08210671357824495,-19.050614690603098,251,yes
0,12,8,8,118,250000,0.042493011692319005,0.042765758806473556,0.05545811100137646,-2.6273407727886,0.08210671357824495,-19.050614690603098,268,yes
0,12,10,7,59,250000,0.042493011692319005,0.042765758806473556,0.05545811100137646,-2.6273407727886,0.08210671357824495,-19.050614690603098,237,yes
0,12,10,8,118,250000,0.042493011692319005,0.042765758806473556,0.05545811100137646,-2.6273407727886,0.08210671357824495,-19.050614690603098,252,yes
0,12,12,7,59,250000,0.04248050916996081,0.042754532578400554,0.05546094941563388,-2.6559902800977087,0.05583465417022815,-19.046471601607763,223,yes
0,12,12,8,118,250000,0.04248050916996081,0.042754532578400554,0.05546094941563388,-2.6559902800977087,0.05583465417022815,-19.046471601607763,236,yes
0,12,14,7,59,250000,0.04240647080837106,0.04268824660691173,0.055479303563971676,-2.8256490514039334,-0.09929037710020294,-19.019680984347374,209,yes
0,12,14,8,118,250000,0.04240647080837106,0.04268824660691173,0.055479303563971676,-2.8256490514039334,-0.09929037710020294,-19.019680984347374,220,yes
0,12,16,7,59,250000,0.04212858531492405,0.042442409427036865,0.055579358091085426,-3.462423155661931,-0.6746081910957491,-18.873636477582988,195,yes
0,12,16,8,119,250000,0.04443669886847378,0.04492678624650893,0.055395110452600795,1.8266148662801962,5.1394279186880665,-19.142573388897343,204,yes
0,12,18,7,60,250000,0.04568569622351473,0.046448092468922855,0.05582480734110575,4.688690040162813,8.699648430258055,-18.51536668521114,181,yes
0,12,18,8,119,250000,0.043071728808444246,0.043709786596138604,0.055384297032544265,-1.3012115507545774,2.2913575867683944,-19.15835718843294,188,yes
0,12,20,7,61,250000,0.046219985788168674,0.04795812126384406,0.05798845139511794,5.913013608574591,12.233477063529087,-15.357205452559864,167,no
0,12,20,8,122,250000,0.046219985788168674,0.04795812126384406,0.05798845139511794,5.913013608574591,12.233477063529087,-15.357205452559864,172,no
0,14,8,7,59,250000,0.04249353498943742,0.04275881872107457,0.05547074939692923,-2.6261416383908,0.06586525342680005,-19.03216706711176,227,yes
0,14,8,8,118,250000,0.04249353498943742,0.04275881872107457,0.05547074939692923,-2.6261416383908,0.06586525342680005,-19.03216706711176,244,yes
0,14,10,7,59,250000,0.04249353498943742,0.04275881872107457,0.05547074939692923,-2.6261416383908,0.06586525342680005,-19.03216706711176,213,yes
0,14,10,8,118,250000,0.04249353498943742,0.04275881872107457,0.05547074939692923,-2.6261416383908,0.06586525342680005,-19.03216706711176,228,yes
0,14,12,7,59,250000,0.04249353498943742,0.04275881872107457,0.05547074939692923,-2.6261416383908,0.06586525342680005,-19.03216706711176,199,yes
0,14,12,8,118,250000,0.04249353498943742,0.04275881872107457,0.05547074939692923,-2.6261416383908,0.06586525342680005,-19.03216706711176,212,yes
0,14,14,7,59,250000,0.04244393404539886,0.04271437463141788,0.05548248665541557,-2.7398021116984084,-0.038144548993346294,-19.01503478758527,185,yes
0,14,14,8,118,250000,0.04244393404539886,0.04271437463141788,0.05548248665541557,-2.7398021116984084,-0.038144548993346294,-19.01503478758527,196,yes
0,14,16,7,59,250000,0.04216352541932214,0.042466000876909105,0.055578353808932966,-3.3823579698014195,-0.6193985544720726,-18.875102377186327,171,yes
0,14,16,8,119,250000,0.044489050800046746,0.04496734256923095,0.05541914913613929,1.946579222533673,5.234339416387512,-19.10748534458874,180,yes
