coefficient_integer,coefficient_q07,cases,residual_drop,scale_drop,mae,mred,rmse,mean_error
52,0.40625,250000,18,18,0.12888862666203976,0.12436195266957176,0.14580078220583356,-0.12888862666203976
53,0.4140625,250000,18,18,0.11137153291203979,0.10752275945167887,0.1292320184888083,-0.11137153291203979
54,0.421875,250000,18,18,0.09385700794617725,0.09068678738248698,0.11315207758862728,-0.09385443916203978
55,0.4296875,250000,18,18,0.07642859160739585,0.07395717658027796,0.09780236332331663,-0.07633734541203976
56,0.4375,250000,18,18,0.05967690379136671,0.05799399136095161,0.0835861437661865,-0.05882025166203977
57,0.4453125,250000,18,18,0.046694217362984805,0.04583302496784473,0.07118578605908225,-0.04130315791203976
58,0.453125,250000,18,18,0.04138908392576039,0.041217696393662996,0.06170591862268585,-0.023786064162039777
59,0.4609375,250000,18,18,0.04234404918495703,0.04268503760354199,0.0566326425161487,-0.006268970412039769
60,0.46875,250000,18,18,0.04728631963812226,0.047935403631427724,0.05715175896441441,0.011248123337960228
61,0.4765625,250000,18,18,0.05515825926423296,0.05589064598433866,0.06312545014622407,0.028765217087960232
62,0.484375,250000,18,18,0.06532703487264015,0.06590568320296536,0.07323081939096802,0.046282310837960236
63,0.4921875,250000,18,18,0.07733386850360059,0.07752707846617707,0.0860239205701182,0.06379940458796024
64,0.5,250000,18,18,0.09081614824338033,0.0904088895904425,0.10048337405216695,0.08131649833796023
65,0.5078125,250000,18,18,0.10547578281694442,0.10427723388394039,0.11598764399984017,0.09883359208796022
