candidate,mode,level,cases,mae,mred,rmse
baseline,MUL,0,1000000,0.06249999270606043,0.03125809934090125,0.08333349249140375
residual_drop_2,MUL,0,1000000,0.0625000005321503,0.03125811096577319,0.08333349996050132
joint_drop_2_no_round_lut,MUL,0,1000000,0.0625000005321503,0.03125811096577319,0.08333349996050132
residual_drop_4,MUL,0,1000000,0.06250000267895112,0.03125814161572948,0.08333349999142306
joint_drop_4_no_round_lut,MUL,0,1000000,0.06250000267895112,0.03125814161572948,0.08333349999142306
residual_drop_6,MUL,0,1000000,0.06250001188827628,0.03125826413301591,0.08333350064327052
joint_drop_6_no_round_lut,MUL,0,1000000,0.06250001188827628,0.03125826413301591,0.08333350064327052
residual_drop_8,MUL,0,1000000,0.06250006285589868,0.031258763971865756,0.08333351445598192
joint_drop_8_no_round_lut,MUL,0,1000000,0.06250006285589868,0.031258763971865756,0.08333351445598192
residual_drop_10,MUL,0,1000000,0.06250057195404408,0.03126089318988602,0.08333373142721966
joint_drop_10_no_round_lut,MUL,0,1000000,0.06250057195404408,0.03126089318988602,0.08333373142721966
residual_drop_12,MUL,0,1000000,0.06250829789568454,0.031271755202352806,0.08333718654987742
joint_drop_12_no_round_lut,MUL,0,1000000,0.06250829789568454,0.031271755202352806,0.08333718654987742
residual_drop_14,MUL,0,1000000,0.06261132632140796,0.03134767634332798,0.0833926823769086
joint_drop_14_no_round_lut,MUL,0,1000000,0.06261132632140796,0.03134767634332798,0.0833926823769086
residual_drop_16,MUL,0,1000000,0.06387395959957738,0.032043679926707716,0.08427622480374684
joint_drop_16_no_round_lut,MUL,0,1000000,0.06387395959957738,0.032043679926707716,0.08427622480374684
baseline,MUL,1,1000000,0.015624996724367143,0.007599265959671876,0.02083349692893708
residual_drop_2,MUL,1,1000000,0.015624997611284257,0.007599267966477864,0.020833496927424915
joint_drop_2_no_round_lut,MUL,1,1000000,0.015624997494220735,0.007599267682046389,0.02083349692998493
residual_drop_4,MUL,1,1000000,0.015625002821394833,0.007599278226248488,0.020833497800859607
joint_drop_4_no_round_lut,MUL,1,1000000,0.015625005394646556,0.0075992794655040385,0.02083350008910438
residual_drop_6,MUL,1,1000000,0.015625022712520475,0.007599318278316976,0.02083350049706589
joint_drop_6_no_round_lut,MUL,1,1000000,0.01562502524485122,0.007599319500064021,0.020833502749323253
residual_drop_8,MUL,1,1000000,0.015625160092694632,0.00759950517911846,0.02083355676345685
joint_drop_8_no_round_lut,MUL,1,1000000,0.01562516238743467,0.0075995062968924314,0.020833558858111785
residual_drop_10,MUL,1,1000000,0.015626944612399166,0.007600790467860436,0.02083443900119263
joint_drop_10_no_round_lut,MUL,1,1000000,0.015626945610370542,0.007600791035897356,0.02083444050471337
residual_drop_12,MUL,1,1000000,0.015652386947040884,0.007613875559063821,0.02084847741375164
joint_drop_12_no_round_lut,MUL,1,1000000,0.015652384276991217,0.007613874507915496,0.020848476651545992
residual_drop_14,MUL,1,1000000,0.015969012156313623,0.007762964104141328,0.021072717468482438
joint_drop_14_no_round_lut,MUL,1,1000000,0.015968998183255128,0.00776295802156046,0.02107270764229066
