mode,level,cases,mean_signed_error,mean_abs_error,rmse_abs_error,mean_signed_rel_pct,mred_pct,rmse_rel_pct,max_rel_pct,worst_x,worst_y,worst_expected,worst_actual
MUL,0,10007,0.000539711576077728,0.06256937255225939,0.08335541632871027,-0.15628680690419813,3.1439545595561964,4.584553037582335,25.0,1.0,1.0,1.0,0.75
MUL,1,10007,0.0003602652321223938,0.015747646631340064,0.020955484371845322,0.010856548152483145,0.7685319516238412,1.0828671520151683,6.25,1.0,1.0,1.0,0.9375
MUL,2,10007,-4.529575377445692e-06,0.0039138520805203575,0.005227879081317526,-0.0005253152832927802,0.18992473504096946,0.2656577779096418,1.5625,1.0,1.0,1.0,0.984375
MUL,3,10007,-6.4771915430856155e-06,0.0009720939711648373,0.0012955746347405857,-7.92192937034993e-05,0.04695732146350792,0.06544903313572374,0.390625,1.0,1.0,1.0,0.99609375
MUL,4,10007,-2.3405892884965305e-06,0.00024514146998850394,0.0003263749014752959,-5.509674692980449e-05,0.011807452981473288,0.01641509291499811,0.09765625,1.0,1.0,1.0,0.9990234375
DIV,0,10007,-0.03799438168791566,0.04391399255132871,0.0690745963944819,-3.7045437362951144,4.327268238764903,6.679643885661816,33.20311305578893,1.0,1.9999998807907104,0.5000000298023242,0.33398445462808013
DIV,1,10007,-0.011324028643158691,0.012617066304973175,0.02036138715880312,-1.0509498844707625,1.182547903307505,1.8018952870399105,9.514605834278361,1.012082576751709,1.4993313550949097,0.6750226181240923,0.6107968767173588
DIV,2,10007,-0.0016860734470023097,0.0030119816708074807,0.004840645342256035,-0.13771873656131886,0.2831518358221813,0.41754551642112236,2.2813539304644057,1.0224381685256958,1.247323751449585,0.8197055233955602,0.8010051392193418
DIV,3,10007,-0.00044428173888504753,0.0012789185090026959,0.0016427191871941536,-0.045152038599360726,0.12914754929899427,0.16611608162580463,0.5981437272570846,1.0,1.9999998807907104,0.5000000298023242,0.497009310987778
DIV,4,10007,-8.256468174463835e-05,0.001203679718505218,0.0014277599317227237,-0.005502442360438408,0.12407963314520824,0.14727580187003236,0.29319219356668835,1.5024255514144897,1.8123770952224731,0.828980654950323,0.8265501483838307
