level,design,vectors,mae,mred,rmse,mean_error,max_abs
0,amlib,200000,0.0626472259248,0.0312928400316,0.0833717408091,1.9859092906e-05,0.249860840245
0,current,200000,0.0626472267578,0.0312928407802,0.0833717427716,1.98590955882e-05,0.24986089985
0,accuracy,200000,0.0626474382294,0.0312927888601,0.0833713430663,1.92374096064e-05,0.249756546002
0,conservative,200000,0.06289224781,0.0314017052646,0.0835289262365,2.52908764033e-05,0.25560891237
0,aggressive,200000,0.0653740199086,0.0325086784533,0.0855208530057,-3.75216235967e-05,0.287618548801
1,amlib,200000,0.015631113254,0.0075988402314,0.0208426888817,-1.47381541505e-05,0.0622538743857
1,current,200000,0.0156311054722,0.00759883633725,0.0208426805397,-1.47380611673e-05,0.0622536359671
1,accuracy,200000,0.0156311579409,0.00759885317191,0.0208426679957,-1.45700726285e-05,0.0623585401419
1,conservative,200000,0.0156911608989,0.00762681357542,0.0208790094058,-1.41771588102e-05,0.0643004518914
1,aggressive,200000,0.0163247109916,0.00791053576936,0.0213924979421,-2.05101666227e-05,0.0721582059371
2,amlib,200000,0.00392066182018,0.00189225958084,0.00522854182935,5.38323441278e-06,0.0155350095343
2,current,200000,0.00392066120815,0.0018922594122,0.00522854072336,5.38354346287e-06,0.0155352479528
2,accuracy,200000,0.00392072044224,0.00189228593014,0.00522857108185,5.36499211323e-06,0.0155078298162
2,conservative,200000,0.00393680529783,0.00189958365671,0.0052378840771,5.62483021747e-06,0.0162209398127
2,aggressive,200000,0.00409652401312,0.00197179649419,0.00536613414041,3.69215199482e-06,0.0182020633824
3,amlib,200000,0.000974097635374,0.000468333621695,0.00129937075127,-1.97406675292e-07,0.00389591079855
3,current,200000,0.000974097682683,0.000468333721079,0.00129937029123,-1.97343792391e-07,0.00389626842642
3,accuracy,200000,0.000974123314336,0.000468342867964,0.00129937850793,-1.95761885119e-07,0.0038941226592
3,conservative,200000,0.00097794583997,0.000470052894489,0.00130174525379,-3.80781855059e-07,0.00401217736936
3,aggressive,200000,0.00101901676453,0.000488555109683,0.0013354866759,-5.94443048907e-07,0.00452573374375
