candidate,mode,level,cases,mae,mred,rmse
baseline,MUL,L0,10000,0.061539092,0.030556097,0.082404712
runtime_root,MUL,L0,10000,0.061538307,0.030558060,0.082402549
baseline,MUL,L1,10000,0.015814699,0.007656298,0.021031579
runtime_root,MUL,L1,10000,0.015813376,0.007656080,0.021030915
baseline,MUL,L2,10000,0.003922105,0.001877759,0.005213345
runtime_root,MUL,L2,10000,0.003928605,0.001880788,0.005216814
baseline,MUL,L3,10000,0.000980730,0.000470059,0.001305911
runtime_root,MUL,L3,10000,0.001005431,0.000481299,0.001325151
baseline,DIV,L0,10000,0.044072478,0.042928442,0.069134161
runtime_root,DIV,L0,10000,0.044250785,0.043115858,0.069372075
baseline,DIV,L1,10000,0.012060135,0.011202141,0.019606173
runtime_root,DIV,L1,10000,0.012196790,0.011315012,0.019871189
baseline,DIV,L2,10000,0.008068415,0.008365269,0.009489800
runtime_root,DIV,L2,10000,0.008349965,0.008642262,0.009799360
baseline,DIV,L3,10000,0.003429647,0.003205198,0.004594708
runtime_root,DIV,L3,10000,0.003577962,0.003339305,0.004914322
fixed_root,DIV,L0,10000,0.042490737,0.042625992,0.056921209
fixed_root,DIV,L1,10000,0.011530309,0.010870842,0.016338037
fixed_root,DIV,L2,10000,0.003100417,0.002892013,0.004394511
fixed_root,DIV,L3,10000,0.002748346,0.002775435,0.003482566
pace_l4,DIV,L4,10000,0.003896897,0.003833633,0.006065880
