residual_drop,scale_drop,mode,level,cases,mae,mred,rmse,baseline_mae,baseline_mred,baseline_rmse,baseline_mismatches
10,14,MUL,L0,250000,0.062381865,0.031056171,0.083261508,0.062381865,0.031056171,0.083261508,0
10,14,MUL,L1,250000,0.015625465,0.007572268,0.020836891,0.015625465,0.007572268,0.020836891,0
10,14,MUL,L2,250000,0.003916520,0.001883346,0.005213084,0.003916520,0.001883346,0.005213084,0
10,14,MUL,L3,250000,0.000996858,0.000478093,0.001315208,0.000996858,0.000478093,0.001315208,0
10,14,DIV,L0,250000,0.043719095,0.042844922,0.068686918,0.043719095,0.042844922,0.068686918,0
10,14,DIV,L1,250000,0.011989945,0.011154418,0.019664956,0.011989945,0.011154418,0.019664956,0
10,14,DIV,L2,250000,0.008329991,0.008650281,0.009775349,0.008329991,0.008650281,0.009775349,0
10,14,DIV,L3,250000,0.003547332,0.003316171,0.004889056,0.003547332,0.003316171,0.004889056,0
10,16,MUL,L0,250000,0.062381865,0.031056171,0.083261508,0.062381865,0.031056171,0.083261508,0
10,16,MUL,L1,250000,0.015625465,0.007572268,0.020836891,0.015625465,0.007572268,0.020836891,0
10,16,MUL,L2,250000,0.003916520,0.001883346,0.005213084,0.003916520,0.001883346,0.005213084,0
10,16,MUL,L3,250000,0.000996858,0.000478093,0.001315208,0.000996858,0.000478093,0.001315208,0
10,16,DIV,L0,250000,0.044342433,0.043501774,0.069427008,0.043719095,0.042844922,0.068686918,0
10,16,DIV,L1,250000,0.012600833,0.011680431,0.020538943,0.011989945,0.011154418,0.019664956,0
10,16,DIV,L2,250000,0.009297597,0.009597732,0.010865469,0.008329991,0.008650281,0.009775349,0
10,16,DIV,L3,250000,0.004578536,0.004328277,0.006118600,0.003547332,0.003316171,0.004889056,0
10,18,MUL,L0,250000,0.062381865,0.031056171,0.083261508,0.062381865,0.031056171,0.083261508,0
10,18,MUL,L1,250000,0.015625465,0.007572268,0.020836891,0.015625465,0.007572268,0.020836891,0
10,18,MUL,L2,250000,0.003916520,0.001883346,0.005213084,0.003916520,0.001883346,0.005213084,0
10,18,MUL,L3,250000,0.000996858,0.000478093,0.001315208,0.000996858,0.000478093,0.001315208,0
10,18,DIV,L0,250000,0.047670506,0.046975679,0.072623064,0.043719095,0.042844922,0.068686918,0
10,18,DIV,L1,250000,0.016858450,0.015659015,0.024945035,0.011989945,0.011154418,0.019664956,0
10,18,DIV,L2,250000,0.014542751,0.014698822,0.016500419,0.008329991,0.008650281,0.009775349,0
10,18,DIV,L3,250000,0.010244138,0.009795258,0.012528452,0.003547332,0.003316171,0.004889056,0
12,14,MUL,L0,250000,0.062388472,0.031066358,0.083263315,0.062381865,0.031056171,0.083261508,0
12,14,MUL,L1,250000,0.015652209,0.007586187,0.020850109,0.015625465,0.007572268,0.020836891,0
12,14,MUL,L2,250000,0.003996616,0.001919714,0.005268802,0.003916520,0.001883346,0.005213084,0
12,14,MUL,L3,250000,0.001214445,0.000576029,0.001524802,0.000996858,0.000478093,0.001315208,0
12,14,DIV,L0,250000,0.043701645,0.042826564,0.068664203,0.043719095,0.042844922,0.068686918,0
12,14,DIV,L1,250000,0.011974970,0.011142364,0.019640115,0.011989945,0.011154418,0.019664956,0
12,14,DIV,L2,250000,0.008318991,0.008647113,0.009763399,0.008329991,0.008650281,0.009775349,0
12,14,DIV,L3,250000,0.003543583,0.003317120,0.004873067,0.003547332,0.003316171,0.004889056,0
12,16,MUL,L0,250000,0.062388472,0.031066358,0.083263315,0.062381865,0.031056171,0.083261508,0
12,16,MUL,L1,250000,0.015652209,0.007586187,0.020850109,0.015625465,0.007572268,0.020836891,0
12,16,MUL,L2,250000,0.003996616,0.001919714,0.005268802,0.003916520,0.001883346,0.005213084,0
12,16,MUL,L3,250000,0.001214445,0.000576029,0.001524802,0.000996858,0.000478093,0.001315208,0
12,16,DIV,L0,250000,0.044322487,0.043481194,0.069403980,0.043719095,0.042844922,0.068686918,0
12,16,DIV,L1,250000,0.012579711,0.011663492,0.020511935,0.011989945,0.011154418,0.019664956,0
12,16,DIV,L2,250000,0.009286673,0.009594647,0.010850703,0.008329991,0.008650281,0.009775349,0
12,16,DIV,L3,250000,0.004569092,0.004326814,0.006098593,0.003547332,0.003316171,0.004889056,0
12,18,MUL,L0,250000,0.062388472,0.031066358,0.083263315,0.062381865,0.031056171,0.083261508,0
12,18,MUL,L1,250000,0.015652209,0.007586187,0.020850109,0.015625465,0.007572268,0.020836891,0
12,18,MUL,L2,250000,0.003996616,0.001919714,0.005268802,0.003916520,0.001883346,0.005213084,0
12,18,MUL,L3,250000,0.001214445,0.000576029,0.001524802,0.000996858,0.000478093,0.001315208,0
12,18,DIV,L0,250000,0.047641600,0.046945391,0.072597033,0.043719095,0.042844922,0.068686918,0
12,18,DIV,L1,250000,0.016835105,0.015641813,0.024913931,0.011989945,0.011154418,0.019664956,0
12,18,DIV,L2,250000,0.014525052,0.014690504,0.016480145,0.008329991,0.008650281,0.009775349,0
12,18,DIV,L3,250000,0.010228252,0.009788825,0.012504513,0.003547332,0.003316171,0.004889056,0
14,14,MUL,L0,250000,0.062493260,0.031142823,0.083316406,0.062381865,0.031056171,0.083261508,0
14,14,MUL,L1,250000,0.015974387,0.007738714,0.021074803,0.015625465,0.007572268,0.020836891,0
14,14,MUL,L2,250000,0.004863515,0.002312309,0.006107728,0.003916520,0.001883346,0.005213084,0
14,14,MUL,L3,250000,0.003006129,0.001392733,0.003450694,0.000996858,0.000478093,0.001315208,0
14,14,DIV,L0,250000,0.043635185,0.042755829,0.068575654,0.043719095,0.042844922,0.068686918,0
14,14,DIV,L1,250000,0.011932469,0.011111443,0.019548177,0.011989945,0.011154418,0.019664956,0
14,14,DIV,L2,250000,0.008280815,0.008638173,0.009730049,0.008329991,0.008650281,0.009775349,0
14,14,DIV,L3,250000,0.003562224,0.003358955,0.004835627,0.003547332,0.003316171,0.004889056,0
14,16,MUL,L0,250000,0.062493260,0.031142823,0.083316406,0.062381865,0.031056171,0.083261508,0
14,16,MUL,L1,250000,0.015974387,0.007738714,0.021074803,0.015625465,0.007572268,0.020836891,0
14,16,MUL,L2,250000,0.004863515,0.002312309,0.006107728,0.003916520,0.001883346,0.005213084,0
14,16,MUL,L3,250000,0.003006129,0.001392733,0.003450694,0.000996858,0.000478093,0.001315208,0
14,16,DIV,L0,250000,0.044243140,0.043397191,0.069310740,0.043719095,0.042844922,0.068686918,0
14,16,DIV,L1,250000,0.012511861,0.011613644,0.020411231,0.011989945,0.011154418,0.019664956,0
14,16,DIV,L2,250000,0.009243463,0.009583131,0.010803186,0.008329991,0.008650281,0.009775349,0
14,16,DIV,L3,250000,0.004557425,0.004345830,0.006036386,0.003547332,0.003316171,0.004889056,0
14,18,MUL,L0,250000,0.062493260,0.031142823,0.083316406,0.062381865,0.031056171,0.083261508,0
14,18,MUL,L1,250000,0.015974387,0.007738714,0.021074803,0.015625465,0.007572268,0.020836891,0
14,18,MUL,L2,250000,0.004863515,0.002312309,0.006107728,0.003916520,0.001883346,0.005213084,0
14,18,MUL,L3,250000,0.003006129,0.001392733,0.003450694,0.000996858,0.000478093,0.001315208,0
14,18,DIV,L0,250000,0.047540699,0.046838964,0.072500557,0.043719095,0.042844922,0.068686918,0
14,18,DIV,L1,250000,0.016733108,0.015566868,0.024798922,0.011989945,0.011154418,0.019664956,0
14,18,DIV,L2,250000,0.014457002,0.014658643,0.016402280,0.008329991,0.008650281,0.009775349,0
14,18,DIV,L3,250000,0.010176857,0.009776718,0.012424338,0.003547332,0.003316171,0.004889056,0
16,14,MUL,L0,250000,0.063761353,0.031832385,0.084192150,0.062381865,0.031056171,0.083261508,0
16,14,MUL,L1,250000,0.019451440,0.009336890,0.024406496,0.015625465,0.007572268,0.020836891,0
16,14,MUL,L2,250000,0.012025156,0.005580921,0.013802641,0.003916520,0.001883346,0.005213084,0
16,14,MUL,L3,250000,0.011731707,0.005412468,0.012863925,0.000996858,0.000478093,0.001315208,0
16,14,DIV,L0,250000,0.043623871,0.042735626,0.068492376,0.043719095,0.042844922,0.068686918,0
16,14,DIV,L1,250000,0.011928184,0.011139481,0.019295803,0.011989945,0.011154418,0.019664956,0
16,14,DIV,L2,250000,0.008380128,0.008799004,0.009843370,0.008329991,0.008650281,0.009775349,0
16,14,DIV,L3,250000,0.003982142,0.003869919,0.005184766,0.003547332,0.003316171,0.004889056,0
16,16,MUL,L0,250000,0.063761353,0.031832385,0.084192150,0.062381865,0.031056171,0.083261508,0
16,16,MUL,L1,250000,0.019451440,0.009336890,0.024406496,0.015625465,0.007572268,0.020836891,0
16,16,MUL,L2,250000,0.012025156,0.005580921,0.013802641,0.003916520,0.001883346,0.005213084,0
16,16,MUL,L3,250000,0.011731707,0.005412468,0.012863925,0.000996858,0.000478093,0.001315208,0
16,16,DIV,L0,250000,0.044021634,0.043154561,0.068980327,0.043719095,0.042844922,0.068686918,0
16,16,DIV,L1,250000,0.012450891,0.011602851,0.020135789,0.011989945,0.011154418,0.019664956,0
16,16,DIV,L2,250000,0.009249257,0.009681463,0.010841705,0.008329991,0.008650281,0.009775349,0
16,16,DIV,L3,250000,0.004830662,0.004716182,0.006216934,0.003547332,0.003316171,0.004889056,0
16,18,MUL,L0,250000,0.063761353,0.031832385,0.084192150,0.062381865,0.031056171,0.083261508,0
16,18,MUL,L1,250000,0.019451440,0.009336890,0.024406496,0.015625465,0.007572268,0.020836891,0
16,18,MUL,L2,250000,0.012025156,0.005580921,0.013802641,0.003916520,0.001883346,0.005213084,0
16,18,MUL,L3,250000,0.011731707,0.005412468,0.012863925,0.000996858,0.000478093,0.001315208,0
16,18,DIV,L0,250000,0.047181353,0.046454052,0.072145610,0.043719095,0.042844922,0.068686918,0
16,18,DIV,L1,250000,0.016448820,0.015384359,0.024417042,0.011989945,0.011154418,0.019664956,0
16,18,DIV,L2,250000,0.014254249,0.014589015,0.016237218,0.008329991,0.008650281,0.009775349,0
16,18,DIV,L3,250000,0.010022851,0.009760018,0.012255389,0.003547332,0.003316171,0.004889056,0
18,14,MUL,L0,250000,0.077562171,0.038579857,0.097393486,0.062381865,0.031056171,0.083261508,0
18,14,MUL,L1,250000,0.048053134,0.022465754,0.055089354,0.015625465,0.007572268,0.020836891,0
18,14,MUL,L2,250000,0.046905360,0.021623602,0.051410672,0.003916520,0.001883346,0.005213084,0
18,14,MUL,L3,250000,0.046896607,0.021572084,0.051197315,0.000996858,0.000478093,0.001315208,0
