design,mode,level,cases,mae,mred,rmse
simdive_sisd32,MUL,NA,10000,0.018707268,0.008792073,0.024883815
oadm_runtime_root_opt,MUL,L0,10000,0.062352011,0.030865503,0.083205656
oadm_runtime_root_opt,MUL,L1,10000,0.015566771,0.007512546,0.020811883
oadm_runtime_root_opt,MUL,L2,10000,0.003954981,0.001897271,0.005278744
oadm_runtime_root_opt,MUL,L3,10000,0.001009081,0.000483272,0.001325089
simdive_sisd32,DIV,NA,10000,0.008573437,0.008273827,0.018849373
oadm_runtime_root_opt,DIV,L0,10000,0.043381619,0.042383479,0.068244676
oadm_runtime_root_opt,DIV,L1,10000,0.011810343,0.010954959,0.019417803
oadm_runtime_root_opt,DIV,L2,10000,0.008346832,0.008629192,0.009803604
oadm_runtime_root_opt,DIV,L3,10000,0.003592468,0.003345567,0.004948293
