mode,level,cases,mae,mred_pct,rmse,rmse_rel_pct,max_rel_pct,worst_x,worst_y,worst_expected,worst_actual
MUL,0,10007,0.061635400,3.060974,0.082563893,4.469346,25.000000,1.000000000,1.000000000,1.000000000,0.750000000
MUL,1,10007,0.015833694,0.766744,0.021064834,1.076149,6.250000,1.000000000,1.000000000,1.000000000,0.937500000
MUL,2,10007,0.003927559,0.188086,0.005223359,0.260920,1.562500,1.000000000,1.000000000,1.000000000,0.984375000
MUL,3,10007,0.000982386,0.047097,0.001308953,0.065394,0.390625,1.000000000,1.000000000,1.000000000,0.996093750
MUL,4,10007,0.000244527,0.011712,0.000327656,0.016327,0.097656,1.000000000,1.000000000,1.000000000,0.999023438
DIV,0,10007,0.044129831,4.298444,0.069257804,6.608205,33.202962,1.000000954,1.999998927,0.500000745,0.333985686
DIV,1,10007,0.012073974,1.121121,0.019646802,1.703918,9.478846,1.012297869,1.498824954,0.675394325,0.611374736
DIV,2,10007,0.004371117,0.392409,0.006552229,0.544468,2.722888,1.000386715,1.244501710,0.803845191,0.781957388
DIV,3,10007,0.001445692,0.142537,0.001788355,0.174973,0.598150,1.000000954,1.999998927,0.500000745,0.497009993
DIV,4,10007,0.001205568,0.124018,0.001429738,0.147342,0.306958,1.000659347,1.810616493,0.552662229,0.550965786
